First Name,Last Name,BTN Code,End Team,Pos,GP,PPG,PPA,PPP,PPA1,PPA2,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,PPCorsi,PPRelC,PPQoC,PPRQoC,Raw Delta,Delta,Delta QS,Delta QO,Delta QT,Delta SOT
Alexander,Sulzer,ALEXANDERSULZER,BUF,D,25,0,1,1,0,1,0,0,1,3.9,2,0,2,0.00%,0.00%,0,0,0,0,15.5,0.62,0.61,4.89,11.10%,0.00%,100.00%,100.00%,,, ,1,0,13,3,1,0,0,5,0,0,67.33,2.6,-90.241,-4.42,1.4,-0.1,0.3,0,0,0.3
Alexander,Urbom,ALEXANDERURBOM,WSH,D,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.6,0.02,0.03,5.02,0.60%,0.00%,0.00%,0.00%,,, ,0,0,0,1,0,0,0,0,0,0,-109.09,-200.6,-86.877,-3.369,-0.1,-0.1,0,0,0,0
Alexandre,Burrows,ALEXBURROWS,VAN,RW/LW,49,2,4,6,2,2,2,2,2,3.1,18,8,1,11.10%,7.40%,20,1,6,9,114.3,2.32,2.24,3.09,42.00%,20.00%,40.00%,60.00%,2,9,18.20%,10,0,89,14,37,4,4,42,4,1,85.23,-8.2,-82.785,-4.606,11.3,0.9,0.2,-0.4,-1.2,-0.5
Alexei,Emelin,ALEXEIYEMELIN,MTL,D,59,1,2,3,1,1,1,1,1,5.2,5,2,4,20.00%,9.10%,4,0,0,0,34.8,0.58,0.61,5.09,10.70%,25.00%,50.00%,75.00%,,, ,4,2,13,6,9,2,2,10,1,0,40.09,-39.2,-76.746,2.934,1.6,-1.3,0.6,-0.1,0.5,-0.4
Alexey,Marchenko,ALEXEYMARCHENKO,DET,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Anders,Lee,ANDERSLEE,NYI,C,22,2,0,2,0,0,2,0,0,2,14,4,1,14.30%,10.50%,0,0,5,2,59.4,2.7,2.5,2.34,51.70%,50.00%,0.00%,50.00%,0,0, ,4,1,37,3,18,5,1,24,0,0,79.76,-21.7,-83.893,-4.266,5.1,-0.4,0,0,0.2,-0.2
Andre,Benoit,ANDREBENOIT,COL,D,79,1,7,8,3,4,1,3,2,2.5,33,7,12,3.00%,1.90%,25,4,1,3,193.3,2.43,2.38,2.62,47.60%,5.60%,38.90%,44.40%,,, ,18,1,131,21,47,3,9,50,1,1,67.73,-0.8,-78.169,-5.259,18.9,1.9,0,-0.2,-0.4,1.4
Andrei,Loktionov,ANDREILOKTIONOV,CAR,C,68,2,4,6,3,1,2,3,1,5,10,5,3,20.00%,11.10%,27,0,0,2,71.9,1.05,1.05,4.23,19.90%,28.60%,57.10%,85.70%,14,16,46.70%,7,0,55,10,18,3,2,24,1,1,74.95,9.5,-87.716,-4.07,7.4,0.4,0,0.2,0.4,1
Andrei,Markov,ANDREIMARKOV,MTL,D,81,2,19,21,8,10,2,8,10,3.5,44,24,36,4.50%,1.90%,64,9,2,4,355.2,4.38,4.28,1.46,74.60%,5.30%,47.40%,52.60%,,, ,38,5,268,56,120,14,16,164,1,0,86.37,30.7,-66.651,4.17,30.3,-2.6,-1.1,-0.9,4.5,-0.1
Andrej,Meszaros,ANDREJMESZAROS,BOS,D,52,1,1,2,0,1,1,0,1,2.1,9,1,8,11.10%,5.60%,0,2,1,1,55.9,1.07,1.07,4.1,20.70%,14.30%,14.30%,28.60%,,, ,7,0,46,3,8,0,2,24,1,1,86.18,-7.2,-72.659,6.12,6.1,0.9,0.4,-0.7,0.2,0.8
Andrej,Sekera,ANDREJSEKERA,CAR,D,74,4,11,15,8,3,4,7,2,4.6,40,8,30,10.00%,5.10%,85,0,2,7,196.4,2.65,2.57,2.72,48.60%,23.50%,64.70%,88.20%,,, ,17,5,163,23,67,12,4,88,0,0,91.64,13.7,-82.958,-1.858,17,-0.4,-0.1,-0.2,1.4,0.7
Andrej,Sustr,ANDREJSUSTR,TBL,D,43,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,4.1,0.08,0.09,5.24,1.70%,0.00%,0.00%,0.00%,,, ,0,0,3,1,2,0,1,0,0,0,44.08,-17.4,-83.035,-5.335,0.4,0,0.1,0,0.1,0.1
Andrew,Alberts,ANDREWALBERTS,VAN,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.1,0,0.01,4.8,0.20%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0,-83.8,-84.247,-1.478,0,0,0,0,0,0
Andrew,Campbell,ANDREWCAMPBELL,LAK,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Andrew,Cogliano,ANDREWCOGLIANO,ANA,C,82,0,0,0,0,0,0,0,0,0,3,1,1,0.00%,0.00%,0,0,0,0,18,0.22,0.19,5.22,3.50%,0.00%,0.00%,0.00%,0,0, ,0,1,6,1,5,2,0,5,0,0,47.01,-41.7,-80.763,-0.869,0.5,-0.7,0.4,-0.1,0.2,-0.3
Andrew,Desjardins,ANDREWDESJARDINS,SJS,C,81,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,5,0.05,0.06,5.49,1.10%,0.00%,0.00%,0.00%,7,7,50.00%,0,0,5,0,3,0,0,1,0,0,105.54,1.9,-84.539,-2.337,0.4,-0.1,0.1,0,-0.1,-0.1
Andrew,Ebbett,ANDREWEBBETT,PIT,C,9,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,1,4.4,0.48,0.48,3.46,12.20%,0.00%,0.00%,0.00%,0,0, ,0,0,4,1,2,0,0,2,0,0,96.55,4,-84.255,-5.064,0.6,0.2,0.1,-0.1,-0.1,0.1
Andrew,Ference,ANDREWFERENCE,EDM,D,71,0,2,2,0,2,0,0,2,4.5,1,1,3,0.00%,0.00%,0,0,0,1,26.9,0.37,0.38,5.08,7.00%,0.00%,66.70%,66.70%,,, ,3,2,11,6,5,2,2,10,0,0,37.87,-34.9,-86.274,-4.259,1.8,-0.4,0.5,-0.1,0.3,0.2
Andrew,Ladd,ANDREWLADD,WPG,LW,78,4,8,12,5,3,3,4,3,3.4,28,14,8,14.30%,8.00%,40,0,6,12,212,2.72,2.61,2.48,51.30%,14.30%,38.10%,52.40%,5,6,45.50%,21,3,146,29,81,9,6,91,4,2,86.21,3.8,-84.697,-2.904,16.2,-2.9,-0.4,-0.6,3.5,-0.3
Andrew,MacDonald,ANDREWMACDONALD,PHI,D,82,2,9,11,4,4,2,3,3,2.8,29,23,33,6.90%,2.40%,31,5,2,8,236,2.87,2.81,2.58,52.10%,8.30%,33.30%,41.70%,,, ,24,5,160,21,71,5,8,92,1,0,80.24,-19.7,-77.167,0.35,20.1,-1,0.2,-0.2,0.5,-0.5
Andrew,Shaw,ANDREWSHAW,CHI,C,80,5,4,9,2,2,5,2,1,2.6,22,8,2,22.70%,15.60%,13,0,6,8,209.4,2.62,2.59,2.39,52.00%,17.90%,14.30%,32.10%,11,22,33.30%,28,4,159,31,83,9,8,85,8,2,87.9,5.5,-85.071,-3.053,17.9,-2.2,-1.4,-0.6,3.7,-0.6
