First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Michael,Del Zotto,PHI,D,52,0,0,0,0,0,0,0,4,0,0,4,0,0.0%,0.0%,17,11,3,2,2,7880,2.53,127.4,2.45,169.2,3.25,42.9%,0,0, ,1,14,22,91,3,37,1,65,15,95,13.6%,0.3,0,0,-24.5,10.6,5.3
Dylan,DeMelo,SJS,D,45,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,1,1,0,0,349,0.13,4.9,0.11,187.9,4.18,2.6%,0,0, ,0,0,1,3,1,1,0,1,2,4,33.3%,25.0,0,0,-12.1,33.3,29.8
Jason,Demers,DAL,D,62,1,0,1,1,0,0,0,1,1,1,0,1,100.0%,50.0%,9,6,1,3,2,8891,2.39,145.3,2.34,152.5,2.46,48.8%,0,0, ,4,20,13,118,7,69,3,66,24,131,15.5%,-1.1,0,0,-49.6,6.9,-1.3
David,Desharnais,MTL,C,65,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,1,0,0,76,0.02,1.2,0.02,313.8,4.83,0.4%,0,2,0.0%,0,0,0,1,1,0,0,0,1,0,100.0%,83.1,0,0,0.0,100.0,94.8
Andrew,Desjardins,CHI,LW/C,77,0,0,0,0,0,0,0,6,4,4,6,2,0.0%,0.0%,19,4,4,3,6,8373,1.81,135.2,1.76,206.0,2.67,39.6%,7,12,36.8%,1,18,16,118,7,57,4,54,16,110,12.7%,-6.1,0,0,-52.8,2.0,-5.1
Nicolas,Deslauriers,BUF,LW/RW,70,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,1,1,0,0,0,439,0.10,6.9,0.10,292.7,4.18,2.3%,0,0, ,0,2,1,11,0,3,0,3,0,10,0.0%,-11.5,0,0,-103.7,0.0,-5.8
Simon,Despres,ANA,D,32,0,0,0,0,0,0,0,2,0,0,2,0,0.0%,0.0%,12,3,0,4,1,4322,2.25,70.3,2.20,115.6,3.61,37.8%,0,0, ,0,4,10,55,8,21,2,34,12,52,18.8%,6.8,0,0,-25.6,8.3,4.2
Phillip,Di Giuseppe,CAR,LW,41,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,10,0.00,0.5,0.01,171.9,4.19,0.3%,0,0, ,0,0,1,0,0,0,0,0,1,0,100.0%,90.7,0,0,60.0,,
Jason,Dickinson,DAL,C/LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,7.7,7.65,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Darren,Dietz,MTL,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,2,0,0,0,0,241,0.31,3.3,0.25,48.4,3.72,6.3%,0,0, ,0,0,1,1,0,0,1,2,0,1,0.0%,-9.1,0,0,18.3,0.0,0.0
