First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Kevin,Fiala,NSH,LW/RW,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,31.2,6.23,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Vernon,Fiddler,DAL,C,82,2,2,4,1,1,1,8,10,2,2,8,1,20.0%,9.1%,14,0,3,1,8,10689,2.17,176.9,2.16,222.5,2.71,44.3%,120,142,45.8%,3,21,21,127,6,70,4,84,20,142,12.3%,-6.2,0,4,-36.6,4.8,-6.0
Valtteri,Filppula,TBL,C/LW,76,1,0,1,1,0,0,0,6,2,2,5,0,16.7%,14.3%,7,3,2,1,4,7492,1.64,121.6,1.60,278.7,3.67,30.4%,66,78,45.8%,1,9,13,115,5,59,2,38,16,98,14.0%,5.2,1,1,-63.1,1.6,-6.8
Mike,Fisher,NSH,C,70,0,1,1,0,1,0,15,5,1,1,5,0,0.0%,0.0%,15,5,0,0,5,7441,1.77,119.0,1.70,224.6,3.21,34.6%,55,56,49.5%,1,9,14,76,2,37,1,71,11,77,12.5%,-1.6,0,2,-17.7,3.2,-2.1
Tomas,Fleischmann,CHI,LW/RW,76,1,0,1,1,0,0,0,4,2,2,3,4,25.0%,11.1%,4,3,1,3,4,6804,1.49,106.9,1.41,267.1,3.51,28.6%,7,2,77.8%,1,11,11,90,4,34,7,33,15,83,15.3%,-3.7,0,0,-52.2,8.9,2.9
Brian,Flynn,MTL,C,56,1,1,2,1,1,0,5,2,1,1,1,0,50.0%,50.0%,8,0,4,1,4,5447,1.62,83.7,1.49,193.3,3.45,30.2%,50,33,60.2%,2,9,7,48,4,32,1,41,8,60,11.8%,-8.1,0,1,-25.8,2.6,-4.5
Marcus,Foligno,BUF,LW/C,75,2,0,2,2,0,0,0,3,1,1,1,0,66.7%,100.0%,0,2,0,0,5,1815,0.40,32.5,0.43,300.7,4.01,9.7%,0,0, ,2,2,3,20,5,4,1,12,8,16,33.3%,22.6,0,0,-9.2,14.3,10.0
Nick,Foligno,CBJ,LW/RW,72,0,0,0,0,0,0,0,2,0,0,2,0,0.0%,0.0%,3,3,0,0,0,2401,0.56,29.9,0.42,363.4,5.05,7.6%,0,7,0.0%,0,2,4,20,2,9,2,9,7,19,26.9%,14.3,0,4,-36.1,12.5,8.0
Christian,Folin,MIN,D,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,4,2,1,0,0,2301,1.48,38.7,1.49,80.0,3.08,32.6%,0,0, ,1,5,1,32,1,19,2,13,1,43,2.3%,-5.4,0,0,-65.1,3.5,-0.3
Justin,Fontaine,MIN,RW,60,0,1,1,0,1,0,7,4,1,1,4,0,0.0%,0.0%,3,0,1,0,7,3943,1.10,60.9,1.01,190.2,3.17,24.2%,1,0,100.0%,1,5,6,42,4,32,0,26,8,51,13.6%,4.0,0,0,-41.4,8.7,4.0
Derek,Forbort,LAK,D,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,1,0,0,571,0.68,9.9,0.71,78.1,5.58,11.3%,0,0, ,0,3,2,8,1,6,1,5,3,11,21.4%,15.6,0,0,-60.4,0.0,-5.0
Filip,Forsberg,NSH,LW/RW,82,1,0,1,1,0,0,0,6,2,2,5,2,16.7%,11.1%,14,2,3,1,7,8694,1.77,140.2,1.71,256.9,3.13,35.3%,0,3,0.0%,1,12,17,99,4,36,2,58,15,91,14.2%,1.4,0,2,-29.5,5.6,1.2
Cam,Fowler,ANA,D,69,0,0,0,0,0,0,0,1,1,1,1,0,0.0%,0.0%,16,6,3,3,3,8993,2.17,147.4,2.14,258.3,3.74,36.3%,0,0, ,3,12,19,116,11,55,10,53,23,121,16.0%,-1.3,0,0,-43.6,4.4,-2.0
Cody,Franson,BUF,D,59,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,5,3,0,1,2,2653,0.75,40.5,0.69,213.1,3.61,16.0%,0,0, ,1,6,4,39,3,13,0,11,6,39,13.3%,2.8,2,0,-57.8,9.1,5.6
Johan,Franzen,DET,RW/LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,13.1,6.57,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Max,Friberg,ANA,RW/LW,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,149,0.50,1.3,0.26,29.4,5.89,4.3%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,0.0,-9.1
Alex,Friesen,VAN,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,6.7,6.70,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Byron,Froese,TOR,C,56,0,0,0,0,0,0,0,12,2,2,12,3,0.0%,0.0%,11,4,2,2,4,8719,2.59,141.0,2.52,179.4,3.20,44.0%,80,85,48.5%,0,17,25,91,4,36,6,47,25,99,20.2%,3.8,1,0,-31.5,7.1,-4.6
Michael,Frolik,CGY,RW,64,2,2,4,2,2,0,12,11,3,3,8,1,18.2%,16.7%,11,0,2,0,6,6588,1.72,103.9,1.62,183.6,2.87,36.1%,0,1,0.0%,4,15,19,77,4,39,4,49,18,104,14.8%,5.5,1,1,-34.1,5.0,0.4
Marian,Gaborik,LAK,RW/LW,54,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,346,0.11,4.0,0.07,301.1,5.58,1.3%,0,0, ,0,0,1,2,0,1,0,3,0,2,0.0%,-13.0,0,0,15.1,0.0,-7.0
Kurtis,Gabriel,MIN,RW,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,8.1,2.71,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Sam,Gagner,PHI,C,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,20,0.01,0.0,0.00,275.8,5.20,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Alex,Galchenyuk,MTL,C/LW,82,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,182,0.04,0.7,0.01,394.3,4.81,0.2%,1,1,50.0%,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,0.0,-4.7
Stanislav,Galiev,WSH,RW,24,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,0,0,0,0,0,40,0.03,0.8,0.03,119.0,4.96,0.7%,0,0, ,0,0,1,0,0,0,0,0,1,0,100.0%,88.7,0,0,60.0,0.0,-8.3
Brendan,Gallagher,MTL,RW,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,1,0,44,0.01,0.5,0.01,257.3,4.85,0.2%,0,0, ,0,0,0,1,0,1,0,1,0,2,0.0%,-17.1,0,0,-60.0,100.0,94.4
Ryan,Garbutt,ANA,C/RW/LW,80,1,0,1,1,0,0,0,6,3,3,5,0,16.7%,12.5%,4,10,2,0,3,3138,0.65,45.1,0.56,351.9,4.40,11.4%,0,0, ,2,4,7,26,4,8,1,16,10,23,30.3%,16.8,2,4,-13.3,20.0,15.6
Jake,Gardiner,TOR,D,79,0,1,1,0,0,1,0,1,0,0,1,0,0.0%,0.0%,3,1,1,3,1,1673,0.35,25.6,0.32,403.2,5.10,6.0%,0,0, ,1,2,4,15,1,11,2,11,5,19,20.8%,4.9,1,2,-30.4,8.0,-1.7
Jason,Garrison,TBL,D,72,0,0,0,0,0,0,0,1,2,1,1,0,0.0%,0.0%,16,17,3,4,3,8087,1.87,126.9,1.76,255.0,3.54,33.2%,0,0, ,0,14,7,99,3,50,2,52,8,98,7.5%,-4.1,0,0,-48.7,6.7,0.4
Tyler,Gaudet,ARI,C,14,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,1,1,0,0,0,1153,1.37,16.3,1.17,63.7,4.55,20.4%,5,4,55.6%,0,2,5,10,0,7,1,4,5,16,23.8%,8.7,0,0,-40.5,25.0,17.4
Johnny,Gaudreau,CGY,LW,79,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,2,0,310,0.07,2.3,0.03,340.9,4.31,0.7%,0,0, ,0,0,0,2,0,2,0,0,0,4,0.0%,-13.4,0,0,-102.6,0.0,-6.3
Brendan,Gaunce,VAN,C,20,0,0,0,0,0,0,0,4,0,0,4,0,0.0%,0.0%,0,2,1,1,5,1297,1.08,20.4,1.02,73.8,3.69,21.7%,9,4,69.2%,0,5,5,15,0,5,0,6,5,18,21.7%,18.1,0,0,-41.1,0.0,-5.3
Paul,Gaustad,NSH,C,63,1,1,2,1,0,0,0,5,1,1,4,0,20.0%,20.0%,10,2,1,4,5,6961,1.84,108.5,1.72,199.3,3.16,35.3%,68,62,52.3%,3,20,11,76,2,34,1,42,9,83,9.8%,-3.1,1,1,-40.4,3.8,-0.2
Frederik,Gauthier,TOR,C,7,0,1,1,0,1,0,5,1,0,0,1,0,0.0%,0.0%,4,0,2,0,1,1254,2.99,22.0,3.14,20.6,2.94,51.6%,14,13,51.9%,1,0,4,16,0,8,0,15,1,23,4.2%,-6.9,0,1,-10.9,8.7,0.0
Luke,Gazdic,EDM,LW,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,148.1,5.11,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Eric,Gelinas,COL,D,40,0,0,0,0,0,0,0,1,0,0,1,1,0.0%,0.0%,0,0,0,0,0,193,0.08,2.6,0.07,194.1,4.85,1.3%,0,0, ,0,0,3,0,0,0,2,0,2,0,100.0%,86.8,0,1,23.0,50.0,43.4
Nathan,Gerbe,CAR,LW/RW,47,0,0,0,0,0,0,0,4,2,2,4,2,0.0%,0.0%,1,3,1,2,0,2939,1.04,44.4,0.94,121.2,2.58,26.8%,0,0, ,1,4,6,32,2,13,2,11,7,29,19.4%,15.1,0,0,-41.9,22.7,13.7
Ryan,Getzlaf,ANA,C,77,0,1,1,0,1,0,10,6,4,4,6,2,0.0%,0.0%,4,4,1,5,6,6755,1.46,101.8,1.32,344.2,4.47,22.8%,25,31,44.6%,2,6,17,78,10,39,5,34,19,73,20.7%,5.9,0,1,-38.3,8.4,1.7
Tom,Gilbert,MTL,D,45,0,1,1,0,1,0,3,0,0,0,0,1,0.0%,0.0%,16,1,2,2,3,4954,1.83,80.0,1.78,145.0,3.22,35.6%,0,0, ,5,12,12,58,2,26,7,34,15,66,18.5%,-1.0,1,0,-37.5,7.1,1.5
Brian,Gionta,BUF,RW,79,0,0,0,0,0,0,0,11,3,2,11,0,0.0%,0.0%,5,0,1,0,3,6756,1.43,107.7,1.36,241.0,3.05,30.9%,8,10,44.4%,1,11,16,112,3,45,0,34,14,108,11.5%,-0.9,1,1,-63.5,6.2,0.8
Stephen,Gionta,NJD,C/RW,82,0,0,0,0,0,0,0,5,0,0,5,3,0.0%,0.0%,8,4,2,0,3,8739,1.78,125.0,1.52,312.3,3.81,28.6%,28,33,45.9%,0,15,16,108,3,47,4,43,13,108,10.7%,-3.7,1,2,-53.7,13.0,6.8
Mark,Giordano,CGY,D,82,1,2,3,1,1,1,4,4,2,2,3,3,25.0%,12.5%,39,3,3,13,5,11840,2.41,193.2,2.36,162.4,1.98,54.3%,0,0, ,8,32,22,141,9,78,9,80,31,187,14.2%,2.4,2,3,-43.8,2.7,-11.9
Dan,Girardi,NYR,D,74,0,1,1,0,0,1,0,1,0,0,1,0,0.0%,0.0%,37,14,3,5,2,12111,2.73,191.1,2.58,166.9,2.26,53.4%,0,0, ,2,26,31,151,7,61,3,100,28,168,14.3%,-1.9,1,1,-31.7,4.8,-4.4
Zemgus,Girgensons,BUF,C/LW,71,0,1,1,0,1,0,5,0,1,1,0,0,0.0%,0.0%,10,3,2,0,3,4458,1.05,73.7,1.04,223.5,3.15,24.8%,8,19,29.6%,1,12,4,69,2,32,2,32,4,71,5.3%,-6.7,0,0,-61.8,11.5,7.4
Claude,Giroux,PHI,C,78,1,1,2,1,1,0,10,11,1,1,10,1,9.1%,8.3%,4,4,4,3,6,6908,1.48,116.5,1.49,296.2,3.80,28.2%,109,72,60.2%,2,15,17,90,5,37,1,48,15,109,12.1%,-0.4,1,0,-36.6,2.3,-6.5
Tanner,Glass,NYR,LW,57,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,1,3,0,0,2,1516,0.44,21.9,0.38,239.7,4.20,8.4%,0,2,0.0%,1,2,2,13,0,9,1,8,2,15,11.8%,-3.8,0,0,-38.4,40.0,35.4
Luke,Glendening,DET,C,81,0,0,0,0,0,0,0,9,2,1,9,0,0.0%,0.0%,38,15,6,3,6,15265,3.14,255.5,3.15,176.0,2.17,59.2%,150,172,46.6%,0,26,25,183,5,95,5,129,25,187,11.8%,0.0,4,3,-35.2,2.5,-10.1
Nikolay,Goldobin,SJS,LW/RW,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,13,0.02,0.4,0.04,40.1,4.45,0.9%,0,0, ,0,0,0,0,0,0,0,1,0,0,0.0%,,0,0,60.0,,
Alex,Goligoski,DAL,D,82,0,1,1,0,0,0,0,4,1,1,4,1,0.0%,0.0%,27,10,1,7,6,11494,2.34,188.7,2.30,210.7,2.57,47.2%,0,0, ,1,17,28,121,9,68,6,84,25,135,15.6%,-0.4,1,1,-28.6,5.5,-2.7
Cody,Goloubef,CBJ,D,43,0,0,0,0,0,0,0,0,2,2,0,0,0.0%,0.0%,2,0,0,1,1,2181,0.85,30.7,0.71,191.4,4.45,13.8%,0,0, ,0,5,1,25,3,16,2,9,3,26,10.3%,-3.1,1,0,-68.5,0.0,-5.4
Scott,Gomez,OTT,C,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,66,0.03,0.6,0.02,176.0,5.18,0.3%,0,0, ,0,0,0,1,0,0,0,0,0,1,0.0%,-12.0,0,0,-60.0,,
Barclay,Goodrow,SJS,RW/LW,14,0,1,1,0,1,0,3,0,0,0,0,0,0.0%,0.0%,1,0,1,0,0,789,0.94,13.4,0.96,55.3,3.95,19.5%,0,2,0.0%,1,2,2,10,0,2,0,3,2,10,16.7%,1.7,0,0,-35.7,0.0,-8.6
Boyd,Gordon,ARI,C,65,1,0,1,1,0,0,0,3,0,0,2,0,33.3%,50.0%,16,2,3,2,3,10966,2.81,192.4,2.96,192.7,2.97,50.0%,144,122,54.1%,2,20,13,130,2,65,1,81,10,133,7.0%,-7.7,0,1,-36.8,2.6,-9.0
Josh,Gorges,BUF,D,77,0,0,0,0,0,0,0,0,1,1,0,0,0.0%,0.0%,35,8,1,2,0,10512,2.28,181.2,2.35,141.7,1.84,56.1%,0,0, ,2,22,19,140,6,61,2,67,16,149,9.7%,-4.4,2,5,-43.4,4.8,-2.7
Brandon,Gormley,COL,D,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,1,0,0,0,0,206,0.13,3.0,0.11,140.0,5.38,2.1%,0,0, ,0,0,0,5,0,1,0,2,0,5,0.0%,-14.3,0,0,-80.5,33.3,25.9
Shayne,Gostisbehere,PHI,D,64,0,0,0,0,0,0,0,1,1,1,1,0,0.0%,0.0%,0,0,0,0,0,379,0.10,5.0,0.08,327.5,5.12,1.5%,0,0, ,0,0,4,3,1,0,0,0,2,2,50.0%,39.3,0,2,24.1,40.0,34.8
Yanni,Gourde,TBL,C/LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,9.3,4.66,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Michael,Grabner,TOR,RW/LW,80,1,0,1,1,0,0,0,23,5,5,20,3,4.3%,3.6%,20,8,2,4,22,14909,3.11,249.5,3.12,191.2,2.39,56.6%,1,6,14.3%,1,22,45,164,12,82,6,99,43,191,18.4%,4.4,0,2,-28.1,5.8,-12.1
Mikhail,Grabovski,NYI,C,58,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,101,0.03,1.1,0.02,270.6,4.67,0.4%,0,3,0.0%,0,0,0,1,0,2,0,0,0,3,0.0%,-18.3,0,1,-168.2,0.0,-7.1
Marc-Andre,Gragnani,NJD,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,19,0.08,0.5,0.13,22.1,5.52,2.3%,0,0, ,0,0,0,0,0,0,1,0,1,0,100.0%,83.3,0,0,-60.0,100.0,94.1
Petter,Granberg,NSH,D,27,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,3,2,0,0,0,836,0.52,14.0,0.52,112.4,4.16,11.1%,0,0, ,0,0,2,8,0,2,0,8,1,9,10.0%,-3.0,0,0,0.0,0.0,-3.8
Markus,Granlund,VAN,C,47,1,1,2,1,1,0,5,6,1,1,5,1,16.7%,14.3%,4,0,1,3,2,3303,1.17,50.4,1.07,137.1,2.92,26.9%,9,8,52.9%,2,5,7,35,4,16,3,15,12,39,23.5%,14.1,2,0,-36.9,6.7,3.9
Mikael,Granlund,MIN,C,82,1,0,1,0,0,0,0,2,1,1,0,0,50.0%,0.0%,4,0,1,0,1,2812,0.57,42.9,0.52,284.5,3.47,13.1%,17,9,65.4%,0,3,6,31,1,6,0,23,5,31,13.9%,5.1,1,2,-14.0,0.0,-4.9
Alex,Grant,ARI,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,171,0.57,2.6,0.52,29.6,5.92,8.1%,0,0, ,0,1,0,2,0,0,0,2,0,1,0.0%,-17.9,0,0,-22.9,0.0,-6.3
Derek,Grant,CGY,C/LW,15,0,0,0,0,0,0,0,0,0,0,0,2,0.0%,0.0%,2,0,0,0,0,877,0.97,12.7,0.84,50.0,3.33,20.2%,5,5,50.0%,0,4,1,10,0,5,3,5,0,14,0.0%,-16.1,0,0,-75.8,10.5,-2.2
Tyler,Graovac,MIN,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,7.7,3.85,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Kevin,Gravel,LAK,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,101,0.34,1.6,0.31,28.0,5.61,5.2%,0,0, ,0,0,0,1,0,0,0,1,0,2,0.0%,-30.4,0,0,0.0,,
Mike,Green,DET,D,74,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,1,0,0,0,1,625,0.14,10.0,0.14,363.0,4.91,2.7%,0,0, ,0,1,2,5,1,5,0,5,1,5,16.7%,4.2,0,1,-18.0,66.7,61.3
Andy,Greene,NJD,D,82,0,0,0,0,0,0,0,2,2,2,2,1,0.0%,0.0%,39,14,6,11,4,17123,3.48,289.3,3.53,148.0,1.81,66.2%,0,0, ,3,26,24,233,7,97,7,105,25,229,9.8%,-9.7,1,0,-46.5,4.0,-17.0
Matt,Greene,LAK,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,1,1,0,340,1.89,6.1,2.02,18.0,5.99,25.2%,0,0, ,1,0,2,5,0,0,0,2,3,3,50.0%,35.7,1,1,0.0,50.0,50.0
Colin,Greening,TOR,C/LW,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,2,0.00,0.0,0.00,163.0,5.26,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Alexandre,Grenier,VAN,RW,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,30.3,5.05,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Seth,Griffith,BOS,C/RW,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,27.5,6.88,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Mikhail,Grigorenko,COL,C/LW,74,0,0,0,0,0,0,0,1,1,1,1,0,0.0%,0.0%,7,0,0,0,2,2476,0.56,38.8,0.52,340.2,4.60,10.2%,10,17,37.0%,0,2,3,27,1,21,2,20,2,33,5.7%,-7.1,1,0,-43.3,31.0,25.3
Rocco,Grimaldi,FLA,C/RW,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,18,0.02,0.6,0.03,82.5,4.13,0.7%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Nicklas,Grossmann,ARI,D,58,0,0,0,0,0,0,0,3,1,1,3,1,0.0%,0.0%,22,9,6,7,1,10367,2.98,167.9,2.90,179.3,3.09,48.4%,0,0, ,2,30,18,121,10,65,3,74,21,137,13.3%,1.7,0,1,-41.1,4.2,-6.2
Eric,Gryba,EDM,D,53,0,0,0,0,0,0,0,0,1,1,0,0,0.0%,0.0%,14,13,2,5,3,7313,2.30,126.0,2.38,165.4,3.12,43.2%,0,0, ,1,8,13,117,3,40,3,57,10,110,8.3%,-5.0,0,2,-44.8,8.2,3.2
Radko,Gudas,PHI,D,76,0,0,0,0,0,0,0,7,0,0,6,0,0.0%,0.0%,42,24,4,8,1,12406,2.72,208.9,2.75,191.6,2.52,52.2%,0,0, ,1,22,34,148,6,78,3,102,23,192,10.7%,0.4,2,5,-31.0,2.2,-9.3
Erik,Gudbranson,FLA,D,64,0,0,0,0,0,0,0,2,0,0,2,2,0.0%,0.0%,26,18,6,9,1,12427,3.24,203.7,3.18,132.6,2.07,60.6%,0,0, ,0,23,16,171,3,52,5,83,15,143,9.5%,-6.8,0,4,-43.9,4.2,-8.6
Nate,Guenin,COL,D,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,2,0,1,1,1,2971,1.71,45.5,1.57,98.5,3.40,31.6%,0,0, ,0,4,8,45,1,17,0,14,7,34,17.1%,8.7,0,0,-56.7,11.1,7.8
Carl,Gunnarsson,STL,D,72,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,23,5,3,3,3,8739,2.02,135.9,1.89,262.1,3.64,34.1%,0,0, ,2,11,17,110,8,45,3,58,18,107,14.4%,4.6,0,0,-37.1,7.8,1.9
Erik,Gustafsson,CHI,D,41,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,181,0.07,2.1,0.05,173.7,4.24,1.2%,0,0, ,0,0,0,3,0,3,0,1,0,2,0.0%,-13.7,0,0,-143.5,,
Carl,Hagelin,PIT,LW,80,0,2,2,0,2,0,28,13,2,2,13,2,0.0%,0.0%,5,3,3,1,8,7897,1.65,117.9,1.47,304.4,3.80,27.9%,3,0,100.0%,2,10,26,64,7,32,6,34,25,64,28.1%,11.4,2,2,-21.9,14.5,8.8
Ron,Hainsey,CAR,D,81,0,0,0,0,0,0,0,3,1,1,3,1,0.0%,0.0%,18,2,6,2,5,13456,2.77,220.0,2.72,107.1,1.32,67.2%,0,0, ,1,26,14,142,4,70,10,67,12,145,7.6%,-7.4,0,2,-44.2,9.5,0.6
Micheal,Haley,SJS,C/LW/RW,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,72.7,4.54,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Matt,Halischuk,WPG,RW/LW,30,0,0,0,0,0,0,0,1,1,1,1,0,0.0%,0.0%,2,0,0,1,0,732,0.41,10.1,0.34,133.0,4.43,7.0%,1,1,50.0%,0,1,3,8,1,1,1,6,5,5,50.0%,33.5,0,0,-6.0,40.0,37.0
Taylor,Hall,EDM,LW,82,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,1,0,0,0,245,0.05,2.7,0.03,427.1,5.21,0.6%,0,0, ,0,2,0,0,0,3,0,0,0,3,0.0%,-9.1,0,0,-111.5,50.0,45.1
Dan,Hamhuis,VAN,D,58,0,0,0,0,0,0,0,0,0,0,0,1,0.0%,0.0%,23,11,2,6,3,9074,2.61,146.8,2.53,137.8,2.38,51.6%,0,0, ,2,18,14,127,5,41,3,57,13,129,9.2%,-4.1,2,1,-45.4,3.2,-4.3
Dougie,Hamilton,CGY,D,82,0,0,0,0,0,0,0,2,0,0,2,0,0.0%,0.0%,10,2,0,2,0,2338,0.48,40.0,0.49,315.6,3.85,11.2%,0,0, ,0,6,9,24,2,18,2,20,8,34,19.0%,6.6,2,0,-28.5,26.1,20.7
Freddie,Hamilton,CGY,C/RW,4,1,0,1,1,0,0,0,1,0,0,0,0,100.0%,0.0%,0,0,0,0,0,202,0.84,3.7,0.91,12.9,3.22,22.1%,0,1,0.0%,1,1,0,1,0,2,0,2,1,4,20.0%,-13.3,0,0,-16.4,0.0,0.0
Travis,Hamonic,NYI,D,72,1,0,1,0,0,0,0,5,0,0,4,1,20.0%,0.0%,23,10,5,10,5,9824,2.27,162.7,2.26,151.3,2.10,51.8%,0,0, ,0,16,27,116,3,53,6,82,22,133,14.2%,-6.9,0,2,-29.1,7.0,0.6
Noah,Hanifin,CAR,D,79,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,1,416,0.09,7.4,0.09,310.1,3.93,2.3%,0,0, ,0,1,3,4,0,3,1,3,3,5,37.5%,28.4,0,0,-24.3,28.6,20.3
Joel,Hanley,MTL,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,1,0,0,556,0.93,7.7,0.77,32.2,3.22,19.3%,0,0, ,0,2,2,5,0,1,1,5,1,4,20.0%,12.9,0,2,-15.6,0.0,0.0
Markus,Hannikainen,CBJ,LW,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,12,0.05,0.5,0.11,11.2,2.80,3.9%,0,0, ,0,0,0,0,0,1,0,0,0,0,0.0%,,0,0,-60.0,,
Jannik,Hansen,VAN,RW/LW,67,1,0,1,1,0,0,0,6,1,1,5,2,16.7%,12.5%,4,1,2,1,7,7024,1.75,114.7,1.71,225.0,3.36,33.8%,2,2,50.0%,1,13,18,97,2,39,3,39,18,105,14.6%,6.0,2,3,-48.1,3.5,-1.3
Martin,Hanzal,ARI,C,64,1,0,1,1,0,0,0,6,2,2,5,3,16.7%,10.0%,4,4,2,0,2,5035,1.31,74.9,1.17,314.1,4.91,19.3%,32,35,47.8%,1,9,12,66,7,33,5,24,13,68,16.0%,3.9,0,2,-55.3,10.0,4.5
Ben,Harpur,OTT,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,88,0.29,1.2,0.24,18.9,3.79,5.9%,0,0, ,0,0,0,1,0,0,0,0,0,0,0.0%,,0,0,-50.8,,
