"","name","AGE","cap_hit","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars"
"1","Brayden McNabb",26,2500000,49,1,9.2,54,0,0,-7.5,33.5,24.5,224,2,2,0,4,22.2,4.7,979,66.9,44,60.3,9.7,2.5,6,122,73,46,6,5,11,0,106,85,30,9,48,0,0,785,516,565,369,96,79,0,0,0,0,259,0.1,38,12.7,75,-6,0,0,0,1666,0.61,11.8,66.9,15,-2.2,0,5,164,4,27,31,2503.8,20.8,0,6,6,120.9,30,35,201.6,0
"6","Roman Polak",31,1100000,75,10,-2.3,65,0,1,-13.5,54,75.4,433,4,7,3,11,27.2,7.6,1019,55.3,60.2,47.9,-3,2.5,3,157,95,59,2,5,7,76.2,205,118,42,13,91,0,0,1029,1120,786,837,174,157,0,0,0,0,54,0.05,9.3,0,100,16,0,0,0,13061,2.82,13,105.7,10.9,1.8,3,37,207,10,28,38,3358.6,-12.8,0,0,0,9.3,104,79,566.2,1
"7","Derek Forbort",25,2525000,82,8,4.1,54,0,0,1.3,62.9,75.8,395,2,15,6,17,36.2,7.1,1002,53.5,50.3,51.6,-0.1,3.2,2,203,136,95,10,11,21,163,152,140,64,8,125,1,100,1273,1202,938,892,193,193,0,0,0,0,745,0.21,56,17.5,76.2,-11.8,0,1,1,10752,2.19,11.3,87.3,11.5,-2.7,1,31,14,1,1,2,145,28.1,0,0,0,0,0,0,9.9,2
"8","Michael Matheson",23,4875000,81,-5,-6.3,36,0,0,-1.5,61.2,81.8,223,7,8,4,15,32.6,6.6,990,53.5,54.5,49.5,1.6,6.7,7,275,215,154,1,10,11,107.7,53,77,52,40,92,0,0,1242,1264,967,966,148,174,0,1,1,1,2465,0.6,80.7,12.4,86.7,-3.8,0,1,1,12621,2.55,15.5,87.1,15.1,-2.1,3,20,3,0,0,0,48.3,7.5,0,0,0,0,0,0,0.6,2
"9","Mark Borowiecki",28,1200000,70,-3,3,154,0,0,-19.4,34.6,37.4,622,1,2,2,3,13.6,5.1,990,53.5,56.7,48.6,0.5,1.9,3,115,74,50,4,11,15,75.2,351,134,14,5,80,1,100,822,874,584,629,114,99,0,0,0,0,71,0.04,0,0,0,-84.3,0,0,0,2997,0.76,20.5,86.7,19.1,7.4,1,10,139,3,11,14,1773.8,-22.1,0,0,0,1.9,70,51,310.7,0
"10","Josh Manson",25,4100000,82,14,13.1,82,0,1,-6.5,68.8,75.4,394,4,11,3,15,30.9,7.4,995,56,48.5,53.6,6.3,4.7,8,171,121,80,4,11,15,75.2,176,119,49,18,66,0,0,1214,1050,925,783,209,162,0,0,0,0,369,0.11,39.4,5.9,87,-1.2,1,1,2,11527,2.35,13.1,99.1,11.6,-2.8,4,11,99,5,13,18,1601,23.2,0,0,0,8.2,24,22,186.4,3
"13","Cody Franson",30,1e+06,68,-5,4.5,34,0,0,-7.2,53.1,48.8,189,2,15,5,17,45.9,6.6,990,53.5,51.9,50.7,4.5,2.8,2,170,116,82,2,9,11,131.5,84,45,24,12,64,0,0,971,942,755,717,133,128,1,1,1,2,5955,1.54,78.5,10.2,88.5,0.1,0,0,0,3427,0.88,5.9,91.4,6.1,-2.4,2,2,216,9,35,44,3280.3,-10.1,7,35,42,537.2,38,44,292.9,0
"24","Nikita Zadorov",22,2150000,56,-20,-12.8,73,0,0,-8.1,32,51.7,298,0,8,6,8,36.4,5.7,966,50.3,55.4,47.6,1.2,2.4,1,136,87,52,1,4,5,202.4,141,43,18,12,49,0,0,748,828,556,624,69,113,0,2,1,2,2140,0.7,72.5,6,92.4,6.6,0,0,0,7186,2.17,12.7,96.5,11.7,-1.9,0,18,89,2,11,13,1400.5,-48.1,2,3,5,89.6,1,5,46.9,0
"28","Petteri Lindbohm",23,650000,7,-4,-0.1,4,0,0,-0.6,3.9,4,19,0,0,0,0,0,3.4,901,64.6,58.6,52.5,6.3,0.3,0,19,12,10,0,1,1,0,9,7,1,1,5,0,0,97,87,75,62,11,13,0,0,0,0,2,0,0,3000,0,0,0,0,0,73,0.25,35,35,50,42.3,0,0,33,2,1,3,480.6,9.4,0,0,0,0.5,2,0,10.1,0
"29","Damon Severson",23,4166666,80,-31,-10.2,58,0,1,-6,76.4,65.4,212,3,15,8,18,50.7,5.6,982,51.8,50.8,50.5,6,4.8,9,206,143,94,6,6,12,265.4,68,55,45,18,64,0,0,1177,1158,903,905,168,178,0,13,4,13,10887,2.27,91.6,12.3,88.2,5.4,0,0,0,1514,0.36,0,67.7,0,-7.1,1,1,123,6,20,26,2059.9,-1.2,0,12,12,213.8,3,2,61.1,4
"32","Robbie Russo",24,650000,19,2,-0.4,2,0,0,-0.7,8.2,10.9,39,0,0,0,0,0,6,1008,52.3,47.7,52.3,6.5,0.5,1,38,29,16,0,2,2,0,22,46,11,0,8,0,0,241,222,184,175,27,32,0,0,0,0,151,0.1,32.9,11,75,-25,0,0,0,1290,1.14,19.3,74.5,20.6,13.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Tyler Wotherspoon",24,650000,4,-2,1,0,0,0,0.2,1.4,1.5,5,0,0,0,0,0,0,889,44.7,51.7,46.4,-3.7,0.2,1,8,5,4,1,0,1,0,3,4,4,1,2,0,0,33,38,28,28,3,4,0,0,0,0,0,0.1,0,0,0,-88.9,0,0,0,0,0,0,0,0,0,0,0,26,0,5,5,344.6,-19.8,0,0,0,0.2,2,1,16.4,0
"37","Brett Kulak",23,650000,21,-3,-0.4,12,0,0,-3.5,11.7,12.1,39,0,3,2,3,42.9,5.4,979,53.9,53.2,50.3,3.4,1,1,51,29,18,1,4,5,74.4,14,15,9,4,13,0,0,262,256,180,200,35,31,0,0,0,0,362,0.34,73.5,16.3,81.8,-5.7,0,0,0,133,0.15,0,65,0,-17.6,0,0,9,0,0,0,117.6,29.8,0,0,0,0.4,0,0,1.8,1
