"","name","Nat","AGE","cap_hit","Ht","Wt","DftYr","DftRd","Ovrl","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ly_salary","ly_cap_hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars"
"52","Mikael Granlund","FIN",25,5750000,70,184,2010,1,9,81,23,16.5,12,1,4,10,76.6,54,112,3200000,3e+06,16,29,19,45,80.4,10.4,1034,51.9,54.8,48.6,0.5,12.3,39,232,178,134,11,15,26,343.7,47,111,21,36,36,13,52,1015,1074,770,795,161,92,7,13,9,20,10626,2.19,100,7.8,92.8,5.3,3,1,4,7300,1.48,7,105,6.3,-8.1,7,14,213,24,68,92,3095.4,1.7,4,27,31,496.8,9,0,99.2,11
"55","Nino Niederreiter","CHE",24,5250000,74,211,2010,1,5,82,17,14.3,53,0,3,1.1,66.5,33.7,194,3500000,2666667,17,26,19,43,77.5,10.1,1018,57.6,46.3,55.5,8.3,12.4,53,235,179,146,8,13,21,345.6,116,98,22,31,20,0,0,1012,815,743,606,144,97,8,6,5,14,9868,2.02,100.2,6.5,93.9,6.2,0,0,0,9,0.04,0,0,0,-14.9,0,0,243,47,49,96,3109.8,15.4,10,9,19,373.2,3,1,34.3,9
"56","Conor Sheary","USA",25,3e+06,68,175,2010,10,266,61,24,13.2,22,1,6,2.4,63.8,44.5,74,667500,667500,21,27,10,48,88.9,10.5,1036,63.5,57.2,52.6,4,12.7,50,206,165,126,13,13,26,165.8,29,87,18,24,21,0,0,898,803,684,603,173,131,2,3,1,5,6534,1.81,95.6,13,88,2.9,0,0,0,40,0.05,0,11,0,-16,0,0,44,7,3,10,386.6,15.8,0,0,0,30.2,0,0,0,12
"57","Ryan Johansen","CAN",24,8e+06,75,218,2010,1,4,82,1,5.2,60,0,3,-9.3,86.4,54.5,167,6e+06,4e+06,9,28,14,37,72.5,7.6,999,65.5,50.5,56.4,8.5,9.9,35,186,150,105,6,7,13,350.1,71,56,30,30,26,692,54,1279,987,972,767,155,138,4,19,10,23,14390,2.79,95.2,11,89.6,2.4,1,0,1,3879,0.82,17.5,76.3,18.7,10.2,4,0,244,53,71,124,3517.5,-4.2,18,50,68,666.3,9,5,193.6,11
"58","Connor Jones","CAN",26,650000,69,176,2009,10,266,4,1,-0.6,2,0,0,1,0.9,1.4,18,575000,575000,0,0,0,0,0,5.9,1059,49.9,46.7,51.6,7.1,0,0,8,2,2,0,1,1,0,13,4,1,1,3,8,66.7,37,35,24,27,2,3,0,0,0,0,0,0.02,0,0,0,-100,0,0,0,107,0.46,0,32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Evan Rodrigues","CAN",23,650000,70,183,2012,10,266,30,-7,-4.1,4,0,0,3,10.5,17.2,28,842500,842500,3,2,2,5,83.3,3.8,971,50.1,56.6,47,-0.2,2.6,8,87,68,47,1,5,6,96.3,12,19,8,10,12,96,39.8,289,326,230,247,33,42,1,0,0,1,334,0.24,50.2,0,100,5.4,0,0,0,1928,1.11,8.9,91,8.9,-4.3,1,0,2,1,1,2,20.2,56.5,0,0,0,0.7,0,0,0,0
"60","Phillip Di Giuseppe","CAN",23,725000,72,200,2012,2,38,36,-12,0.1,15,1,1,-3.8,21.8,17.5,117,867500,817500,1,5,3,6,75,3.6,929,60.5,50.6,54.5,6.2,6.8,30,107,89,64,6,5,11,156.6,87,36,10,11,9,0,0,421,354,318,273,68,60,0,1,0,1,1044,0.5,123.4,3.3,97.4,7.2,0,0,0,53,0.02,0,285.7,0,-10.3,0,0,41,7,10,17,541.7,-4.9,0,0,0,32.1,0,0,0.5,2
"61","Ryan Spooner","CAN",25,2825000,70,184,2010,2,45,78,-8,1,14,1,3,-0.4,60.7,34.3,55,1100000,950000,8,12,5,20,64.5,6.9,993,58.6,50.2,53.9,3.3,7.9,29,152,119,95,3,7,10,134,24,62,33,30,17,74,39.2,837,713,623,504,99,92,3,15,7,18,12294,2.6,113.6,15.4,88,-1.4,0,1,1,1063,0.27,28.5,45.6,38.5,22.9,1,0,132,12,38,50,1515.1,-1,9,19,28,344.5,0,0,22.7,2
"62","Rocco Grimaldi","USA",24,750000,66,180,2011,2,33,4,-3,0,2,0,0,0,2.2,2.2,7,925000,925000,0,1,1,1,100,4.5,903,54.7,71.9,43.2,-7.3,1.4,7,18,13,11,2,1,3,40,1,0,0,3,4,0,0,40,53,29,39,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,2,6,300.7,10.3,0,0,0,13.1,0,0,0.6,0
"63","Blake Coleman","USA",25,660000,71,200,2011,3,75,23,-7,-4,27,0,0,-4,9.2,13.2,94,692500,680000,1,1,1,2,80,2.5,946,40.1,51,44,-3.9,2.6,6,43,35,27,2,3,5,70,49,30,11,12,13,87,43.8,179,229,144,174,20,38,0,0,0,0,87,0.11,59.4,26.7,69,-15.9,0,0,0,1443,1.03,9,101.3,8.2,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"64","Stefan Noesen","USA",24,660000,73,205,2011,1,21,44,6,0.8,24,0,0,-2,18.3,18.5,84,6e+05,6e+05,8,2,1,10,64.5,7.1,1022,47.6,48.2,49.7,2.9,5.2,20,88,79,59,5,2,7,23.6,48,40,9,11,10,24,36.5,374,375,308,289,53,55,0,0,0,0,418,0.19,71.1,21.3,76.9,-10.2,0,0,0,1000,0.4,3.3,98.9,3.3,-5.9,0,0,2,0,0,0,13,-47.5,0,0,0,1.5,0,0,0.8,1
"65","Blake Pietila","USA",24,667500,71,200,2011,5,129,10,-5,-3.5,4,0,0,-1,2.3,5.6,25,675000,662500,0,1,1,1,40,5.7,927,41.6,53.2,43.9,-3.1,0.6,3,17,11,8,0,1,1,29.2,14,12,0,2,3,18,56.3,81,104,64,77,6,21,0,0,0,0,16,0.16,0,0,0,-83.7,0,0,0,741,1.15,13.4,72.5,15.6,15.6,2,0,7,1,1,2,74.1,-14.6,0,0,0,2.2,1,0,6.6,0
"66","Kevin Rooney","USA",24,650000,74,190,2011,10,266,4,-3,-0.7,4,0,0,-1,0.7,1.6,9,625000,625000,0,0,0,0,0,0,857,36.4,45.2,44.6,-0.6,0.1,0,5,4,2,0,0,0,0,4,8,1,0,1,10,38.5,24,30,20,28,3,5,0,0,0,0,15,0.07,0,0,0,-100,0,0,0,36,0.18,0,146.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Ben Thomson","CAN",24,650000,75,205,2012,4,96,3,-4,0.3,4,0,0,-2,1.9,1.4,12,635000,626667,0,0,0,0,0,0,778,51.4,42.1,55,7.9,0.8,3,7,7,6,1,0,1,0,7,7,1,0,1,0,0,28,23,23,19,7,6,0,0,0,0,2,0.07,0,0,0,-92.9,0,0,0,0,0.09,0,0,0,-4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Mika Zibanejad","SWE",24,5350000,74,215,2011,1,6,56,9,1.7,16,2,2,6.5,55.1,40.2,66,3250000,2625000,10,16,4,26,74.3,9.5,1016,54,55.7,49.2,2.6,8.9,33,148,122,82,5,9,14,76.5,22,37,20,34,23,412,52.5,671,689,528,511,115,92,4,7,3,11,8035,2.32,100.7,16.4,86,-0.4,0,0,0,2386,0.73,8.7,122,6.7,-14.3,1,2,230,46,49,95,2937.4,3.4,9,24,33,544.5,8,4,159,5
