"","cap_hit","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP.","ev_SH.","ev_PDO","ev_F.60","ev_A.60","ev_Pct.","ev_RelPct.","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO.","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI.GP","pp_F.60","pp_A.60","pp_Pct.","pp_RelPct.","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F.60","pk_A.60","pk_Pct.","pk_RelPct.","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars","position"
"40",3e+06,63,8,-9,16,0,3,1.1,45.5,64.1,289,3,10,2,13,36.6,7.6,1001,51.1,64.7,44.1,-3.3,2,3,117,76,52,1,4,5,49.5,102,86,39,8,136,0,0,875,1110,667,778,139,145,0,0,0,0,158,0.06,34.4,0,100,6,1,1,2,8505,2.23,16.3,94.7,14.7,-5.9,2,24,237,9,42,51,4279.3,-28,2,4,6,246.9,93,62,639.2,1,"D"
"41",3166667,56,7,3.1,37,0,0,0.6,55.8,61.4,150,4,10,2,14,30.4,9.4,1014,55.2,63.8,46.4,-3.5,4.6,11,122,91,67,3,5,8,35.3,23,43,17,13,61,0,0,813,939,637,670,138,137,1,3,2,4,5503,1.71,84.4,14.8,85,-0.5,0,1,1,7982,2.39,12.5,101.8,10.9,-5.8,5,19,217,21,43,64,3597.6,2.6,8,17,25,393.3,63,11,404.2,3,"D"
"42",650000,4,-1,-1.4,8,0,0,-1.8,1.3,2.5,14,0,0,0,0,0,6.1,996,63.6,66,49.1,-1.6,0.3,0,10,8,2,0,0,0,0,4,2,1,0,1,0,0,42,45,26,42,1,7,0,0,0,0,17,0.07,444.4,0,100,11.1,0,0,0,128,0.6,0,24.2,0,-23.5,0,1,64,3,4,7,822.8,8.1,0,1,1,30,1,4,31.3,0,"D"
"43",650000,2,-1,0.9,0,0,0,0.2,1.4,1,5,0,0,0,0,0,0,889,75,47.8,61.1,12.9,0.1,0,9,3,2,0,1,1,0,2,0,2,2,3,0,0,43,27,19,19,7,3,0,0,0,0,36,0.35,0,0,0,-88.9,0,0,0,0,0,0,0,0,0,0,0,23,0,6,6,373.2,-4.8,0,0,0,37.1,3,0,20.3,0,"D"
"44",3e+06,72,-8,-2.1,21,1,1,3.7,71.5,82.3,235,3,11,6,14,35,6.6,983,56.4,56.6,49.9,1.2,2.4,2,160,90,55,4,11,15,182.6,84,62,42,19,90,0,0,1224,1239,904,952,221,192,0,0,0,0,808,0.24,39.9,4.6,89.6,-2,1,2,3,13032,2.9,15.9,84.8,15.8,1.1,4,24,244,11,31,42,4549.5,8.7,0,1,1,87.3,38,16,554.3,2,"D"
"45",6650000,80,-7,6.4,47,0,2,-8.6,77.6,49.8,231,5,24,11,29,62.4,7.8,995,52.2,46.2,53,5.4,4.4,6,211,143,102,2,5,7,258.1,83,107,33,23,80,0,0,1092,966,829,698,151,126,8,19,7,27,15383,3.12,90.5,12.9,87.5,-3.7,0,0,0,1476,0.39,10.2,43.8,18.8,8.5,1,3,209,15,39,54,3475.7,25.5,17,60,77,659.8,24,6,276.5,7,"D"
"46",650000,12,1,1.8,13,0,0,-3.3,7.1,6.5,47,1,3,3,4,66.7,7.8,1000,61.3,59,50.9,2.4,0.6,1,17,14,8,0,0,0,71.3,23,12,5,1,8,0,0,142,138,102,90,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,743,1.06,9.3,84.1,10,2,1,2,9,0,0,0,114.5,13.6,0,0,0,0.7,0,0,9.4,1,"D"
"47",725000,7,-3,-0.2,4,0,0,-0.7,2.5,2.5,16,0,0,0,0,0,3.6,882,45.9,47.6,49.1,-5.9,0.1,0,5,5,5,0,1,1,0,8,16,3,1,4,0,0,55,56,37,37,8,7,0,0,0,0,0,0.01,0,0,0,-78.6,0,0,0,0,0.06,0,0,0,-9.8,0,0,10,0,6,6,133.1,-2.7,0,0,0,5.8,0,0,7.7,0,"D"
"48",750000,34,-1,3.2,39,0,0,-11.3,14.7,11.4,144,0,4,0,4,40,5.9,1002,56,56.6,49.7,1.2,1.7,6,42,31,24,2,1,3,0,81,52,8,2,21,0,0,309,312,231,244,43,27,0,0,0,0,189,0.11,76.5,0,100,10.4,0,0,0,65,0.05,0,9.9,0,-8.5,1,0,20,0,0,0,260.2,30.5,0,0,0,0.2,0,3,10.9,0,"D"
"49",4333333,47,-26,-9.6,26,0,0,-2,35.4,48.6,158,1,1,0,2,12.5,3.9,970,49.4,60.6,44.9,-2.3,1.2,0,90,53,33,0,3,3,0,54,90,29,14,61,0,0,729,892,549,685,98,108,1,2,1,3,2475,0.95,84.6,11.8,87.7,-1.8,0,0,0,4528,1.63,11.3,111,9.3,2,2,10,228,8,31,39,3890.4,-1,3,14,17,387.3,50,17,496.6,0,"D"
"50",650000,12,-1,-1.5,2,0,0,0.9,6.1,8.1,5,0,4,2,4,50,11.4,1021,51.3,57.4,47.2,1.4,0.5,0,22,15,10,0,1,1,34.6,0,11,3,3,2,0,0,139,155,104,127,12,16,1,1,0,2,442,0.64,53.4,22.9,70,1.3,0,0,0,178,0.3,0,33,0,-19.4,0,0,21,0,2,2,293.1,-40,1,0,1,46.7,0,0,6.9,0,"D"
"51",650000,5,-1,-0.5,0,0,0,0.4,3.6,3.9,13,0,2,2,2,66.7,10.9,1026,53.4,68.9,43.6,-0.4,0.2,0,10,7,3,0,0,0,45,5,2,0,0,7,0,0,67,86,48,57,12,15,0,0,0,0,57,0.28,32.4,32.4,50,-37,0,0,0,92,0.32,0,36.6,0,-4,0,1,151,6,13,19,2285,-27,0,0,0,8.8,31,13,283.8,0,"D"
"52",4625000,82,23,-5.4,28,0,0,-0.4,54.5,82.7,295,3,10,5,13,22.8,9.7,1040,49.8,55.4,47.3,-2.7,2.9,2,150,110,72,2,5,7,96.6,86,102,36,10,117,0,0,1102,1227,826,909,165,187,0,0,0,0,204,0.08,12.4,10.1,55,-33.4,0,0,0,15054,3.07,11.4,86.9,11.6,-7.5,7,38,246,11,46,57,4212.3,-6.1,0,1,1,10.4,122,40,687.2,4,"D"
