"","cap_hit","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP.","ev_SH.","ev_PDO","ev_F.60","ev_A.60","ev_Pct.","ev_RelPct.","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO.","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI.GP","pp_F.60","pp_A.60","pp_Pct.","pp_RelPct.","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F.60","pk_A.60","pk_Pct.","pk_RelPct.","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars","position"
"73",650000,6,-2,-1.7,14,0,0,-2.7,1.4,2.7,35,1,0,0,1,100,6.7,960,40.2,55.9,41.8,-8,0.1,0,11,6,3,0,0,0,0,15,4,3,1,4,0,0,37,52,27,42,4,9,0,0,0,0,0,0.03,0,0,0,-88.9,0,0,0,66,0.22,0,44,0,-28.6,0,0,37,2,2,4,469.7,72.6,0,0,0,1.2,3,1,25.6,0,"D"
"74",650000,5,-3,0.7,0,0,0,0.3,2.5,1.9,12,0,0,0,0,0,3.7,847,50.4,38,57,8.3,0.1,0,5,2,1,0,0,0,0,8,7,1,0,4,0,0,51,38,37,28,9,7,0,0,0,0,0,0.06,0,0,0,-88.5,0,0,0,220,0.55,28.7,57.4,33.3,25.6,0,0,86,1,7,8,1035.9,1.5,0,0,0,0.9,39,7,188.9,0,"D"
"75",650000,1,1,-0.1,0,0,0,0.1,0.7,0.8,0,0,0,0,0,0,16.7,1167,55,66.9,45.1,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,7,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.98,0,61.2,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"76",650000,1,0,-0.6,0,0,0,0.1,0.3,1.1,2,0,0,0,0,0,20,1117,39.3,67.5,36.8,-8.8,0,0,3,1,1,0,0,0,0,0,1,1,0,2,0,0,12,21,7,18,0,4,0,0,0,0,17,0.58,0,0,0,-93.8,0,0,0,95,1.6,0,37.2,0,0,0,0,120,4,19,23,2003.5,-39.5,0,0,0,40.8,24,10,232.9,0,"D"
"77",9e+05,40,-5,-2.5,65,0,2,-11.1,25.5,32.5,262,2,4,3,6,35.3,5.5,982,57.5,52.7,52.2,3.8,2.1,7,101,64,45,1,3,4,98.9,131,50,20,5,38,0,0,564,518,407,390,88,95,0,0,0,0,48,0.03,0,0,0,-87.9,0,0,0,3146,1.33,6.7,92.3,6.8,-5.2,1,5,185,3,25,28,2614.1,-6.2,0,0,0,11.8,42,62,484,2,"D"
"78",650000,27,3,0,16,0,0,-4.9,15.2,13.3,43,0,4,2,4,33.3,7.8,1024,56.4,49,53.5,6.1,0.7,0,37,26,19,0,3,3,50.6,7,23,9,5,20,0,0,305,263,217,201,29,40,0,3,0,3,1950,1.28,78.3,10.2,88.5,-2.8,0,0,0,9,0.04,0,0,0,-10,0,0,12,2,3,5,166.6,-33,0,2,2,11.1,1,0,6.8,2,"D"
"79",2200000,73,8,-4.1,22,1,2,4.5,67.9,84,234,6,10,4,16,30.8,8.3,1014,55.1,57.9,48.8,-2.2,3.4,6,176,116,80,4,7,11,92.9,87,95,42,27,100,0,0,1210,1275,876,927,173,198,0,2,1,2,4563,1.06,80.3,12.4,86.6,-4.6,0,0,0,8879,1.99,14.6,96.4,13.2,1.4,3,13,4,0,0,0,55.6,3.2,0,0,0,0,0,0,1.7,5,"D"
"80",725000,13,-1,1.8,2,0,0,-0.1,10.2,5.6,28,0,2,0,2,33.3,7.3,977,51.8,61.7,45.7,-2.5,0.4,1,20,12,6,1,1,2,0,10,16,1,3,15,0,0,141,168,109,108,26,19,0,1,0,1,504,0.67,122,13.6,90,4.6,0,0,0,47,0.12,0,0,0,-25.9,0,0,2,0,0,0,18.6,-6.5,0,0,0,0,0,0,0,1,"D"
"81",1950000,80,-10,-4.8,43,0,1,-12.9,46.6,64.8,191,3,11,5,14,37.8,6.3,986,52.7,54.9,49,0.2,3.3,6,159,115,89,2,6,8,144.5,41,97,40,13,70,0,0,1068,1115,817,846,108,127,0,0,0,0,431,0.11,23,17.9,56.2,-34.5,0,0,0,10012,2.13,9.1,97,8.6,-2.2,5,30,192,5,34,39,2903.7,2.2,0,1,1,17.7,28,8,295.7,1,"D"
"82",9e+05,32,0,-2.9,23,0,0,-3,13.6,17.2,129,2,5,2,7,50,9.6,1024,40.1,59,40.5,-7.8,0.9,3,36,23,14,1,1,2,38.6,65,47,10,1,30,0,0,269,395,206,288,39,41,0,0,0,0,64,0.05,0,0,0,-85.7,0,0,0,1651,0.92,21,73.4,22.3,6.8,2,4,63,0,9,9,892.7,-12.4,0,0,0,2.6,12,15,113.3,2,"D"
"83",1400000,59,2,-3.3,33,0,0,-8.2,31.3,45.5,206,2,10,3,12,42.9,8.5,1009,47.3,57.6,45.1,-2.5,1.8,6,97,56,45,0,2,2,65,69,111,37,12,72,0,0,612,742,445,552,100,114,0,0,0,0,101,0.04,133.1,33.3,80,-3.7,0,0,0,6985,1.98,13.1,92.6,12.4,0,1,19,111,3,15,18,1616.3,-28,0,0,0,6.1,23,9,80,0,"D"
"84",4e+06,68,5,-2.9,23,0,1,8.4,54.9,75,304,1,11,2,12,28.9,7.6,1014,50.1,57.9,46.4,-2.4,3.2,6,148,95,63,3,11,14,49,63,100,48,34,165,0,0,1018,1174,760,788,173,166,0,1,0,1,1192,0.35,65.9,10.1,86.7,-4,0,0,0,9435,2.25,12.6,109.8,10.3,-1.4,2,35,209,8,43,51,4044.8,-42.2,7,23,30,484.6,59,8,274.2,3,"D"
"85",650000,34,9,0.1,8,0,0,0,26.5,30.3,70,2,5,4,7,30.4,8.8,1027,54.4,57.5,48.6,-1,1.6,3,82,53,36,0,4,4,80,35,58,11,9,24,0,0,461,489,344,356,73,80,0,3,2,3,1927,1,79.5,10.4,88.5,3.5,0,0,0,2308,1.18,11.7,82.2,12.5,3.4,0,2,26,0,1,1,395.6,-44.2,0,1,1,19.3,2,2,24.7,1,"D"
"86",1e+06,81,2,-11.7,85,0,2,-2.1,42.4,79.1,363,4,12,6,16,40,7.8,1004,48.5,55.6,46.6,-2.3,3.7,3,207,133,101,2,8,10,145.4,129,111,40,14,95,1,100,977,1119,718,834,118,166,0,0,0,0,125,0.07,16.7,16.7,50,-37,0,0,0,15674,3.09,12.5,92.8,11.9,-6.3,5,38,201,11,21,32,2666.9,-45.1,0,1,1,17.9,31,9,196.5,4,"D"
"87",650000,1,0,0.2,0,0,0,0.1,0.7,0.3,2,0,0,0,0,0,0,1000,54.8,34.6,61.3,18.3,0,0,4,1,1,0,0,0,0,0,1,0,1,2,0,0,14,9,9,6,2,1,0,0,0,0,51,0.85,70.6,70.6,50,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"88",3500000,30,-14,-5.3,18,0,1,2.7,22,33.6,130,1,5,5,6,42.9,5.9,957,50.2,54.6,47.9,0.7,1.2,2,77,45,31,1,4,5,153,64,65,19,3,32,0,0,438,473,322,364,76,90,0,0,0,0,389,0.26,54.6,44,55.4,-25.7,0,0,0,4787,2.61,9.7,87.2,10,-7.8,0,12,205,9,17,26,3182.3,-6.9,0,5,5,131.6,53,39,491.2,1,"D"
"89",650000,73,1,-4.1,25,0,1,-4.7,30.3,35.8,151,1,7,5,8,23.5,8.3,1001,53.3,57.7,48,-2,2.4,2,145,93,70,2,3,5,109.4,71,93,26,9,51,0,0,746,808,544,592,83,107,0,0,0,0,718,0.17,51.5,23.4,68.8,-18.5,0,0,0,805,0.21,11.6,62.1,15.8,4.7,0,0,159,9,11,20,2143.7,-4,8,10,18,257.5,2,7,86.2,0,"D"
"90",4500000,76,-21,4.9,32,0,1,9.2,99.7,56,169,5,11,1,16,57.1,4.8,964,59.6,53.1,52.9,3.9,5.1,8,257,179,117,2,9,11,40.3,37,50,49,15,78,0,0,1127,1003,838,755,165,181,2,21,13,23,17458,3.65,126.8,12.9,90.7,5.6,0,0,0,328,0.11,15.9,23.8,40,31.7,0,1,66,9,15,24,973.7,-38.3,8,14,22,251.7,0,0,5,4,"D"
"91",925000,13,2,3,4,0,0,2.3,13,4.9,13,1,6,5,7,87.5,9.4,1030,61.3,50,55.1,3.8,2.3,11,36,30,21,0,3,3,87.2,5,20,1,10,4,1,100,139,113,115,83,34,15,1,2,1,3,1496,1.92,110.2,16.8,86.8,-0.7,0,0,0,0,0.02,0,0,0,-14.3,0,0,28,6,1,7,246.4,-1.6,1,0,1,32.5,0,0,0.2,1,"F"
"92",5875000,82,13,-2.3,22,3,9,0.3,83.4,75.5,89,22,16,10,38,90.5,7.8,1024,57.1,60.9,48.4,0.1,15.7,58,278,211,172,10,12,22,243.7,25,36,15,25,26,1,50,1023,1088,738,811,168,171,10,11,4,21,12473,2.46,98.9,11.6,89.5,3.5,3,0,3,7663,1.58,9.9,98.8,9.1,-4.1,8,5,238,51,49,100,3152.9,-2.2,15,14,29,524.6,18,3,226.5,13,"F"
"93",6e+06,78,-3,-4.5,47,2,6,-0.3,71.6,62.8,130,21,17,11,38,93.8,7.1,1001,55.9,60.3,48.1,0.4,10.9,36,239,167,133,10,14,24,293.3,19,66,30,18,46,507,53.2,1081,1168,774,864,136,160,6,11,7,17,13658,2.85,97.2,14,87.4,0.8,0,0,0,3366,0.76,16,90.2,15.1,2.8,2,9,221,47,62,109,3296.1,6.4,13,25,38,621.6,9,2,220.6,11,"F"
"94",1387500,64,-7,-6.6,28,2,3,3.9,37.6,35.9,81,17,8,5,25,90.9,8.8,1009,48.3,53.8,47.3,0.8,9.3,29,188,145,99,4,7,11,104.7,27,53,14,12,20,35,47.2,580,644,457,494,80,87,1,3,0,4,4654,1.21,89.6,17,84,-5.2,0,0,0,1989,0.54,17,90.3,15.9,4,3,0,37,8,5,13,306.1,2.2,0,0,0,0.4,1,1,17.8,8,"F"
"95",650000,60,-8,-8.3,25,0,3,-1.1,43.6,27.5,87,3,6,3,9,40.9,8.5,989,51.1,55.5,47.9,0.8,5.2,18,112,82,53,5,7,12,66.9,35,45,19,21,18,115,59.4,491,531,366,404,74,90,5,4,2,9,9216,2.51,115.2,8.4,93.2,4.9,0,0,0,32,0.02,0,46.9,0,-8.8,0,0,159,36,19,55,1940,4.8,13,10,23,278.2,0,0,1.5,3,"F"
"96",660000,72,15,-0.8,49,0,3,2.7,29.5,44.5,111,10,13,8,23,88.5,8.3,1030,48.7,47.9,50.4,0.9,6.4,22,109,93,63,5,4,9,183.2,20,77,27,18,19,8,57.1,596,589,440,434,85,89,0,0,0,0,209,0.09,69.5,34.8,66.7,-23.7,2,0,2,10901,2.56,17,81.8,17.2,3.9,12,14,231,19,59,78,2867.1,-3.1,0,0,0,35.6,57,3,574.2,4,"F"
"97",6e+06,82,1,4.9,38,0,4,16.6,77.5,56.5,109,20,32,17,52,88.1,10.2,1012,55.1,54,50.5,4.2,13.5,46,270,212,142,6,22,28,306.6,42,79,35,35,21,0,0,1074,1056,818,808,162,178,5,7,1,12,12834,2.54,84.2,16.8,83.3,-5.2,0,0,0,89,0.09,4.7,9.5,33.3,20.8,0,0,72,11,16,27,956.2,8.2,4,7,11,164,0,0,0.9,11,"F"
"98",660000,81,-6,4.2,46,0,1,-2.5,42.5,42.4,140,11,10,4,21,68.9,7,977,52.7,48.5,52.1,4.2,8.3,29,148,115,94,9,11,20,108.1,71,89,19,29,16,7,24.1,832,767,611,564,101,103,0,2,0,2,3118,0.68,96.3,12.2,88.7,0.6,1,0,1,4518,0.96,9.9,69.6,12.4,-2.7,3,1,232,20,32,52,2526,-10.7,11,10,21,496.2,4,7,216,3,"F"
"99",1e+06,82,2,4.2,56,0,2,-5.2,82.6,48.4,81,8,25,17,33,62.9,8,1007,58.9,48.2,55,8,13.9,49,223,180,132,12,8,20,361.2,20,80,34,40,4,1,50,1113,910,876,748,152,133,8,5,3,13,13609,2.7,109,9.9,91.7,3.7,0,0,0,76,0.08,0,10.3,0,-18.1,0,0,238,54,87,141,3577.2,23.4,14,25,39,620.1,0,0,5.5,9,"F"
"100",1e+07,61,-13,-5.5,22,1,4,11.1,67,50,83,14,19,9,33,89.2,7.3,993,54.2,60.9,47.1,0.6,12.2,31,277,221,174,9,13,22,213.6,24,51,32,33,33,297,38.8,877,984,691,734,126,137,10,14,7,24,10917,2.87,108.1,14.7,88.1,-2.3,0,0,0,881,0.33,21.6,55.5,28,20.4,0,0,81,16,19,35,1186.7,-6.9,8,13,21,239.4,0,1,29.4,15,"F"
"101",650000,11,0,-1.3,17,0,0,-1,3.9,4.8,61,1,1,0,2,100,4.5,1006,47.8,53.1,47.4,0.7,1.3,5,18,15,8,4,0,4,0,37,14,0,2,4,2,100,92,103,69,78,14,18,0,0,0,0,31,0.13,0,0,0,-86,0,0,0,166,0.27,0,117.7,0,-20,0,0,190,9,17,26,1845.7,-49.1,0,0,0,5.9,22,15,197.9,1,"F"
"102",650000,24,-2,-3.7,10,0,0,-1,4.9,9.4,46,2,2,2,4,80,6.3,1005,40.7,69.2,37,-13.2,1.6,5,32,21,19,2,1,3,58,25,36,1,7,10,6,35.3,144,243,100,173,10,20,0,0,0,0,13,0.05,0,24.9,0,-85.2,0,0,0,65,0.06,0,0,0,-13.6,0,0,16,2,0,2,161.7,0.8,0,0,0,0,0,1,1.8,1,"F"
"103",1850000,78,12,-0.1,89,0,3,-14.9,39.7,43.6,281,17,12,7,29,72.5,9.2,1032,50.7,57.2,47,-2.4,13.6,51,191,158,117,10,9,19,134.1,147,85,16,24,37,8,29.6,766,865,580,645,131,143,0,0,0,0,366,0.14,27.8,11.1,71.4,-14.3,0,0,0,883,0.22,3.5,81.5,4.1,-8,1,3,18,1,4,5,206.2,-12.6,0,0,0,0.2,0,0,0.4,6,"F"
"104",8e+05,73,-1,-2.5,45,0,1,-12.2,22.2,38.7,166,8,8,6,16,76.2,7.5,994,44.4,54.6,44.9,-2.9,6.2,18,136,104,80,4,12,16,141,96,70,16,12,13,1,25,493,604,375,445,63,87,0,0,0,0,247,0.1,9.7,29,25,-58.2,2,0,2,7761,1.77,7.2,83.2,8,-4.8,4,8,209,27,28,55,2348.3,9.9,1,6,7,152.1,15,6,249.1,3,"F"
"105",7e+05,58,-3,1.2,29,0,1,-2.8,20.6,18.4,116,2,3,2,5,29.4,6.5,986,56.6,53.2,51.6,0.9,6.3,23,130,95,73,2,8,10,57.2,74,59,12,14,10,14,26.4,488,458,353,350,56,61,0,0,0,0,1097,0.33,86.4,6.1,93.5,4.6,0,0,0,13,0.02,31.3,62.5,33.3,11.1,0,0,202,33,29,62,2410.9,-7.5,10,10,20,291.1,0,0,1.2,2,"F"
"106",5500000,80,27,14.8,34,1,4,-8,78.8,57.7,131,16,20,5,36,68.6,9.8,1033,52.7,53.3,49.7,1.8,9.3,32,177,131,93,11,7,18,95.2,26,32,19,30,49,700,55,1003,1019,766,751,162,93,2,18,7,20,10691,2.2,103.3,8.2,92.6,4.6,0,2,2,8762,1.75,7,108.7,6,-8.5,7,13,227,25,76,101,3392.7,24.6,16,37,53,755.4,10,3,279.3,12,"F"
"107",5291666,59,-7,4,18,1,3,0.5,56,44.8,76,15,20,6,35,92.1,9.1,997,55.6,53.8,50.8,4.1,9.1,33,142,117,87,9,8,17,114.6,33,34,12,27,17,496,56.8,731,704,566,541,103,105,6,6,4,12,7945,2.19,97.2,16.7,85.3,-3.4,0,0,0,4055,1.16,20.1,97.5,17.1,4.5,2,3,209,40,66,106,3019.3,27.1,19,26,45,604.3,27,5,439,7,"F"
"108",6666666,75,11,14.8,34,2,6,16.5,84.1,43,138,24,22,14,46,86.8,8.4,995,66.3,49.7,57.2,7.9,16.2,51,313,240,172,6,12,18,318.8,67,0,50,47,32,2,66.7,1210,907,909,662,162,133,10,14,7,24,11825,2.59,110,12.3,89.9,1.4,0,0,0,71,0.06,0,33.2,0,-18.3,0,0,97,23,26,49,1230.4,14.9,2,2,4,95.4,0,0,1.5,15,"F"
"109",2875000,80,-1,-2.5,73,0,0,4,44.6,53.9,418,12,10,4,22,62.9,6.7,1001,51.4,56.7,47.5,0.7,9.6,42,160,127,89,5,10,15,109.6,273,88,34,25,52,1,25,959,1059,756,796,131,125,0,0,0,0,743,0.22,51.9,3.6,93.5,4,1,0,1,5565,1.18,11.3,86,11.6,4.2,7,5,206,22,32,54,2681.5,-47.8,0,4,4,148.5,13,18,196.1,3,"F"
"110",5500000,81,-7,-2.3,27,0,1,3.7,64,75.5,134,15,25,14,40,90.9,8.8,1018,50.2,55.7,47.4,1.6,15.1,54,216,179,117,11,14,25,294.5,60,65,18,31,32,588,50,927,1026,689,767,154,148,3,7,5,10,9382,1.94,79.4,12.2,86.6,-1.8,2,0,2,8901,1.79,9.6,118.2,7.5,-4.4,4,6,150,24,28,52,1776.3,-20.5,4,8,12,149.7,17,6,242.8,12,"F"
"111",1950000,81,-16,-0.6,75,0,0,-11.9,40.8,46.3,251,9,12,7,21,77.8,6.3,969,49.7,52.2,48.8,0.5,11,37,179,141,106,10,17,27,211.4,119,60,20,35,37,343,46.4,824,867,607,637,87,114,4,0,0,4,5999,1.24,75.4,10.1,88.2,-1.1,0,1,1,5474,1.16,12.7,76.1,14.3,-0.6,6,5,78,15,14,29,981,9.4,3,5,8,147.7,0,0,2.5,5,"F"
"112",1200000,58,-7,-2.3,14,0,1,0,37.4,30.3,53,5,8,6,13,50,8.1,1009,54.2,61.9,46.7,0.6,7.9,28,115,84,61,9,10,19,142.6,20,61,16,29,17,4,50,619,708,472,545,111,95,0,2,0,2,4355,1.32,67.6,13.1,83.8,-5.5,0,0,0,16,0.04,0,0,0,-10.6,0,0,99,13,25,38,1113.1,1.8,8,5,13,247.6,0,0,0,4,"F"
"113",2e+06,68,-5,-3.9,22,0,2,-0.8,56,45.3,56,12,23,13,35,88.6,10.2,1024,51.8,57.4,47.4,0.8,9.9,36,156,125,99,6,10,16,218.9,27,22,28,15,4,5,45.5,667,736,532,594,128,145,5,8,6,13,10909,2.55,77.7,12.2,86.4,-3.1,0,0,0,65,0.03,0,0,0,-13.8,0,0,232,47,65,112,3169.9,-20.3,19,30,49,726.8,0,0,5,8,"F"
"114",4900000,80,9,3.6,21,0,5,7.4,78.3,54.2,136,11,25,14,36,80,7.9,1009,54,51.6,51.2,2.2,7.4,27,126,93,76,7,8,15,317.8,55,73,22,36,50,544,48.1,1021,975,766,728,152,143,2,21,9,23,12685,2.56,96.9,12,88.9,2.5,0,0,0,3039,0.67,6.6,66.3,9.1,-1.9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"F"
"115",2100000,82,3,-1.7,10,0,4,9,61.9,66.3,106,17,12,7,29,65.9,8.7,1010,58.9,58.9,50,-0.2,12.6,44,209,165,112,8,16,24,161.8,44,78,19,25,30,0,0,1018,1012,739,780,153,156,2,4,2,6,6060,1.25,83.5,14.6,85.1,-0.7,1,0,1,9819,2.02,11.6,92,11.2,1.3,9,11,7,0,1,1,70.1,6.8,1,3,4,25.2,0,0,2.9,5,"F"
"116",7e+05,42,-3,-1.7,29,0,1,-3.1,12.5,21,148,4,3,0,7,58.3,7.6,993,45.4,55.2,45.1,-4,3.1,11,54,45,38,2,4,6,0,77,43,8,7,30,112,60.9,289,352,209,233,34,38,0,0,0,0,194,0.1,0,0,0,-90.4,0,0,0,3804,1.51,13.2,102.8,11.4,-0.1,3,8,216,15,15,30,2255.6,-37.3,0,1,1,36.9,70,18,507.5,2,"F"
"117",8e+05,58,6,-2.3,24,0,3,-9.1,35.2,30.6,89,5,12,8,17,63,8.7,1028,50.4,53.8,48.3,0,7,24,130,108,90,5,6,11,170.1,60,41,27,11,2,7,31.6,579,618,429,471,96,94,3,1,1,4,4599,1.33,101.6,12.1,89.4,1.2,0,0,0,702,0.24,8.3,74.6,10,-1.8,1,1,224,41,44,85,3134.8,-30.7,12,13,25,491.5,9,10,209.7,3,"F"
"118",650000,1,0,-0.2,2,0,0,0,0.2,0.4,5,0,0,0,0,0,0,1000,48.9,58.5,45.5,-3.9,0.1,0,3,2,1,0,0,0,0,3,2,0,0,0,1,50,9,11,5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"119",1600000,75,-7,-0.5,18,0,0,7,32.2,48.8,164,7,9,8,16,76.2,5.4,989,47.8,54.2,46.9,-0.8,9.2,31,174,136,103,7,12,19,267.6,119,105,16,14,22,267,47.4,705,798,533,617,89,100,0,0,0,0,315,0.14,30.1,22.5,57.1,-29.5,0,0,0,5188,1.15,10.4,124.3,7.7,-2.1,2,4,202,24,34,58,2719.4,-43.9,2,4,6,199.4,30,13,328.2,1,"F"
"120",8500000,82,7,12.2,20,3,5,8.8,101.9,66.1,97,19,31,16,50,83.3,9.8,1008,57,54,51.3,3.8,12.7,54,180,144,103,9,10,19,301.5,38,79,60,61,33,386,48.7,1132,1074,852,791,216,184,10,17,11,27,14309,2.8,109.9,12.2,90,-3,0,0,0,2076,0.47,4.6,87.5,5,-8.2,3,1,109,15,34,49,1443.2,10.3,6,5,11,247.2,0,0,3.7,13,"F"
"121",1e+06,72,4,3.3,30,0,2,-1.9,42.3,58.3,93,9,16,8,25,86.2,7.9,992,51.2,55.5,48,-2.4,10.6,42,118,94,70,16,6,22,182.5,31,71,23,14,17,353,54.2,662,714,501,506,131,110,2,2,1,4,1625,0.42,72.6,14.2,83.7,0.8,2,0,2,10060,2.28,12.6,107,10.5,-8.6,5,9,221,29,48,77,2580.5,7.8,1,12,13,222.2,12,7,285,2,"F"
"122",750000,57,-2,-0.5,33,0,0,-5,17.8,22.6,140,0,5,2,5,47.6,4.5,984,51.6,49.1,51.3,5.2,3.5,10,76,62,49,4,3,7,82.9,91,33,6,11,11,77,49,439,417,322,318,49,57,0,0,0,0,228,0.11,40.6,20.3,66.7,-20.2,0,0,0,1640,0.5,13.5,95.2,12.4,3.7,0,1,20,1,0,1,219.5,-1.6,0,0,0,6.2,0,2,20.4,0,"F"
"123",650000,26,9,-2.6,2,0,0,4,7.7,14.8,65,1,5,5,6,42.9,13.1,1084,44.8,55.2,44.8,-4.1,1.1,6,24,17,14,0,0,0,67.5,54,25,5,5,5,43,47.7,188,230,137,176,23,35,0,0,0,0,167,0.14,48.2,0,100,18.8,0,0,0,2031,1.32,10.4,89.6,10.4,-3.1,0,2,209,9,23,32,2187.7,-14.6,0,0,0,12.1,34,9,380.4,0,"F"
"124",650000,3,0,-1.1,0,0,0,1,0.3,1.5,4,0,1,0,1,0,0,1000,35,61.5,36.3,-13.5,0.2,0,6,4,3,0,0,0,0,3,2,1,1,1,0,0,19,33,11,23,0,3,0,0,0,0,5,0.14,0,0,0,-100,0,0,0,73,0.5,0,39.8,0,0,0,0,74,4,9,13,753,-15.3,0,0,0,16.8,3,0,38.4,0,"F"
"125",5750000,81,23,16.5,12,1,4,10,76.6,54,112,16,29,19,45,80.4,10.4,1034,51.9,54.8,48.6,0.5,12.3,39,232,178,134,11,15,26,343.7,47,111,21,36,36,13,52,1015,1074,770,795,161,92,7,13,9,20,10626,2.19,100,7.8,92.8,5.3,3,1,4,7300,1.48,7,105,6.3,-8.1,7,14,213,24,68,92,3095.4,1.7,4,27,31,496.8,9,0,99.2,11,"F"
"126",5250000,82,17,14.3,53,0,3,1.1,66.5,33.7,194,17,26,19,43,77.5,10.1,1018,57.6,46.3,55.5,8.3,12.4,53,235,179,146,8,13,21,345.6,116,98,22,31,20,0,0,1012,815,743,606,144,97,8,6,5,14,9868,2.02,100.2,6.5,93.9,6.2,0,0,0,9,0.04,0,0,0,-14.9,0,0,243,47,49,96,3109.8,15.4,10,9,19,373.2,3,1,34.3,9,"F"
"127",3e+06,61,24,13.2,22,1,6,2.4,63.8,44.5,74,21,27,10,48,88.9,10.5,1036,63.5,57.2,52.6,4,12.7,50,206,165,126,13,13,26,165.8,29,87,18,24,21,0,0,898,803,684,603,173,131,2,3,1,5,6534,1.81,95.6,13,88,2.9,0,0,0,40,0.05,0,11,0,-16,0,0,44,7,3,10,386.6,15.8,0,0,0,30.2,0,0,0,12,"F"
"128",8e+06,82,1,5.2,60,0,3,-9.3,86.4,54.5,167,9,28,14,37,72.5,7.6,999,65.5,50.5,56.4,8.5,9.9,35,186,150,105,6,7,13,350.1,71,56,30,30,26,692,54,1279,987,972,767,155,138,4,19,10,23,14390,2.79,95.2,11,89.6,2.4,1,0,1,3879,0.82,17.5,76.3,18.7,10.2,4,0,244,53,71,124,3517.5,-4.2,18,50,68,666.3,9,5,193.6,11,"F"
"129",650000,4,1,-0.6,2,0,0,1,0.9,1.4,18,0,0,0,0,0,5.9,1059,49.9,46.7,51.6,7.1,0,0,8,2,2,0,1,1,0,13,4,1,1,3,8,66.7,37,35,24,27,2,3,0,0,0,0,0,0.02,0,0,0,-100,0,0,0,107,0.46,0,32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"130",650000,30,-7,-4.1,4,0,0,3,10.5,17.2,28,3,2,2,5,83.3,3.8,971,50.1,56.6,47,-0.2,2.6,8,87,68,47,1,5,6,96.3,12,19,8,10,12,96,39.8,289,326,230,247,33,42,1,0,0,1,334,0.24,50.2,0,100,5.4,0,0,0,1928,1.11,8.9,91,8.9,-4.3,1,0,2,1,1,2,20.2,56.5,0,0,0,0.7,0,0,0,0,"F"
"131",725000,36,-12,0.1,15,1,1,-3.8,21.8,17.5,117,1,5,3,6,75,3.6,929,60.5,50.6,54.5,6.2,6.8,30,107,89,64,6,5,11,156.6,87,36,10,11,9,0,0,421,354,318,273,68,60,0,1,0,1,1044,0.5,123.4,3.3,97.4,7.2,0,0,0,53,0.02,0,285.7,0,-10.3,0,0,41,7,10,17,541.7,-4.9,0,0,0,32.1,0,0,0.5,2,"F"
"132",2825000,78,-8,1,14,1,3,-0.4,60.7,34.3,55,8,12,5,20,64.5,6.9,993,58.6,50.2,53.9,3.3,7.9,29,152,119,95,3,7,10,134,24,62,33,30,17,74,39.2,837,713,623,504,99,92,3,15,7,18,12294,2.6,113.6,15.4,88,-1.4,0,1,1,1063,0.27,28.5,45.6,38.5,22.9,1,0,132,12,38,50,1515.1,-1,9,19,28,344.5,0,0,22.7,2,"F"
"133",750000,4,-3,0,2,0,0,0,2.2,2.2,7,0,1,1,1,100,4.5,903,54.7,71.9,43.2,-7.3,1.4,7,18,13,11,2,1,3,40,1,0,0,3,4,0,0,40,53,29,39,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,2,6,300.7,10.3,0,0,0,13.1,0,0,0.6,0,"F"
"134",660000,23,-7,-4,27,0,0,-4,9.2,13.2,94,1,1,1,2,80,2.5,946,40.1,51,44,-3.9,2.6,6,43,35,27,2,3,5,70,49,30,11,12,13,87,43.8,179,229,144,174,20,38,0,0,0,0,87,0.11,59.4,26.7,69,-15.9,0,0,0,1443,1.03,9,101.3,8.2,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"F"
