"","PLAYER","AGE","POS","DATE","LENGTH","VALUE","CAP HIT","Nat","Ht","Wt","DftYr","DftRd","Ovrl","GP","+/-","E+/-","PIM","OTG","GWG","NPD","xGF","xGA","Grit","1st","2nd","3rd","LY Salary","LY Cap Hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOI/GP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI"
"11","Tanner Glass",33,"LW","3-Oct-17",1,"$650,000","$650,000","CAN",73,213,2003,9,265,11,0,-1.3,17,0,0,-1,3.9,4.8,61,0,1,0,"$1,000,000.00","$1,450,000.00",1,1,0,2,"100.00%","4.50%",1006,"47.8","53.1","47.40%","0.70%",1.3,5,18,15,8,4,0,"4",0,37,14,0,2,4,2,"100.00%",92,103,69,78,14,18,0,0,0,0,31,0.13,0,0,"0.00%","-86.00%",0,0,0,166,0.27,0,117.7,"0.00%","-20.00%",0,0,190,9,17,26,1845.7,-49.1,0,0,0,5.9,22,15,197.9
"12","Harry Zolnierczyk",30,"LW","3-Oct-17",1,"$650,000","$650,000","CAN",71,180,2005,10,266,24,-2,-3.7,10,0,0,-1,4.9,9.4,46,0,1,0,"$575,000.00","$575,000.00",2,2,2,4,"80.00%","6.30%",1005,"40.7","69.2","37.00%","-13.20%",1.6,5,32,21,19,2,1,"3",58,25,36,1,7,10,6,"35.30%",144,243,100,173,10,20,0,0,0,0,13,0.05,0,24.9,"0.00%","-85.20%",0,0,0,65,0.06,0,0,"0.00%","-13.60%",0,0,16,2,0,2,161.7,0.799999999999999,0,0,0,0,0,1,1.8
"13","Josh Anderson",23,"RW","2-Oct-17",3,"$5,550,000","$1,850,000","CAN",75,221,2012,4,95,78,12,-0.1,89,0,3,-14.9,39.7,43.6,281,2,2,2,"$700,000.00","$678,333.00",17,12,7,29,"72.50%","9.20%",1032,"50.7","57.2","47.00%","-2.40%",13.6,51,191,158,117,10,9,"19",134.1,147,85,16,24,37,8,"29.60%",766,865,580,645,131,143,0,0,0,0,366,0.14,27.8,11.1,"71.40%","-14.30%",0,0,0,883,0.22,3.5,81.5,"4.10%","-8.00%",1,3,18,1,4,5,206.2,-12.6,0,0,0,0.2,0,0,0.4
"14","Scottie Upshall",33,"LW","1-Oct-17",1,"$800,000","$800,000","CAN",72,200,2002,1,6,73,-1,-2.5,45,0,1,-12.2,22.2,38.7,166,0,0,3,"$900,000.00","$900,000.00",8,8,6,16,"76.20%","7.50%",994,"44.4","54.6","44.90%","-2.90%",6.2,18,136,104,80,4,12,"16",141,96,70,16,12,13,1,"25.00%",493,604,375,445,63,87,0,0,0,0,247,0.1,9.7,29,"25.00%","-58.20%",2,0,2,7761,1.77,7.2,83.2,"8.00%","-4.80%",4,8,209,27,28,55,2348.3,9.9,1,6,7,152.1,15,6,249.1
"15","Jimmy Hayes",27,"RW","1-Oct-17",1,"$700,000","$700,000","USA",77,215,2008,2,60,58,-3,1.2,29,0,1,-2.8,20.6,18.4,116,1,0,1,"$2,300,000.00","$2,300,000.00",2,3,2,5,"29.40%","6.50%",986,"56.6","53.2","51.60%","0.90%",6.3,23,130,95,73,2,8,"10",57.2,74,59,12,14,10,14,"26.40%",488,458,353,350,56,61,0,0,0,0,1097,0.33,86.4,6.1,"93.50%","4.60%",0,0,0,13,0.02,31.3,62.5,"33.30%","11.10%",0,0,202,33,29,62,2410.9,-7.5,10,10,20,291.1,0,0,1.2
"16","Mikko Koivu",34,"C","18-Sep-17",2,"$11,000,000","$5,500,000","FIN",75,215,2001,1,6,80,27,14.8,34,1,4,-8,78.8,57.7,131,3,5,4,"$5,400,000.00","$6,750,000.00",16,20,5,36,"68.60%","9.80%",1033,"52.7","53.3","49.70%","1.80%",9.3,32,177,131,93,11,7,"18",95.2,26,32,19,30,49,700,"55.00%",1003,1019,766,751,162,93,2,18,7,20,10691,2.2,103.3,8.2,"92.60%","4.60%",0,2,2,8762,1.75,7,108.7,"6.00%","-8.50%",7,13,227,25,76,101,3392.7,24.6,16,37,53,755.4,10,3,279.3
"17","Bryan Little",29,"C, RW","14-Sep-17",6,"$31,750,000","$5,291,666","CAN",72,191,2006,1,12,59,-7,4,18,1,3,0.5,56,44.8,76,5,1,1,"$5,000,000.00","$4,700,000.00",15,20,6,35,"92.10%","9.10%",997,"55.6","53.8","50.80%","4.10%",9.1,33,142,117,87,9,8,"17",114.6,33,34,12,27,17,496,"56.80%",731,704,566,541,103,105,6,6,4,12,7945,2.19,97.2,16.7,"85.30%","-3.40%",0,0,0,4055,1.16,20.1,97.5,"17.10%","4.50%",2,3,209,40,66,106,3019.3,27.1,19,26,45,604.3,27,5,439
"18","David Pastrnak",21,"RW","14-Sep-17",6,"$40,000,000","$6,666,666","CZE",72,181,2014,1,25,75,11,14.8,34,2,6,16.5,84.1,43,138,2,8,5,"$925,000.00","$925,000.00",24,22,14,46,"86.80%","8.40%",995,"66.3","49.7","57.20%","7.90%",16.2,51,313,240,172,6,12,"18",318.8,67,0,50,47,32,2,"66.70%",1210,907,909,662,162,133,10,14,7,24,11825,2.59,110,12.3,"89.90%","1.40%",0,0,0,71,0.06,0,33.2,"0.00%","-18.30%",0,0,97,23,26,49,1230.4,14.9,2,2,4,95.4,0,0,1.5
"19","Marcus Foligno",26,"LW","14-Sep-17",4,"$11,500,000","$2,875,000","CAN",75,228,2009,4,104,80,-1,-2.5,73,0,0,4,44.6,53.9,418,0,1,2,"$2,250,000.00","$2,250,000.00",12,10,4,22,"62.90%","6.70%",1001,"51.4","56.7","47.50%","0.70%",9.6,42,160,127,89,5,10,"15",109.6,273,88,34,25,52,1,"25.00%",959,1059,756,796,131,125,0,0,0,0,743,0.22,51.9,3.6,"93.50%","4.00%",1,0,1,5565,1.18,11.3,86,"11.60%","4.20%",7,5,206,22,32,54,2681.5,-47.8,0,4,4,148.5,13,18,196.1
"20","Bo Horvat",22,"C","8-Sep-17",6,"$33,000,000","$5,500,000","CAN",72,223,2013,1,9,81,-7,-2.3,27,0,1,3.7,64,75.5,134,3,1,8,"$832,500.00","$894,167.00",15,25,14,40,"90.90%","8.80%",1018,"50.2","55.7","47.40%","1.60%",15.1,54,216,179,117,11,14,"25",294.5,60,65,18,31,32,588,"50.00%",927,1026,689,767,154,148,3,7,5,10,9382,1.94,79.4,12.2,"86.60%","-1.80%",2,0,2,8901,1.79,9.6,118.2,"7.50%","-4.40%",4,6,150,24,28,52,1776.3,-20.5,4,8,12,149.7,17,6,242.8
"21","Sam Bennett",21,"C","6-Sep-17",2,"$3,900,000","$1,950,000","CAN",73,186,2014,1,4,81,-16,-0.6,75,0,0,-11.9,40.8,46.3,251,2,3,0,"$925,000.00","$925,000.00",9,12,7,21,"77.80%","6.30%",969,"49.7","52.2","48.80%","0.50%",11,37,179,141,106,10,17,"27",211.4,119,60,20,35,37,343,"46.40%",824,867,607,637,87,114,4,0,0,4,5999,1.24,75.4,10.1,"88.20%","-1.10%",0,1,1,5474,1.16,12.7,76.1,"14.30%","-0.60%",6,5,78,15,14,29,981,9.4,3,5,8,147.7,0,0,2.5
"22","Anthony Duclair",22,"LW, RW","3-Sep-17",1,"$1,200,000","$1,200,000","CAN",71,185,2013,3,80,58,-7,-2.3,14,0,1,0,37.4,30.3,53,0,2,2,"$832,500.00","$772,500.00",5,8,6,13,"50.00%","8.10%",1009,"54.2","61.9","46.70%","0.60%",7.9,28,115,84,61,9,10,"19",142.6,20,61,16,29,17,4,"50.00%",619,708,472,545,111,95,0,2,0,2,4355,1.32,67.6,13.1,"83.80%","-5.50%",0,0,0,16,0.04,0,0,"0.00%","-10.60%",0,0,99,13,25,38,1113.1,1.8,8,5,13,247.6,0,0,0
"23","Thomas Vanek",33,"LW, RW","1-Sep-17",1,"$2,000,000","$2,000,000","AUT",74,214,2003,1,5,68,-5,-3.9,22,0,2,-0.8,56,45.3,56,1,3,4,"$2,600,000.00","$2,600,000.00",12,23,13,35,"88.60%","10.20%",1024,"51.8","57.4","47.40%","0.80%",9.9,36,156,125,99,6,10,"16",218.9,27,22,28,15,4,5,"45.50%",667,736,532,594,128,145,5,8,6,13,10909,2.55,77.7,12.2,"86.40%","-3.10%",0,0,0,65,0.03,0,0,"0.00%","-13.80%",0,0,232,47,65,112,3169.9,-20.3,19,30,49,726.8,0,0,5
"24","Alex Wennberg",22,"C","1-Sep-17",6,"$29,400,000","$4,900,000","SWE",74,196,2013,1,14,80,9,3.6,21,0,5,7.4,78.3,54.2,136,3,3,3,"$925,000.00","$925,000.00",11,25,14,36,"80.00%","7.90%",1009,"54","51.6","51.20%","2.20%",7.4,27,126,93,76,7,8,"15",317.8,55,73,22,36,50,544,"48.10%",1021,975,766,728,152,143,2,21,9,23,12685,2.56,96.9,12,"88.90%","2.50%",0,0,0,3039,0.67,6.6,66.3,"9.10%","-1.90%",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Connor Brown",23,"RW","26-Aug-17",3,"$6,300,000","$2,100,000","CAN",72,185,2012,6,156,82,3,-1.7,10,0,4,9,61.9,66.3,106,2,1,2,"$650,000.00","$686,667.00",17,12,7,29,"65.90%","8.70%",1010,"58.9","58.9","50.00%","-0.20%",12.6,44,209,165,112,8,16,"24",161.8,44,78,19,25,30,0,"0.00%",1018,1012,739,780,153,156,2,4,2,6,6060,1.25,83.5,14.6,"85.10%","-0.70%",1,0,1,9819,2.02,11.6,92,"11.20%","1.30%",9,11,7,0,1,1,70.1,6.8,1,3,4,25.2,0,0,2.9
