"","PLAYER","AGE","POS","DATE","LENGTH","VALUE","CAP HIT","Nat","Ht","Wt","DftYr","DftRd","Ovrl","GP","+/-","E+/-","PIM","OTG","GWG","NPD","xGF","xGA","Grit","1st","2nd","3rd","LY Salary","LY Cap Hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOI/GP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI"
"40","Evan Rodrigues",23,"C","27-Jul-17",2,"$1,300,000","$650,000","CAN",70,183,2012,10,266,30,-7,-4.1,4,0,0,3,10.5,17.2,28,0,0,0,"$842,500.00","$842,500.00",3,2,2,5,"83.30%","3.80%",971,"50.1","56.6","47.00%","-0.20%",2.6,8,87,68,47,1,5,"6",96.3,12,19,8,10,12,96,"39.80%",289,326,230,247,33,42,1,0,0,1,334,0.24,50.2,0,"100.00%","5.40%",0,0,0,1928,1.11,8.9,91,"8.90%","-4.30%",1,0,2,1,1,2,20.2,56.5,0,0,0,0.7,0,0,0
"41","Phillip Di Giuseppe",23,"LW","27-Jul-17",1,"$725,000","$725,000","CAN",72,200,2012,2,38,36,-12,0.1,15,1,1,-3.8,21.8,17.5,117,0,1,1,"$867,500.00","$817,500.00",1,5,3,6,"75.00%","3.60%",929,"60.5","50.6","54.50%","6.20%",6.8,30,107,89,64,6,5,"11",156.6,87,36,10,11,9,0,"0.00%",421,354,318,273,68,60,0,1,0,1,1044,0.5,123.4,3.3,"97.40%","7.20%",0,0,0,53,0.02,0,285.7,"0.00%","-10.30%",0,0,41,7,10,17,541.7,-4.9,0,0,0,32.1,0,0,0.5
"42","Ryan Spooner",25,"C, LW","26-Jul-17",1,"$2,825,000","$2,825,000","CAN",70,184,2010,2,45,78,-8,1,14,1,3,-0.4,60.7,34.3,55,0,1,1,"$1,100,000.00","$950,000.00",8,12,5,20,"64.50%","6.90%",993,"58.6","50.2","53.90%","3.30%",7.9,29,152,119,95,3,7,"10",134,24,62,33,30,17,74,"39.20%",837,713,623,504,99,92,3,15,7,18,12294,2.6,113.6,15.4,"88.00%","-1.40%",0,1,1,1063,0.27,28.5,45.6,"38.50%","22.90%",1,0,132,12,38,50,1515.1,-1,9,19,28,344.5,0,0,22.7
"43","Rocco Grimaldi",24,"C","26-Jul-17",1,"$750,000","$750,000","USA",66,180,2011,2,33,4,-3,0,2,0,0,0,2.2,2.2,7,0,0,0,"$925,000.00","$925,000.00",0,1,1,1,"100.00%","4.50%",903,"54.7","71.9","43.20%","-7.30%",1.4,7,18,13,11,2,1,"3",40,1,0,0,3,4,0,"0.00%",40,53,29,39,10,7,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,27,4,2,6,300.7,10.3,0,0,0,13.1,0,0,0.6
"44","Blake Coleman",25,"LW","26-Jul-17",1,"$660,000","$660,000","USA",71,200,2011,3,75,23,-7,-4,27,0,0,-4,9.2,13.2,94,0,1,0,"$692,500.00","$680,000.00",1,1,1,2,"80.00%","2.50%",946,"40.1","51","44.00%","-3.90%",2.6,6,43,35,27,2,3,"5",70,49,30,11,12,13,87,"43.80%",179,229,144,174,20,38,0,0,0,0,87,0.11,59.4,26.7,"69.00%","-15.90%",0,0,0,1443,1.03,9,101.3,"8.20%","3.40%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Stefan Noesen",24,"RW","26-Jul-17",1,"$660,000","$660,000","USA",73,205,2011,1,21,44,6,0.8,24,0,0,-2,18.3,18.5,84,0,0,1,"$600,000.00","$600,000.00",8,2,1,10,"64.50%","7.10%",1022,"47.6","48.2","49.70%","2.90%",5.2,20,88,79,59,5,2,"7",23.6,48,40,9,11,10,24,"36.50%",374,375,308,289,53,55,0,0,0,0,418,0.19,71.1,21.3,"76.90%","-10.20%",0,0,0,1000,0.4,3.3,98.9,"3.30%","-5.90%",0,0,2,0,0,0,13,-47.5,0,0,0,1.5,0,0,0.8
"46","Blake Pietila",24,"LW","26-Jul-17",2,"$1,335,000","$667,500","USA",71,200,2011,5,129,10,-5,-3.5,4,0,0,-1,2.3,5.6,25,0,0,0,"$675,000.00","$662,500.00",0,1,1,1,"40.00%","5.70%",927,"41.6","53.2","43.90%","-3.10%",0.6,3,17,11,8,0,1,"1",29.2,14,12,0,2,3,18,"56.30%",81,104,64,77,6,21,0,0,0,0,16,0.16,0,0,"0.00%","-83.70%",0,0,0,741,1.15,13.4,72.5,"15.60%","15.60%",2,0,7,1,1,2,74.1,-14.6,0,0,0,2.2,1,0,6.6
"47","Kevin Rooney",24,"C","26-Jul-17",1,"$650,000","$650,000","USA",74,190,2011,10,266,4,-3,-0.7,4,0,0,-1,0.7,1.6,9,0,0,0,"$625,000.00","$625,000.00",0,0,0,0,"0.00%","0.00%",857,"36.4","45.2","44.60%","-0.60%",0.1,0,5,4,2,0,0,"0",0,4,8,1,0,1,10,"38.50%",24,30,20,28,3,5,0,0,0,0,15,0.07,0,0,"0.00%","-100.00%",0,0,0,36,0.18,0,146.3,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Ben Thomson",24,"LW","26-Jul-17",1,"$650,000","$650,000","CAN",75,205,2012,4,96,3,-4,0.3,4,0,0,-2,1.9,1.4,12,0,0,0,"$635,000.00","$626,667.00",0,0,0,0,"0.00%","0.00%",778,"51.4","42.1","55.00%","7.90%",0.8,3,7,7,6,1,0,"1",0,7,7,1,0,1,0,"0.00%",28,23,23,19,7,6,0,0,0,0,2,0.07,0,0,"0.00%","-92.90%",0,0,0,0,0.09,0,0,"0.00%","-4.80%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Mika Zibanejad",24,"C","25-Jul-17",5,"$26,750,000","$5,350,000","SWE",74,215,2011,1,6,56,9,1.7,16,2,2,6.5,55.1,40.2,66,1,0,4,"$3,250,000.00","$2,625,000.00",10,16,4,26,"74.30%","9.50%",1016,"54","55.7","49.20%","2.60%",8.9,33,148,122,82,5,9,"14",76.5,22,37,20,34,23,412,"52.50%",671,689,528,511,115,92,4,7,3,11,8035,2.32,100.7,16.4,"86.00%","-0.40%",0,0,0,2386,0.73,8.7,122,"6.70%","-14.30%",1,2,230,46,49,95,2937.4,3.4,9,24,33,544.5,8,4,159
"50","Joseph Blandisi",23,"C","25-Jul-17",2,"$1,360,000","$680,000","CAN",72,200,2012,6,162,27,-10,-0.5,26,1,2,-6.5,16.8,12.3,71,1,0,0,"$715,000.00","$648,333.00",2,2,1,4,"66.70%","4.60%",970,"51.4","53.3","49.10%","2.50%",2.1,9,42,31,19,0,1,"1",43.6,35,20,2,6,6,72,"45.60%",263,272,201,217,42,33,1,4,3,5,2709,1.62,86.2,13.2,"86.70%","-7.00%",0,0,0,33,0.06,0,21.9,"0.00%","-1.80%",0,0,41,1,10,11,522.7,-8.5,4,2,6,83,0,0,1.7
"51","Matt Nieto",24,"LW, RW","25-Jul-17",1,"$1,000,000","$1,000,000","USA",71,190,2011,2,47,59,-12,1.1,8,0,1,3.3,29.7,38.2,83,0,1,1,"$735,000.00","$735,000.00",7,5,1,12,"85.70%","4.00%",962,"55.2","50.6","52.10%","3.50%",7.8,26,118,100,77,5,9,"14",47.6,37,52,17,25,26,1,"0.00%",677,625,493,479,76,86,0,0,0,0,1975,0.6,72.9,4.1,"94.70%","13.50%",0,1,1,5904,1.65,6.8,95.1,"6.70%","-3.80%",3,8,205,24,32,56,2568.6,12.9,2,7,9,128.3,15,1,175.1
"52","Reid Boucher",23,"LW","24-Jul-17",1,"$687,500","$687,500","USA",70,195,2011,4,99,39,-6,-5.3,8,0,0,3.8,20.1,20.9,42,1,2,0,"$715,000.00","$715,000.00",5,4,2,9,"81.80%","5.90%",983,"50.8","57.2","47.00%","0.10%",5,19,88,72,56,3,3,"6",61.3,18,25,5,17,10,0,"0.00%",338,380,256,306,41,71,1,0,0,1,3589,1.54,98.8,8,"92.50%","4.70%",0,0,0,111,0.06,0,123.2,"0.00%","-8.20%",0,1,73,9,12,21,832.3,3.7,2,4,6,94,0,0,0.6
"53","Austin Watson",25,"LW","24-Jul-17",3,"$3,300,000","$1,100,000","USA",76,204,2010,1,18,77,14,-1.6,99,0,0,-13.1,28.1,43.3,321,0,2,1,"$575,000.00","$575,000.00",5,11,7,16,"66.70%","7.20%",1023,"45.4","55.4","45.10%","-5.90%",7.3,22,144,106,84,8,10,"18",176.2,136,94,11,22,50,14,"41.20%",604,738,449,512,74,83,0,0,0,0,604,0.17,63.8,13.7,"82.40%","-5.30%",0,1,1,7954,1.72,6.3,91.4,"6.50%","-7.20%",2,11,57,3,7,10,506.3,-8.9,0,0,0,1.8,4,0,37.8
"54","Viktor Arvidsson",24,"LW, RW","22-Jul-17",7,"$29,750,000","$4,250,000","SWE",69,180,2014,4,112,80,16,2.7,28,1,6,7.8,71.4,58.6,96,5,6,3,"$640,000.00","$631,667.00",22,23,12,45,"74.40%","9.40%",1011,"67.3","53.5","55.70%","8.10%",17,54,335,276,201,12,26,"38",239.6,20,142,22,28,33,3,"27.30%",1212,965,928,758,154,141,4,5,0,9,9562,1.95,92,12,"88.40%","-1.20%",5,2,7,5110,1.09,21.2,83.1,"20.30%","13.80%",4,8,62,7,8,15,728.8,3.8,1,0,1,17,3,0,4.1
"55","Jordan Martinook",24,"LW","22-Jul-17",2,"$3,600,000","$1,800,000","CAN",72,202,2012,2,58,77,-8,-10.6,40,0,2,-5.9,44.6,72,158,1,1,1,"$625,000.00","$612,500.00",9,11,8,20,"58.80%","7.40%",998,"51.3","59.6","46.20%","0.10%",10.4,38,173,139,92,10,7,"17",196.4,47,78,17,32,48,368,"45.20%",832,964,641,725,119,160,1,1,0,2,1748,0.41,67.2,13.4,"83.40%","-5.60%",1,2,3,10319,2.15,14.6,105.6,"12.20%","0.90%",7,19,89,8,14,22,1043.6,13,0,1,1,25.8,17,2,221.8
"56","Tomas Tatar",26,"LW, RW","21-Jul-17",4,"$21,200,000","$5,300,000","SVK",70,185,2009,2,60,82,-8,3.1,26,0,5,1.3,67.5,51.2,142,4,4,1,"$2,750,000.00","$2,750,000.00",20,18,9,38,"71.70%","10.30%",1008,"50","48.5","50.80%","5.00%",14.8,52,235,176,127,11,13,"24",164,89,84,31,32,23,7,"70.00%",970,940,727,724,142,144,5,3,2,8,11670,2.3,79.2,13.7,"85.20%","-4.20%",0,0,0,231,0.08,0,93.2,"0.00%","-10.70%",0,0,236,51,49,100,2925.7,44.8,18,22,40,554.1,0,0,1
"57","Tyler Gaudet",24,"C","21-Jul-17",1,"$650,000","$650,000","CAN",75,205,2011,10,266,4,0,-0.8,0,0,0,0,0.7,3.2,4,0,0,0,"$874,125.00","$874,125.00",0,1,1,1,"100.00%","12.50%",1082,"27.4","69.1","28.40%","-20.50%",0.3,1,8,5,2,1,0,"1",19,3,1,0,0,1,12,"42.90%",19,48,13,37,2,5,0,0,0,0,0,0,0,0,"0.00%","-83.30%",0,0,0,544,2.23,13.6,135.5,"9.10%","-2.00%",0,0,16,1,2,3,139.3,-65.8,0,0,0,0.3,1,1,16.7
"58","Ryan Dzingel",25,"C, RW","21-Jul-17",2,"$3,600,000","$1,800,000","USA",72,187,2011,7,204,81,7,1.6,30,0,1,5.4,54.2,47,124,1,2,3,"$750,000.00","$750,000.00",12,16,12,28,"68.30%","8.10%",1011,"56.5","58.8","49.00%","1.60%",12.3,54,168,132,102,12,6,"18",281.9,68,78,23,20,19,9,"34.60%",962,1001,697,736,155,137,1,2,1,3,6493,1.37,79.8,8.8,"90.10%","2.80%",1,0,1,882,0.21,19.4,57.7,"25.20%","8.70%",1,0,30,3,6,9,307.3,-10.9,0,0,0,1,0,0,3.3
"59","Garnet Hathaway",25,"RW","20-Jul-17",1,"$650,000","$650,000","USA",74,208,2010,10,266,26,0,-1.2,44,0,0,-4,8,9.4,118,0,0,0,"$722,500.00","$690,000.00",1,4,1,5,"71.40%","9.30%",1015,"44.2","55.6","44.30%","-3.90%",2.4,10,36,28,19,3,1,"4",24.1,56,27,3,8,13,9,"50.00%",172,216,119,157,28,31,0,0,0,0,76,0.08,0,0,"0.00%","-93.40%",0,0,0,116,0.09,51.2,51.2,"50.00%","35.40%",0,0,14,0,2,2,154.9,-0.4,0,0,0,1.9,5,0,9.1
"60","Marcus Sorensen",25,"LW","18-Jul-17",2,"$1,400,000","$700,000","SWE",71,175,2010,4,106,19,-1,2.8,4,0,1,0,8.7,9.1,25,0,0,1,"0","0",1,3,1,4,"80.00%","5.20%",983,"57.6","54.5","51.40%","1.60%",2,8,42,31,26,2,3,"5",37,15,24,11,9,6,2,"100.00%",184,175,137,121,32,25,0,0,0,0,122,0.15,42.6,0,"100.00%","18.20%",0,0,0,725,0.64,0,93.5,"0.00%","-9.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Gabriel Bourque",26,"LW, RW","18-Jul-17",1,"$750,000","$750,000","CAN",70,206,2009,5,132,6,0,-1.1,0,0,0,0,1.6,4.1,23,0,0,0,"$800,000.00","$800,000.00",0,0,0,0,"0.00%","5.30%",1003,"38.4","60.1","39.00%","-4.50%",0.3,1,7,4,2,0,1,"1",0,17,3,0,0,5,0,"0.00%",35,53,24,34,6,8,0,0,0,0,0,0.05,0,0,"0.00%","-76.90%",0,0,0,794,2.18,9.3,129.6,"6.70%","-20.40%",1,1,165,13,29,42,1874.7,-1,0,1,1,55.3,16,5,179.5
"62","Martin Frk",23,"RW","18-Jul-17",1,"$650,000","$650,000","CZE",73,194,2012,2,49,2,-3,-0.2,0,0,0,-1,0.2,0.5,4,0,0,0,"$650,000.00","$639,167.00",0,0,0,0,"0.00%","0.00%",700,"40.2","47.5","45.80%","-4.50%",0.1,0,3,2,1,0,0,"0",0,3,2,1,0,1,0,"0.00%",11,13,6,12,0,0,0,0,0,0,0,0,0,0,"0.00%","-100.00%",0,0,0,0,0.25,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Frederick Gaudreau",24,"C","17-Jul-17",3,"$2,000,000","$666,666","CAN",72,179,2011,10,266,9,1,0.2,0,0,0,1,3.6,2.5,6,0,0,0,"$595,000.00","$595,000.00",0,1,0,1,"25.00%","8.60%",1009,"61.6","63","49.40%","-4.60%",0.8,3,12,9,8,2,1,"3",0,1,5,1,1,5,4,"36.40%",80,80,58,52,11,6,0,0,0,0,25,0.08,0,0,"0.00%","-66.70%",0,0,0,68,0.13,50.3,50.3,"50.00%","37.90%",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Austin Czarnik",24,"C","17-Jul-17",1,"$675,000","$675,000","USA",69,160,2011,10,266,49,-10,2.7,12,0,1,5,26.7,19.4,56,0,1,0,"$842,500.00","$817,500.00",5,5,2,10,"83.30%","5.10%",958,"56.4","47","54.50%","2.90%",4.5,13,86,70,49,3,2,"5",76.3,19,26,6,12,17,53,"45.10%",461,382,344,271,49,51,0,3,3,3,5145,1.75,100.5,10.5,"90.50%","2.20%",0,0,0,3320,1.15,10.5,68.4,"13.30%","-2.40%",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Jean-Gabriel Pageau",24,"C","17-Jul-17",3,"$9,300,000","$3,100,000","CAN",70,180,2011,4,96,82,13,2.9,24,0,2,6,50.7,65.5,264,0,6,5,"$1,100,000.00","$900,000.00",12,19,7,31,"79.50%","8.00%",1014,"51.2","59.3","46.30%","-2.20%",15.7,50,214,190,139,18,11,"29",162.8,145,121,24,18,54,466,"55.60%",910,1050,673,745,138,146,0,0,0,0,1718,0.38,51,5.9,"89.70%","4.50%",0,2,2,10712,2.15,21.8,92.8,"19.00%","9.30%",6,20,160,21,30,51,1922.9,0.4,1,1,2,72.8,31,19,309
"66","Jonny Brodzinski",24,"C","14-Jul-17",2,"$1,300,000","$650,000","USA",73,218,2013,5,148,6,2,2.5,2,0,0,0,4.5,2.3,16,0,0,1,"$925,000.00","$808,750.00",0,2,1,2,"66.70%","7.50%",1075,"63.8","41.8","60.40%","12.40%",1.4,4,26,19,14,2,0,"2",24.8,9,11,1,2,3,0,"0.00%",74,48,58,36,14,10,0,0,0,0,112,0.36,134.1,0,"100.00%","14.30%",0,0,0,3,0.13,0,0,"0.00%","-15.20%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Curtis Lazar",22,"C, RW","14-Jul-17",2,"$1,900,000","$950,000","CAN",72,209,2013,1,17,37,-8,-1.9,4,0,0,6,10.1,13.8,87,0,0,0,"$832,500.00","$894,167.00",1,3,0,4,"66.70%","4.90%",947,"40","60.1","40.00%","-8.60%",2.3,9,46,34,25,4,5,"9",0,66,42,6,7,15,39,"39.80%",214,323,158,228,32,41,0,0,0,0,234,0.12,30,0,"100.00%","13.20%",0,0,0,656,0.31,10.5,42.6,"19.80%","5.60%",0,1,143,10,19,29,1696.8,-12.9,1,1,2,71.6,18,7,132.2
"68","Michael Bournival",25,"LW","14-Jul-17",1,"$650,000","$650,000","CAN",71,198,2010,3,71,19,-3,0.7,2,0,0,-1,8.9,6.3,41,0,0,0,"$575,000.00","$575,000.00",2,1,0,3,"100.00%","3.40%",960,"54.3","51.8","51.20%","2.10%",2.7,7,46,39,25,2,2,"4",0,31,26,3,6,8,1,"33.30%",169,162,131,119,17,12,0,0,0,0,136,0.15,115.1,0,"100.00%","10.50%",0,0,0,0,0.04,0,0,"0.00%","-17.50%",0,0,89,9,7,16,787.2,-17.7,1,2,3,16.4,2,4,44
"69","Ondrej Palat",26,"LW","14-Jul-17",5,"$26,500,000","$5,300,000","CZE",72,188,2011,7,208,75,8,-0.4,39,0,3,7.3,70.9,57.6,247,4,2,2,"$4,000,000.00","$3,333,333.00",12,25,9,37,"82.20%","8.30%",1007,"57.8","51.7","52.80%","4.80%",11.8,38,215,162,122,15,11,"26",202.5,122,112,34,45,42,9,"22.60%",1010,904,755,707,136,118,5,10,4,15,12485,2.68,97.9,12.8,"88.40%","-3.00%",0,0,0,7691,1.72,7.4,98.8,"7.00%","-3.50%",9,21,218,43,81,124,2949.1,19.1,7,22,29,460.9,43,19,376
"70","Liam O'Brien",22,"C","14-Jul-17",1,"$650,000","$650,000","CAN",73,215,2013,10,266,1,0,0.5,0,0,0,0,0.5,0.1,1,0,0,0,"$630,000.00","$621,667.00",0,0,0,0,"0.00%","0.00%",1000,"90","68.5","56.80%","3.70%",0,0,0,0,0,0,0,"0",0,1,1,1,0,0,0,"0.00%",9,7,7,5,2,0,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,13,1,1,2,98.1,7.7,0,0,0,0,0,0,0
"71","Taylor Leier",23,"LW","13-Jul-17",1,"$806,558","$806,558","CAN",70,174,2012,4,117,10,-1,0.8,4,0,0,0,2.4,3.2,11,0,0,0,"$768,150.00","$779,617.00",1,1,0,2,"100.00%","6.90%",993,"41.8","49.6","45.80%","-1.10%",0.7,2,14,10,7,1,0,"1",0,7,17,0,2,0,0,"0.00%",61,72,41,55,7,7,0,0,0,0,10,0.04,0,0,"0.00%","-100.00%",0,0,0,194,0.33,17.8,71,"20.00%","9.70%",0,0,6,0,0,0,45.3,-27.8,0,0,0,0,0,0,0.3
"72","Micheal Ferland",25,"LW, RW","13-Jul-17",2,"$3,500,000","$1,750,000","CAN",74,208,2010,5,133,76,-1,-1.4,50,0,1,-0.5,37.9,36.1,231,0,1,0,"$900,000.00","$825,000.00",13,8,5,21,"67.70%","8.10%",1003,"53","53.9","49.60%","1.70%",9.8,35,160,133,98,6,16,"22",117.7,146,49,37,34,25,3,"42.90%",735,746,531,573,110,122,2,2,0,4,2127,0.51,95.8,14.1,"87.20%","-1.90%",0,0,0,162,0.07,0,82.4,"0.00%","-16.10%",0,0,71,3,13,16,813.1,-2.7,1,1,2,71.3,0,1,7.8
"73","Michael Chaput",25,"C","13-Jul-17",1,"$687,500","$687,500","CAN",74,204,2010,3,89,68,-12,-5.7,29,0,0,-5.9,22.9,32.5,127,1,0,0,"$600,000.00","$600,000.00",4,5,2,9,"60.00%","4.60%",975,"50","56.5","46.90%","1.30%",6.5,28,108,78,62,9,4,"13",79,68,49,14,10,28,197,"52.70%",592,668,440,502,77,85,0,0,0,0,357,0.16,19.3,12.8,"60.00%","-26.70%",0,0,0,1968,0.5,6.9,95.4,"6.80%","-2.30%",3,1,58,2,6,8,523.8,-56.7,0,0,0,3.8,8,0,35.5
"74","Josh Archibald",24,"RW","12-Jul-17",2,"$1,350,000","$675,000","CAN",70,176,2011,6,174,10,3,-0.6,4,0,0,0,5.8,6,34,0,1,0,"$667,500.00","$659,167.00",2,0,0,2,"40.00%","11.10%",1055,"50.8","61.5","45.30%","-1.70%",1.7,5,23,19,10,1,1,"2",0,28,13,2,0,2,0,"0.00%",87,106,66,76,18,22,0,0,0,0,12,0.06,0,0,"0.00%","-84.60%",1,0,1,304,0.53,22.3,100.4,"18.20%","5.70%",0,0,1,0,0,0,5.6,-64.2,0,0,0,0,0,0,0
"75","Andrew Copp",23,"C","12-Jul-17",2,"$2,000,000","$1,000,000","USA",73,206,2013,4,104,64,8,6.8,18,0,1,-4,29.5,30.9,133,2,1,0,"$925,000.00","$925,000.00",8,8,5,16,"68.10%","7.70%",1016,"49.9","52.3","48.80%","1.70%",7.5,28,106,85,65,4,6,"10",117.6,83,62,12,14,17,71,"53.10%",562,588,418,416,92,60,0,0,0,0,552,0.2,67.9,4.8,"93.30%","6.90%",1,0,1,5577,1.47,11.5,91,"11.20%","0.00%",6,11,78,7,7,14,561.2,-4.9,0,0,0,3.5,6,3,62.5
"76","Gemel Smith",23,"C","11-Jul-17",1,"$650,000","$650,000","CAN",70,190,2012,4,104,17,-1,-1.2,21,0,0,0,11.4,11.7,34,0,0,1,"$670,000.00","$645,000.00",2,3,1,5,"100.00%","4.70%",968,"54.2","60.6","47.20%","0.00%",2,7,26,22,17,3,1,"4",46,6,21,4,4,5,24,"41.50%",184,204,139,139,32,33,0,0,0,0,69,0.11,61.3,35.2,"63.50%","-18.50%",1,0,1,1305,1.26,11.3,98.9,"10.20%","-5.50%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Scott Laughton",23,"C","11-Jul-17",2,"$1,925,000","$962,500","CAN",73,190,2012,1,20,2,0,1.4,0,0,0,0,1.5,0.7,3,0,0,0,"$832,500.00","$863,333.00",0,0,0,0,"0.00%","11.10%",778,"67.3","29.8","69.30%","16.20%",0.7,3,5,4,4,1,1,"2",0,3,2,0,1,0,11,"55.00%",23,10,19,7,5,3,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,102,9,17,26,1043.6,-15.8,0,1,1,15.4,5,1,70.5
"78","Zack Mitchell",24,"RW","10-Jul-17",1,"$660,000","$660,000","CAN",73,184,2011,10,266,11,-1,-0.6,0,0,0,0,2,2.8,17,0,0,0,"$640,000.00","$615,000.00",0,0,0,0,"0.00%","0.00%",976,"43.4","56.9","43.30%","-7.90%",0.8,2,14,14,10,1,0,"1",0,14,10,1,2,3,11,"57.90%",66,87,47,66,5,7,0,0,0,0,37,0.1,0,0,"0.00%","-89.50%",0,0,0,0,0.01,0,0,"0.00%","-7.70%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Tyler Johnson",26,"C","10-Jul-17",7,"$35,000,000","$5,000,000","USA",68,183,2009,10,266,66,-5,-3.5,28,1,3,2,60.5,53.2,104,4,1,4,"$4,000,000.00","$3,333,333.00",13,15,5,28,"80.00%","8.30%",1002,"53.1","54.3","49.40%","0.90%",9.4,33,166,133,85,5,11,"16",110.8,43,49,23,20,23,429,"51.30%",775,792,586,610,107,110,6,11,6,17,11339,2.73,95.9,11.9,"88.90%","-2.90%",0,0,0,8121,2.09,7.2,92.2,"7.20%","-3.90%",5,5,228,46,68,114,3063.2,18,16,24,40,547.3,25,5,338.4
"80","Radek Faksa",23,"C","10-Jul-17",3,"$6,600,000","$2,200,000","CZE",75,210,2012,1,13,80,-6,0.2,67,0,0,-2.7,58.3,67.6,233,1,1,0,"$832,500.00","$863,333.00",12,19,10,31,"78.50%","7.50%",983,"58.8","54.3","52.00%","2.70%",14.7,50,223,182,119,15,13,"28",262.8,96,117,30,32,42,479,"49.30%",1038,962,764,695,172,151,0,2,2,2,2592,0.57,78.5,16.1,"83.00%","-4.50%",0,0,0,9414,1.91,13.2,104.5,"11.20%","0.10%",8,15,45,5,6,11,471.6,8.7,0,1,1,3.4,8,5,60.3
"81","Chris Tierney",23,"C","10-Jul-17",1,"$735,000","$735,000","CAN",73,195,2012,2,55,80,0,1.1,6,0,2,15.1,45.1,58.3,100,1,3,1,"$700,000.00","$711,667.00",9,11,7,20,"58.80%","7.70%",999,"53.4","54.1","49.70%","-0.30%",10.3,40,130,100,76,9,7,"16",180.6,47,53,50,31,34,337,"48.90%",883,890,627,633,137,141,1,0,0,1,1313,0.34,55.8,19.3,"74.30%","-12.80%",1,1,2,8592,1.84,15.2,105.6,"12.60%","3.30%",8,10,122,10,25,35,1374.1,-11.1,2,3,5,43.8,9,1,126.5
"82","Brandon Tanev",25,"C, LW, RW","10-Jul-17",1,"$700,000","$700,000","CAN",72,180,2010,10,266,51,-6,-4.2,26,0,1,5.9,13,27.9,187,1,0,0,"$874,125.00","$874,125.00",2,2,0,4,"57.10%","4.70%",987,"40","53.4","42.80%","-4.40%",3.7,13,79,65,51,4,5,"9",0,119,64,7,14,17,1,"0.00%",306,402,217,287,40,60,0,0,0,0,37,0.08,0,7.9,"0.00%","-87.00%",0,0,0,5120,1.65,7.9,113.7,"6.50%","-2.50%",5,13,3,0,0,0,0,0,0,0,0,0,0,0,0
"83","Yohann Auvitu",27,"D, LW","10-Jul-17",1,"$700,000","$700,000","FRA",71,191,2008,10,266,25,1,0.1,2,0,0,1.3,16.1,14.2,31,0,0,1,"$792,500.00","$792,500.00",2,1,1,3,"25.00%","7.10%",1020,"50.8","50.4","50.20%","5.20%",1.1,0,70,53,42,0,5,"5",23.4,17,12,12,7,9,0,"0.00%",282,282,217,228,26,36,0,1,0,1,3141,2.09,78.5,15,"84.00%","-7.00%",0,0,0,0,0.09,0,0,"0.00%","-3.60%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Johan Larsson",24,"C, LW","8-Jul-17",2,"$2,950,000","$1,475,000","SWE",71,200,2010,2,56,36,-7,-2.3,20,0,2,-4.8,22.7,30.2,76,0,0,1,"$950,000.00","$950,000.00",5,5,2,10,"50.00%","8.10%",996,"49.3","57.8","46.00%","-0.60%",5.7,25,84,66,44,2,12,"14",43.6,32,46,15,9,17,247,"48.80%",434,511,334,401,69,63,1,0,0,1,1014,0.53,63,21.6,"74.50%","-14.30%",0,0,0,2653,1.18,5.7,127.7,"4.30%","-4.80%",3,4,141,14,15,29,1830.4,-30.1,2,6,8,119.1,4,1,59.7
