First Name,Last Name,End Team,Pos,GP,PPG,PPA,PPP,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPGive,PPTake,PPTOI,PPTOI/G,54TOI,54TOI/G,54TOF,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,TmPPSCF,TmPPSCA,PPSC%,PPRelSC%,PPPenT,PPPenD,PPCorsi,PPOZ%,PPRelOZ%
Chris,Terry,CAR,LW,57,3,1,4,3,0,1,3.6,9,5,3,33.30%,17.60%,0,0,1,2,2,0,67.5,1.18,66.5,1.17,211.3,3.71,23.90%,50.00%,16.70%,66.70%,1,1,50.00%,6,0,37,5,37,5,3,33,53,6,1.7,89.8,1,0,88.9,92.7,-0.1
Christian,Thomas,MTL,LW,18,0,0,0,0,0,0,0,0,1,0,0.00%,0.00%,0,0,0,0,0,1,2.9,0.16,2.8,0.15,84.6,4.7,3.20%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Nate,Thompson,ANA,C,80,0,0,0,0,0,0,0,3,1,0,0.00%,0.00%,0,0,0,0,0,0,11.6,0.15,11.4,0.14,369.7,4.62,3.00%,0.00%,0.00%,0.00%,11,15,42.30%,0,0,5,1,5,1,0,6,8,0,12.6,100,1,1,72.4,92,-0.1
Chris,Thorburn,WPG,RW,81,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,3,0,0,8.5,0.1,9.3,0.12,426.9,5.27,2.10%,0.00%,0.00%,0.00%,0,0, ,0,0,3,3,3,3,0,1,2,2,-38.6,50,3,0,7.1,85.7,-3.7
Joe,Thornton,SJS,C,78,4,18,22,4,7,11,5.4,26,12,21,15.40%,6.80%,53,2,1,4,12,3,245.4,3.15,250.6,3.21,140.2,1.8,64.10%,10.00%,45.00%,55.00%,76,57,57.10%,40,2,263,31,263,31,12,145,309,33,12,90.4,1,0,155.3,93.6,13.5
Shawn,Thornton,FLA,LW,46,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,3.6,0.08,3.1,0.07,221.1,4.81,1.40%,0.00%,0.00%,0.00%,0,0, ,0,0,3,0,3,0,0,0,1,0,15.2,100,1,1,100.9,100,8.1
Chris,Tierney,SJS,C,43,1,3,4,1,1,1,7.2,4,1,2,25.00%,14.30%,6,0,0,1,2,0,33.2,0.77,30,0.7,191.5,4.45,13.50%,25.00%,50.00%,75.00%,8,8,50.00%,4,0,21,9,21,9,1,15,18,7,-17.6,72,0,0,75.9,74.1,-15.1
Kimmo,Timonen,CHI,D,16,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%,0,0,0,0,0,0,7.4,0.46,7.7,0.48,68.8,4.3,10.00%,0.00%,0.00%,0.00%,,, ,1,0,5,1,5,1,0,2,4,0,16.1,100,0,0,89.4,100,1.6
Jarred,Tinordi,MTL,D,13,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,50.7,3.9,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Jiri,Tlusty,WPG,C/LW,72,6,4,10,5,1,3,4.4,20,7,3,30.00%,20.00%,9,0,6,7,2,3,136.7,1.9,130.2,1.81,228.9,3.18,36.30%,38.50%,30.80%,69.20%,1,0,100.00%,13,3,105,18,105,18,3,64,102,20,-4.8,83.6,1,4,107.5,91.3,-0.8
Jonathan,Toews,CHI,C,81,6,11,17,6,5,6,3.7,53,27,13,11.30%,6.50%,40,0,4,19,6,2,274,3.38,280.4,3.46,156,1.93,64.30%,18.80%,34.40%,53.10%,211,123,63.20%,32,3,227,28,227,28,6,151,232,24,12.4,90.6,5,1,125.3,99.3,11
Tyler,Toffoli,LAK,C/RW,76,3,2,5,3,1,1,2.7,19,9,6,15.80%,8.80%,15,0,0,6,5,1,109.9,1.45,105.2,1.38,256.1,3.37,29.10%,42.90%,28.60%,71.40%,0,3,0.00%,7,0,97,10,97,10,4,38,93,12,5.9,88.6,1,0,117.4,95.5,1.4
Jordin,Tootoo,NJD,RW,68,1,0,1,1,0,0,1.1,4,4,0,25.00%,12.50%,0,0,1,3,1,1,56.9,0.84,54.9,0.81,225.5,3.32,19.60%,25.00%,0.00%,25.00%,1,0,100.00%,4,0,34,10,34,10,0,13,43,7,3,86,0,1,68.6,87.2,-4.6
Vincent,Trocheck,FLA,C,50,1,0,1,1,0,0,1.3,10,5,1,10.00%,6.30%,0,0,0,6,0,0,45.3,0.91,41.8,0.84,201.4,4.03,17.20%,100.00%,0.00%,100.00%,16,13,55.20%,1,0,42,2,42,2,1,16,30,2,10.7,93.8,1,2,127.2,86.8,-4.1
Corey,Tropp,CBJ,RW,61,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,2.7,0.04,2.5,0.04,286.6,4.7,0.90%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,1,0,0,,,0,1,22.5,100,6.7
Zach,Trotman,BOS,D,27,0,0,0,0,0,0,0,2,6,7,0.00%,0.00%,0,0,0,0,0,0,19.2,0.71,18,0.67,88,3.26,17.00%,0.00%,0.00%,0.00%,,, ,1,0,15,1,15,1,0,10,10,0,13.7,100,0,0,122,94.1,-1.8
Jacob,Trouba,WPG,D,65,1,5,6,1,2,2,2.9,23,12,21,4.30%,1.80%,14,1,4,4,4,4,126.3,1.94,121.3,1.87,225,3.46,35.00%,7.10%,28.60%,35.70%,,, ,14,0,87,19,87,19,3,60,108,16,-2.3,87.1,0,0,98.4,86.2,-5
Kyle,Turris,OTT,C,82,4,12,16,4,7,5,3.9,43,20,33,9.30%,4.20%,62,1,4,12,11,0,248.5,3.03,246.4,3,218,2.66,53.10%,14.80%,44.40%,59.30%,114,88,56.40%,27,5,212,42,212,42,7,120,219,41,-4.2,84.2,2,3,114.7,92.8,-1
Dana,Tyrell,CBJ,C,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,17.5,5.83,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Fedor,Tyutin,CBJ,D,67,0,1,1,0,1,0,2.7,3,0,1,0.00%,0.00%,8,2,2,1,1,0,22.3,0.33,20.8,0.31,299.3,4.47,6.50%,0.00%,50.00%,50.00%,,, ,2,0,13,0,13,0,2,2,14,1,5.4,93.3,1,0,75.5,64.3,-30.8
Dominik,Uher,PIT,C,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,7.1,3.55,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
R.J.,Umberger,PHI,C/LW,67,2,0,2,2,0,0,1.4,8,5,1,25.00%,14.30%,0,0,1,6,1,1,88.4,1.32,76.9,1.15,259.7,3.88,22.80%,50.00%,0.00%,50.00%,0,2,0.00%,4,2,45,15,45,15,3,25,50,14,-10.8,78.1,2,1,57,90.9,-4.6
Scottie,Upshall,FLA,LW/RW,63,0,1,1,0,1,0,2.1,3,1,2,0.00%,0.00%,6,0,2,1,0,0,29,0.46,28.7,0.46,271.7,4.31,9.60%,0.00%,33.30%,33.30%,3,2,60.00%,3,1,15,2,15,2,0,11,13,3,-7.1,81.3,1,0,80.8,91.3,-2.2
David,Van Der Gulik,LAK,LW,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.1,0.12,0,0,5.3,5.32,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
James,van Riemsdyk,TOR,LW,82,9,10,19,9,7,2,3.9,52,23,6,17.30%,11.10%,54,0,9,10,5,4,291.7,3.56,284.1,3.46,176.1,2.15,61.70%,27.30%,27.30%,54.50%,8,12,40.00%,33,5,223,56,223,56,11,123,260,44,4.2,85.5,3,3,97.5,94.7,4
Trevor,van Riemsdyk,CHI,D,18,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,0,2.9,0.16,2.1,0.12,114,6.34,1.80%,0.00%,0.00%,0.00%,,, ,0,0,2,0,2,0,0,0,1,0,15.2,100,0,0,81.8,100,5.3
Chris,VandeVelde,PHI,C,72,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,6.9,0.1,6.6,0.09,348.5,4.84,1.90%,0.00%,0.00%,0.00%,1,0,100.00%,0,0,5,1,5,1,0,1,1,0,12.5,100,0,0,78.3,90.9,-2.5
Thomas,Vanek,MIN,LW,80,5,12,17,5,8,3,4.2,52,23,9,9.60%,6.00%,87,0,1,2,15,3,240.4,3.01,235.5,2.94,176.6,2.21,57.10%,22.70%,50.00%,72.70%,3,5,37.50%,22,1,218,34,218,34,7,82,212,26,0.8,89.1,4,0,115.8,97.8,6.3
Philip,Varone,BUF,C,28,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,1,1,0,21.8,0.78,22.5,0.8,98,3.5,18.70%,0.00%,0.00%,0.00%,3,7,30.00%,0,2,21,5,21,5,0,5,11,4,-8,73.3,0,0,96.3,81.3,-10.8
Sami,Vatanen,ANA,D,67,7,10,17,7,2,8,4.9,47,20,27,14.90%,7.40%,18,1,1,7,8,6,209.3,3.12,198.6,2.96,135.3,2.02,59.50%,31.80%,45.50%,77.30%,,, ,22,5,171,25,171,25,2,96,191,20,6.6,90.5,1,1,115.5,95.6,5.9
Stephane,Veilleux,MIN,LW,12,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,42.2,3.52,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Antoine,Vermette,CHI,C,82,6,8,14,6,5,3,4.5,22,3,5,27.30%,20.00%,37,0,3,8,8,1,186.5,2.27,179.5,2.19,202.2,2.47,47.00%,26.10%,34.80%,60.90%,141,95,59.70%,23,2,149,26,149,26,6,82,145,26,1.5,84.8,1,1,110.3,94.9,3.3
Kris,Versteeg,CHI,LW/RW,61,2,3,5,2,1,2,2.8,18,2,2,11.10%,9.10%,10,1,0,7,3,1,108.9,1.79,105.7,1.73,218,3.57,32.60%,20.00%,30.00%,50.00%,1,5,16.70%,10,2,94,14,94,14,5,42,85,12,-1.1,87.6,2,1,112.9,95.1,-1.8
Linden,Vey,VAN,RW,75,4,2,6,4,1,1,2.6,15,6,4,26.70%,16.00%,8,0,1,3,3,1,140.2,1.87,133.7,1.78,218.6,2.91,38.00%,28.60%,14.30%,42.90%,21,24,46.70%,14,0,101,13,101,13,6,46,106,14,1,88.3,2,1,98.4,92.4,-0.5
Tomas,Vincour,COL,C,7,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0.3,0.05,32.5,4.64,1.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,1,1,0,13.5,100,0,0,60,,
Lubomir,Visnovsky,NYI,D,53,2,3,5,2,3,0,2.1,15,8,13,13.30%,5.60%,33,1,2,1,6,6,141.4,2.67,132.6,2.5,156.1,2.94,45.90%,18.20%,27.30%,45.50%,,, ,11,0,111,16,111,16,1,47,142,15,-1.2,90.5,0,0,104.8,96.6,2.1
Joe,Vitale,ARI,C,70,0,0,0,0,0,0,0,0,1,0,0.00%,0.00%,0,0,0,0,0,0,1.8,0.03,1.8,0.03,323.8,4.63,0.50%,0.00%,0.00%,0.00%,2,3,40.00%,0,0,0,0,0,0,0,1,2,0,15.7,100,1,0,33.3,100,7.5
Marc-Edouard,Vlasic,SJS,D,70,0,3,3,0,0,3,1.8,14,7,11,0.00%,0.00%,0,0,3,2,2,2,98.4,1.41,90,1.29,269.9,3.86,25.00%,0.00%,42.90%,42.90%,,, ,7,1,61,12,61,12,4,45,61,10,-1.4,85.9,1,2,88.4,80.5,-12.2
Anton,Volchenkov,NSH,D,46,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,0,1.2,0.03,0.6,0.01,253.2,5.51,0.20%,0.00%,0.00%,0.00%,,, ,0,0,1,0,1,0,0,0,0,0,,,0,0,100,100,6.1
Aaron,Volpatti,WSH,LW,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,6.8,3.42,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Jakub,Voracek,PHI,RW,82,11,22,33,10,8,14,7.4,62,27,44,17.70%,8.30%,48,0,3,12,9,1,267.7,3.27,272.5,3.32,138.5,1.69,66.30%,20.80%,45.80%,66.70%,1,0,100.00%,48,5,241,47,241,47,6,157,312,39,6.3,88.9,3,0,130.4,96.9,12.3
Slava,Voynov,LAK,D,6,0,1,1,0,0,1,3.7,2,0,1,0.00%,0.00%,0,0,0,1,1,0,16.3,2.72,16.4,2.74,16.1,2.68,50.50%,0.00%,100.00%,100.00%,,, ,1,0,9,0,9,0,0,4,11,1,8.3,91.7,0,0,84.7,83.3,-11.7
Radim,Vrbata,VAN,RW,79,12,11,23,10,4,7,6,73,26,26,16.40%,9.60%,24,1,1,4,5,2,230.3,2.92,227.3,2.88,141.6,1.79,61.60%,29.40%,32.40%,61.80%,1,1,50.00%,34,1,174,24,174,24,8,101,192,22,10,89.7,1,0,111,97,12.5
Chris,Wagner,ANA,RW,9,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0.2,0.02,31.6,3.51,0.70%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,100,7.1
Joel,Ward,WSH,RW,82,6,5,11,5,3,2,5.3,18,10,5,33.30%,18.20%,20,0,1,3,2,1,124.8,1.52,119.5,1.46,247.4,3.02,32.60%,27.80%,27.80%,55.60%,23,21,52.30%,18,2,99,24,99,24,1,46,98,18,-5.4,84.5,3,0,101.4,91.8,-6
David,Warsofsky,BOS,D,4,0,0,0,0,0,0,0,2,0,2,0.00%,0.00%,0,0,0,0,0,0,7.8,1.95,7,1.74,7.9,1.98,46.80%,0.00%,0.00%,0.00%,,, ,0,0,6,2,6,2,0,3,7,1,7.5,87.5,0,0,84.4,80,-20
Mike,Weaver,MTL,D,31,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.1,0,0,0,141.7,4.57,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,
Mike,Weber,BUF,D,64,0,0,0,0,0,0,0,1,1,0,0.00%,0.00%,0,3,0,0,0,0,5,0.08,4.6,0.07,295.7,4.62,1.50%,0.00%,0.00%,0.00%,,, ,0,0,5,0,5,0,2,0,3,2,-20.9,60,0,0,96.6,83.3,-6.3
Shea,Weber,NSH,D,78,5,10,15,5,5,4,3.7,68,38,35,7.40%,3.50%,48,4,3,3,4,1,240.6,3.08,236.7,3.03,184.2,2.36,56.20%,23.80%,42.90%,66.70%,,, ,21,1,181,28,181,28,14,89,153,20,1.1,88.4,2,1,100,94.6,1
Yannick,Weber,VAN,D,65,5,3,8,4,2,1,5.1,18,7,21,27.80%,10.90%,12,2,0,2,2,0,94.4,1.45,87.8,1.35,212.8,3.27,29.20%,28.60%,21.40%,50.00%,,, ,14,0,70,8,70,8,3,42,64,7,5.9,90.1,0,0,112.5,95.6,4.1
Dale,Weise,MTL,RW,79,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,0,7.7,0.1,8.1,0.1,377.1,4.77,2.10%,0.00%,0.00%,0.00%,0,1,0.00%,0,0,6,1,6,1,1,4,7,0,17.1,100,1,0,102,85.7,-7.9
Stephen,Weiss,DET,C,52,3,6,9,3,2,4,4.9,12,2,7,25.00%,14.30%,11,0,3,2,6,0,110.4,2.12,109.4,2.1,174.3,3.35,38.60%,17.60%,35.30%,52.90%,3,1,75.00%,17,4,76,20,76,20,4,48,99,20,-6.8,83.2,2,0,91.8,91.4,-2.9
Alexander,Wennberg,CBJ,C,68,1,3,4,1,2,1,2.4,6,4,5,16.70%,6.70%,15,0,2,4,2,0,98.2,1.44,95.9,1.41,242.5,3.57,28.30%,9.10%,27.30%,36.40%,16,18,47.10%,11,1,70,8,70,8,4,39,77,10,0.4,88.5,1,0,103.3,93.9,2.6
Blake,Wheeler,WPG,RW,79,2,10,12,2,5,5,2.8,39,21,10,5.10%,2.90%,37,1,3,15,10,1,257.1,3.25,246.9,3.12,179.7,2.27,57.90%,7.10%,35.70%,42.90%,4,3,57.10%,28,1,180,43,180,43,7,150,250,34,-0.9,88,0,0,103.6,92.1,7
Ryan,White,PHI,C/RW,34,0,0,0,0,0,0,0,2,4,0,0.00%,0.00%,0,0,4,0,0,0,22,0.65,23.3,0.68,127.6,3.75,15.40%,0.00%,0.00%,0.00%,0,1,0.00%,4,0,19,4,19,4,2,15,25,4,-4.3,86.2,0,0,128.3,92.6,0
Joe,Whitney,NJD,LW/RW,4,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,18.2,4.54,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Dennis,Wideman,CGY,D,80,6,15,21,6,7,8,5.1,69,23,52,8.70%,4.20%,48,3,6,6,10,2,246.9,3.09,242.1,3.03,178.7,2.23,57.50%,18.80%,46.90%,65.60%,,, ,32,2,186,31,186,31,16,116,208,34,-2.3,86,1,1,106.9,95.5,4.4
Patrick,Wiercioch,OTT,D,56,1,4,5,1,2,2,2.2,21,7,25,4.80%,1.90%,19,5,5,7,5,0,134.3,2.4,131.2,2.34,185.6,3.31,41.40%,8.30%,33.30%,41.70%,,, ,12,1,100,24,100,24,8,52,108,23,-7,82.4,3,1,92.5,89.2,-3.7
Justin,Williams,LAK,RW,81,4,9,13,4,4,5,5.9,29,13,5,13.80%,8.50%,24,1,0,10,7,2,131.3,1.62,125.7,1.55,265.3,3.28,32.10%,23.50%,52.90%,76.50%,0,0, ,17,0,85,25,85,25,12,54,93,24,-7.5,79.5,0,3,81.8,88.8,-7
Colin,Wilson,NSH,C,77,3,4,7,3,3,1,2.2,28,11,5,10.70%,6.80%,31,0,3,12,4,3,191,2.48,186.3,2.42,238.2,3.09,43.90%,18.80%,25.00%,43.80%,4,12,25.00%,16,1,147,17,147,17,8,61,139,21,-2.4,86.9,0,1,103,96.3,2.9
Garrett,Wilson,FLA,LW,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.4,0.18,0,0.02,5.7,2.83,0.70%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,100,0
Ryan,Wilson,COL,D,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.2,0.06,0.2,0.06,16.3,5.44,1.00%,0.00%,0.00%,0.00%,,, ,0,0,1,0,1,0,0,0,1,0,7.7,100,0,0,120,,
Scott,Wilson,PIT,C,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,3.5,3.52,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Tom,Wilson,WSH,RW,67,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,3.4,0.05,2.8,0.04,290.9,4.34,1.00%,0.00%,0.00%,0.00%,0,0, ,0,0,1,1,1,1,0,2,0,1,-87.7,0,3,1,35.6,100,4
Tommy,Wingels,SJS,C/RW,75,4,6,10,3,4,1,5.3,22,7,1,18.20%,13.30%,34,0,6,6,3,1,112.3,1.5,104.9,1.4,282.4,3.77,27.10%,30.00%,50.00%,80.00%,17,20,45.90%,10,0,76,23,76,23,5,51,71,18,-9.9,79.8,2,2,86.6,80.2,-12.8
Daniel,Winnik,PIT,C/LW,79,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,4.7,0.06,5.5,0.07,427.8,5.42,1.30%,0.00%,0.00%,0.00%,1,0,100.00%,0,0,1,0,1,0,1,1,1,1,-35.2,50,0,1,25.4,100,6.7
James,Wisniewski,ANA,D,69,7,8,15,7,4,4,4.3,47,15,35,14.90%,7.20%,30,2,3,4,3,0,210.3,3.05,199.6,2.89,153.2,2.22,56.60%,29.20%,33.30%,62.50%,,, ,24,2,156,26,156,26,7,88,170,27,-6.2,86.3,1,0,103.6,96.5,6.4
Luke,Witkowski,TBL,D,16,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.1,0.01,0.2,0.01,82.5,5.15,0.20%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,-94.7
David,Wolf,CGY,LW,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,12.9,4.31,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Brendan,Woods,CAR,LW,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,8.5,4.26,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Tyler,Wotherspoon,CGY,D,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,1.1,1.14,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Bogdan,Yakimov,EDM,C,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,6.1,6.14,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Nail,Yakupov,EDM,RW,81,5,5,10,4,1,4,3.9,36,14,17,13.90%,7.50%,7,0,4,6,5,1,153.5,1.9,141.7,1.75,229.1,2.83,38.20%,23.50%,29.40%,52.90%,0,0, ,17,2,108,19,108,19,5,67,121,19,-2,86.4,2,2,99.7,91.3,-5.9
Keith,Yandle,NYR,D,84,2,27,29,2,9,18,5,69,26,49,2.90%,1.40%,74,8,0,3,17,5,348.3,4.15,338.5,4.03,54.7,0.65,86.10%,5.10%,69.20%,74.40%,,, ,39,4,283,51,283,51,12,164,281,48,-1.3,85.4,3,0,112.1,93.4,7.1
Nikita,Zadorov,BUF,D,60,2,3,5,2,1,2,3.6,8,8,7,25.00%,8.70%,6,1,6,3,5,0,84,1.4,78.9,1.32,188.1,3.14,29.60%,22.20%,33.30%,55.60%,,, ,9,3,45,15,45,15,5,20,53,18,-7,74.7,3,0,57.8,92.3,4
Travis,Zajac,NJD,C,74,4,3,7,3,1,2,2.9,24,9,10,16.70%,9.30%,8,0,4,3,8,1,147.1,1.99,145.1,1.96,168.3,2.27,46.30%,25.00%,25.00%,50.00%,63,47,57.30%,12,1,85,22,85,22,1,40,101,14,3.5,87.8,0,1,71.8,93.4,3.3
Henrik,Zetterberg,DET,LW/C,77,4,24,28,4,15,9,6.8,47,30,32,8.50%,3.70%,92,0,0,10,10,3,248.4,3.23,241.9,3.14,190,2.47,56.00%,10.50%,63.20%,73.70%,95,93,50.50%,38,6,195,36,195,36,6,95,247,34,-1.3,87.9,4,0,106.1,94.7,3.6
Mika,Zibanejad,OTT,C,80,4,10,14,4,4,6,3.9,36,19,18,11.10%,5.50%,38,0,6,10,6,1,215.1,2.69,210.9,2.64,244.7,3.06,46.30%,19.00%,47.60%,66.70%,95,103,48.00%,21,1,176,18,176,18,5,94,189,21,7.1,90,2,3,118.6,94.6,2.3
Marek,Zidlicky,DET,D,84,6,14,20,6,6,7,5.4,38,22,26,15.80%,7.00%,38,1,2,4,5,1,220.6,2.63,218,2.6,189.1,2.25,53.50%,20.70%,44.80%,65.50%,,, ,29,4,155,32,155,32,2,77,182,24,2.5,88.4,2,0,94.1,98.1,5.5
Harry,Zolnierczyk,NYI,LW,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,5,2.51,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Dainius,Zubrus,NJD,LW/C,74,0,1,1,0,1,0,3,0,0,0,0.00%,0.00%,11,0,1,0,1,0,20.3,0.27,19.7,0.27,289,3.91,6.40%,0.00%,100.00%,100.00%,1,2,33.30%,1,0,10,4,10,4,1,6,7,1,3.2,87.5,2,0,53.1,94.7,2.3
Mats,Zuccarello,NYR,RW/LW/C,78,0,6,6,0,3,2,2.4,19,13,16,0.00%,0.00%,31,3,2,2,2,5,153.2,1.96,145.4,1.86,215.9,2.77,40.20%,0.00%,38.50%,38.50%,5,9,35.70%,13,1,121,18,121,18,9,57,100,13,2.3,88.5,2,2,104.2,90.4,-2
Jason,Zucker,MIN,LW,51,1,0,1,1,0,0,1.4,4,1,0,25.00%,20.00%,0,0,1,3,3,0,43.3,0.85,43.3,0.85,243.5,4.78,15.10%,33.30%,0.00%,33.30%,0,0, ,3,1,36,4,36,4,1,20,33,2,4.1,94.3,1,0,117.8,95.7,0.8
