First Name,Last Name,End Team,Pos,GP,PPG,PPA,PPP,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPGive,PPTake,PPTOI,PPTOI/G,54TOI,54TOI/G,54TOF,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,TmPPSCF,TmPPSCA,PPSC%,PPRelSC%,PPPenT,PPPenD,PPCorsi,PPOZ%,PPRelOZ%
Brendan,Smith,DET,D,76,0,2,2,0,1,1,6.8,1,1,1,0.00%,0.00%,5,1,1,1,1,0,17.6,0.23,18.4,0.24,409.3,5.39,4.30%,0.00%,100.00%,100.00%,,, ,2,0,7,2,7,2,1,4,10,1,2.5,90.9,2,0,51,88.9,-4.9
Colin,Smith,COL,C,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,1.8,1.83,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Craig,Smith,NSH,C,82,6,3,9,5,1,2,2.7,40,15,11,15.00%,9.10%,11,0,1,4,10,2,202.2,2.47,194,2.37,249.1,3.04,43.80%,33.30%,20.00%,53.30%,4,8,33.30%,15,3,153,18,153,18,6,56,136,20,-1.3,87.2,3,0,98.5,95.9,3.1
Reilly,Smith,BOS,RW,81,1,10,11,1,6,4,4.5,17,14,26,5.90%,1.80%,52,1,2,7,9,1,145.2,1.79,149,1.84,208.1,2.57,41.70%,6.70%,66.70%,73.30%,1,0,100.00%,15,1,114,13,114,13,4,83,136,12,7.2,91.9,2,0,121.9,97.2,2.5
Trevor,Smith,TOR,C,54,0,0,0,0,0,0,0,1,0,1,0.00%,0.00%,0,0,1,0,0,0,7.7,0.14,7.7,0.14,291.8,5.4,2.60%,0.00%,0.00%,0.00%,8,2,80.00%,0,0,6,1,6,1,0,2,6,1,0.1,85.7,0,0,93.5,42.9,-50.7
Zack,Smith,OTT,C,37,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,1,0,0,7.2,0.2,6.2,0.17,216.7,5.86,2.80%,0.00%,0.00%,0.00%,3,6,33.30%,0,0,0,2,0,2,1,3,1,3,-60.7,25,2,0,-16.6,90,-4.9
Devante,Smith-Pelly,MTL,RW,74,0,1,1,0,0,1,0.9,6,3,1,0.00%,0.00%,0,0,3,4,2,0,68.1,0.92,64.2,0.87,312,4.22,17.10%,0.00%,50.00%,50.00%,0,6,0.00%,2,1,41,9,41,9,3,29,37,9,-6.5,80.4,2,0,80.2,86.4,-7.4
Carl,Soderberg,BOS,C,82,5,3,8,5,3,0,2.9,34,11,3,14.70%,10.40%,26,0,1,7,2,0,164.4,2.01,166.5,2.03,195.8,2.39,46.00%,29.40%,17.60%,47.10%,24,22,52.20%,17,2,128,21,128,21,6,87,162,21,1.6,88.5,1,0,113.1,95.5,-0.6
Nick,Spaling,PIT,C,82,1,0,1,1,0,0,2.8,1,2,0,100.00%,33.30%,0,0,1,2,0,0,21.7,0.26,19.4,0.24,404.9,4.94,4.60%,100.00%,0.00%,100.00%,2,2,50.00%,1,0,15,2,15,2,0,4,10,0,12.4,100,0,0,85.8,61.1,-33.1
Jason,Spezza,DAL,C,82,4,22,26,4,8,14,5.2,48,24,26,8.30%,4.10%,53,2,0,6,17,5,299.9,3.66,294.7,3.59,169.8,2.07,63.40%,9.80%,53.70%,63.40%,129,93,58.10%,41,3,230,40,230,40,7,139,258,52,5.4,83.2,2,0,110,94.9,8.6
Ryan,Spooner,BOS,C,29,3,2,5,3,1,1,3.8,22,5,11,13.60%,7.90%,10,0,3,1,5,0,80,2.76,78.6,2.71,76.1,2.62,50.80%,30.00%,20.00%,50.00%,4,2,66.70%,10,0,89,9,89,9,1,39,88,11,3.8,88.9,1,0,156.1,97.2,8.5
Jared,Spurgeon,MIN,D,66,3,3,6,3,2,1,2.7,21,11,7,14.30%,7.70%,25,3,1,6,2,0,133.7,2.03,131.1,1.99,211.7,3.21,38.20%,30.00%,30.00%,60.00%,,, ,10,1,113,16,113,16,3,42,118,15,2,88.7,0,0,108.6,90.2,-7
Fr_d_ric,St-Denis,CBJ,D,4,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,27.2,6.79,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Martin,St. Louis,NYR,RW,74,5,8,13,6,5,3,3.7,39,17,15,12.80%,7.00%,52,0,0,4,10,3,212.7,2.87,214.8,2.9,150.4,2.03,58.80%,30.00%,40.00%,70.00%,9,8,52.90%,20,3,189,33,189,33,5,94,165,25,0.2,86.8,1,2,117.9,93.9,6.4
Eric,Staal,CAR,C,77,7,10,17,7,7,1,5.1,38,14,27,18.40%,8.90%,55,0,1,10,7,1,200.8,2.61,192.4,2.5,176.2,2.29,52.20%,29.20%,33.30%,62.50%,81,57,58.70%,24,2,165,18,165,18,8,109,177,23,-0.8,88.5,1,0,124.6,94.6,3.2
Jordan,Staal,CAR,C,46,1,6,7,1,3,3,4.6,18,8,3,5.60%,3.40%,20,0,1,6,4,0,91.8,1.99,88,1.91,115.4,2.51,43.30%,8.30%,50.00%,58.30%,48,35,57.80%,12,0,68,9,68,9,3,48,77,10,-1.1,88.5,0,1,114.4,95.4,4.8
Marc,Staal,NYR,D,80,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,1,0,0,9.5,0.12,8.8,0.11,367.7,4.6,2.30%,0.00%,0.00%,0.00%,,, ,0,0,0,1,0,1,0,4,3,0,13.6,100,1,0,12.6,54.6,-38.4
Drew,Stafford,WPG,RW,76,4,5,9,4,2,3,3,37,10,8,10.80%,7.30%,21,1,2,5,2,2,178.9,2.35,177.7,2.34,188.9,2.49,48.50%,26.70%,33.30%,60.00%,26,30,46.40%,15,3,143,32,143,32,10,53,141,33,-2.8,81,2,2,92.9,86,-2.9
