PLAYER,AGE,POS,TEAM,DATE,TYPE,LENGTH,VALUE,CAP HIT
Kaden Fulcher,19,G,,3-Oct-17,Entry-Level,3,"$2,150,000","$716,666"
Drake Batherson,19,C,,3-Oct-17,Entry-Level,3,"$2,400,000","$763,333"
Josh Anderson,23,RW,,2-Oct-17,Standard,3,"$5,550,000","$1,850,000"
Brandon Crawley,20,D,,2-Oct-17,Entry-Level,3,"$2,600,000","$770,000"
Tanner Kaspick,19,C,,2-Oct-17,Entry-Level,3,"$2,500,000","$750,000"
Alex Formenton,18,LW,,2-Oct-17,Entry-Level,3,"$2,775,000","$784,166"
Ty Lewis,19,LW,,2-Oct-17,Entry-Level,3,"$2,200,000","$733,333"
David Booth,32,LW,,2-Oct-17,Standard,1,"$700,000","$700,000"
Scottie Upshall,33,LW,,1-Oct-17,Standard,1,"$800,000","$800,000"
Jimmy Hayes,27,RW,,1-Oct-17,Standard,1,"$700,000","$700,000"
Nicolas Hague,18,D,,29-Sep-17,Entry-Level,3,"$2,775,000","$853,333"
Craig Anderson,36,G,,29-Sep-17,35+,2,"$9,500,000","$4,750,000"
Robert Thomas,18,C,,28-Sep-17,Entry-Level,3,"$3,625,000","$925,000"
Dylan Ferguson,19,G,,28-Sep-17,Entry-Level,3,"$2,150,000","$716,666"
Alexey Lipanov,18,C,,28-Sep-17,Entry-Level,3,"$2,775,000","$809,166"
Jack Studnicka,18,C,,26-Sep-17,Entry-Level,3,"$2,775,000","$830,833"
Brennan Menell,20,D,,26-Sep-17,Entry-Level,3,"$2,150,000","$716,666"
Jaret Anderson-Dolan,18,C,,25-Sep-17,Entry-Level,3,"$2,775,000","$759,166"
Luke Green,19,D,,25-Sep-17,Entry-Level,3,"$2,540,000","$741,666"
Sam Miletic,20,"LW, C",,25-Sep-17,Entry-Level,3,"$2,130,000","$710,000"
Kieffer Bellows,19,"C, LW",,22-Sep-17,Entry-Level,3,"$3,412,500","$925,000"
Edward Wittchow,24,D,,22-Sep-17,Entry-Level,1,"$670,000","$670,000"
Dylan Coghlan,19,D,,20-Sep-17,Entry-Level,3,"$2,195,000","$731,666"
Parker Kelly,18,"C, LW",,19-Sep-17,Entry-Level,3,"$2,240,000","$746,666"
Mikko Koivu,34,C,,18-Sep-17,35+,2,"$11,000,000","$5,500,000"
D_reck Baribeau,18,G,,18-Sep-17,Entry-Level,3,"$2,300,000","$766,666"
Jordy Bellerive,18,C,,16-Sep-17,Entry-Level,3,"$2,150,000","$716,666"
Nikita Zadorov,22,D,,15-Sep-17,Standard,2,"$4,300,000","$2,150,000"
Bryan Little,29,"C, RW",,14-Sep-17,Standard,6,"$31,750,000","$5,291,666"
David Pastrnak,21,RW,,14-Sep-17,Standard,6,"$40,000,000","$6,666,666"
Marcus Foligno,26,LW,,14-Sep-17,Standard,4,"$11,500,000","$2,875,000"
Alex D'Orio,18,G,,13-Sep-17,Entry-Level,3,"$2,150,000","$716,666"
Petteri Lindbohm,23,D,,11-Sep-17,Standard,1,"$650,000","$650,000"
Brandon Mashinter,28,LW,,11-Sep-17,Standard,1,"$650,000","$650,000"
Damon Severson,23,D,,11-Sep-17,Standard,6,"$25,000,000","$4,166,666"
Bo Horvat,22,C,,8-Sep-17,Standard,6,"$33,000,000","$5,500,000"
Dmitri Samorukov,18,D,,7-Sep-17,Entry-Level,3,"$2,775,000","$886,666"
Jacob Middleton,21,D,,7-Sep-17,Entry-Level,3,"$2,205,000","$735,000"
Sam Bennett,21,C,,6-Sep-17,Standard,2,"$3,900,000","$1,950,000"
Robbie Russo,24,D,,5-Sep-17,Standard,2,"$1,300,000","$650,000"
Tyler Wotherspoon,24,D,,5-Sep-17,Standard,1,"$650,000","$650,000"
Anthony Duclair,22,"LW, RW",,3-Sep-17,Standard,1,"$1,200,000","$1,200,000"
Thomas Vanek,33,"LW, RW",,1-Sep-17,Standard,1,"$2,000,000","$2,000,000"
Alexander Wennberg,22,C,,1-Sep-17,Standard,6,"$29,400,000","$4,900,000"
Brett Kulak,23,D,,28-Aug-17,Standard,1,"$650,000","$650,000"
Will Butcher,22,D,,27-Aug-17,Entry-Level,2,"$7,550,000","$925,000"
Connor Brown,23,RW,,26-Aug-17,Standard,3,"$6,300,000","$2,100,000"
Matt Hendricks,36,LW,,26-Aug-17,35+,1,"$700,000","$700,000"
Drew Stafford,31,"RW, LW",,25-Aug-17,Standard,1,"$800,000","$800,000"
Alexander Kerfoot,23,"C, RW",,23-Aug-17,Entry-Level,2,"$2,275,000","$925,000"
Doyle Somerby,23,D,,21-Aug-17,Entry-Level,2,"$1,500,000","$725,000"
Francois Beauchemin,37,D,,21-Aug-17,35+,1,"$1,700,000","$1,000,000"
Jean-Sebastien Dea,23,C,,21-Aug-17,Standard,1,"$650,000","$650,000"
Tye McGinn,27,LW,,17-Aug-17,Standard,1,"$650,000","$650,000"
Zemgus Girgensons,23,"C, LW",,17-Aug-17,Standard,2,"$3,200,000","$1,600,000"
Leon Draisaitl,21,C,,16-Aug-17,Standard,8,"$68,000,000","$8,500,000"
Matt Cullen,40,"C, LW",,16-Aug-17,35+,1,"$1,700,000","$1,000,000"
Dominic Toninato,23,C,,16-Aug-17,Entry-Level,2,"$1,850,000","$925,000"
Kailer Yamamoto,18,"C, LW",,10-Aug-17,Entry-Level,3,"$3,465,000","$925,000"
Brendan Gaunce,23,"LW, C",,9-Aug-17,Standard,2,"$1,500,000","$750,000"
Stephen Gionta,33,"C, RW",,9-Aug-17,Standard,1,"$650,000","$650,000"
Barclay Goodrow,24,"RW, C",,7-Aug-17,Standard,2,"$1,300,000","$650,000"
Michael Rasmussen,18,C,,5-Aug-17,Entry-Level,3,"$5,225,000","$925,000"
Nate Schmidt,26,D,,5-Aug-17,Standard,2,"$4,450,000","$2,225,000"
Jamie Oleksiak,24,D,,4-Aug-17,Standard,1,"$964,688","$964,688"
Isaac Ratcliffe,18,LW,,3-Aug-17,Entry-Level,3,"$2,775,000","$842,500"
Morgan Frost,18,C,,3-Aug-17,Entry-Level,3,"$2,775,000","$925,000"
MacKenzie Weegar,23,D,,3-Aug-17,Standard,1,"$675,000","$675,000"
Nate Prosser,31,D,,3-Aug-17,Standard,2,"$1,300,000","$650,000"
Calvin De Haan,26,D,,2-Aug-17,Standard,1,"$3,300,000","$3,300,000"
Mikael Granlund,25,"C, LW, RW",,1-Aug-17,Standard,3,"$17,250,000","$5,750,000"
Brett Pesce,22,D,,1-Aug-17,Standard,6,"$24,150,000","$4,025,000"
Nathan Beaulieu,24,D,,31-Jul-17,Standard,2,"$4,800,000","$2,400,000"
Nino Niederreiter,24,RW,,30-Jul-17,Standard,5,"$26,250,000","$5,250,000"
Conor Sheary,25,"LW, RW",,30-Jul-17,Standard,3,"$9,000,000","$3,000,000"
Ryan Johansen,24,"C, RW",,28-Jul-17,Standard,8,"$64,000,000","$8,000,000"
Collin Delia,23,G,,28-Jul-17,Entry-Level,2,"$1,850,000","$767,500"
Connor Jones,26,"C, LW",,27-Jul-17,Standard,1,"$650,000","$650,000"
Evan Rodrigues,23,C,,27-Jul-17,Standard,2,"$1,300,000","$650,000"
Phillip Di Giuseppe,23,LW,,27-Jul-17,Standard,1,"$725,000","$725,000"
Ryan Spooner,25,"C, LW",,26-Jul-17,Standard,1,"$2,825,000","$2,825,000"
Rocco Grimaldi,24,C,,26-Jul-17,Standard,1,"$750,000","$750,000"
Blake Coleman,25,LW,,26-Jul-17,Standard,1,"$660,000","$660,000"
Stefan Noesen,24,RW,,26-Jul-17,Standard,1,"$660,000","$660,000"
Blake Pietila,24,LW,,26-Jul-17,Standard,2,"$1,335,000","$667,500"
Kevin Rooney,24,C,,26-Jul-17,Standard,1,"$650,000","$650,000"
Ben Thomson,24,LW,,26-Jul-17,Standard,1,"$650,000","$650,000"
Mark Streit,39,D,,25-Jul-17,35+,1,"$1,000,000","$700,000"
Mika Zibanejad,24,C,,25-Jul-17,Standard,5,"$26,750,000","$5,350,000"
Joseph Blandisi,23,C,,25-Jul-17,Standard,2,"$1,360,000","$680,000"
Mirco Mueller,22,D,,25-Jul-17,Standard,2,"$1,700,000","$850,000"
Scott Wedgewood,24,G,,25-Jul-17,Standard,1,"$650,000","$650,000"
Matt Nieto,24,"LW, RW",,25-Jul-17,Standard,1,"$1,000,000","$1,000,000"
Jesse Graham,23,D,,25-Jul-17,Standard,1,"$650,000","$650,000"
Robin Lehner,26,G,,25-Jul-17,Standard,1,"$4,000,000","$4,000,000"
Adam Pelech,22,D,,24-Jul-17,Standard,4,"$6,400,000","$1,600,000"
Reid Boucher,23,LW,,24-Jul-17,Standard,1,"$687,500","$687,500"
Connor Hellebuyck,24,G,,24-Jul-17,Standard,1,"$2,250,000","$2,250,000"
Brian Dumoulin,25,D,,24-Jul-17,Standard,6,"$24,600,000","$4,100,000"
Johnny Oduya,35,D,,24-Jul-17,35+,1,"$2,250,000","$1,000,000"
Austin Watson,25,LW,,24-Jul-17,Standard,3,"$3,300,000","$1,100,000"
