First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,SHBlkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Vincent,Lecavalier,PHI,C,57,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.2,0,0.1,0,297.6,5.22,0.00%,1,0,100.00%,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,0,-4.8
Nick,Leddy,NYI,D,78,0,1,1,0,0,1,0,2,0,0,0.00%,0.00%,4,4,1,0,2,52.8,0.68,49.3,0.63,271.1,3.48,15.40%,,, ,1,10,10,40,1,14,17,2,9,42,17.60%,2.87,0,2,-81.6,12.5,5
Anders,Lee,NYI,C,76,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,2,0,0,0,0,3,0.04,1.9,0.03,303.5,3.99,0.60%,0,0, ,0,0,0,0,0,0,4,0,0,1,0.00%,-15.38,0,1,-126.3,0,-8.5
David,Legwand,OTT,C,80,0,2,2,0,2,0,42,11,1,2,0.00%,0.00%,8,2,1,5,5,135.6,1.69,140.8,1.76,278.5,3.48,33.60%,59,105,36.00%,1,15,20,114,4,50,47,8,16,102,13.60%,-2.85,0,1,-82.3,7.1,-2
Jori,Lehtera,STL,C,75,1,1,2,1,0,1,0,1,0,0,100.00%,100.00%,2,0,2,0,0,31.1,0.41,28.4,0.38,369.8,4.93,7.10%,11,7,61.10%,2,3,3,18,0,9,10,0,1,18,5.30%,-7.36,0,1,-73.9,33.3,25.4
Josh,Leivo,TOR,LW,9,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,50,5.55,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Jordan,Leopold,MIN,D,43,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,3,1,0,0,0,17.8,0.41,18.5,0.43,204.9,4.77,8.30%,,, ,0,3,1,16,0,5,8,2,2,17,10.50%,1.44,1,0,-93.9,16.7,7.9
Bryan,Lerg,SJS,C/LW,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.02,0,0,10.1,5.06,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Lucas,Lessio,ARI,LW,26,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,146.2,5.62,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Kris,Letang,PIT,D,69,1,0,1,1,0,0,0,7,0,0,14.30%,14.30%,17,13,8,7,5,192,2.78,185.5,2.69,196,2.84,48.60%,,, ,3,18,19,163,3,82,72,7,17,172,9.00%,-0.51,1,1,-98,4,-4.2
