First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,SHBlkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Alec,Martinez,LAK,D,56,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,20,13,0,5,2,89.6,1.6,82.3,1.47,176.9,3.16,31.80%,,, ,1,6,17,34,4,31,45,0,13,48,21.30%,11.76,0,2,-68.5,6.6,1.3
Jordan,Martinook,ARI,LW/C,8,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,5.9,0.73,5.5,0.68,29.2,3.65,15.80%,0,0, ,0,0,0,6,1,2,4,0,0,7,0.00%,-14.29,0,0,-120.7,25,25
Stefan,Matteau,NJD,LW/C,7,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.1,0.02,0.4,0.06,52.2,7.45,0.80%,0,0, ,0,0,0,1,0,0,0,0,0,1,0.00%,-23.26,0,0,-60,,
Shawn,Matthias,VAN,C,78,0,1,1,0,1,0,15,8,6,2,0.00%,0.00%,2,5,2,1,5,97.1,1.24,93.6,1.2,319.1,4.09,22.70%,14,29,32.60%,2,5,27,62,8,26,25,5,22,70,23.90%,10.12,1,1,-48.7,18.9,15.6
Jamie,McBain,LAK,D,26,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,120.7,4.64,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Jake,McCabe,BUF,D,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.6,0.32,0,0,21.8,10.88,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Jay,McClement,CAR,C,82,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,14,3,5,1,12,179,2.18,180.4,2.2,143.5,1.75,55.70%,118,109,52.00%,1,18,10,141,1,74,69,5,7,142,4.70%,-18.89,0,0,-94.8,4.6,-0.1
Cody,McCormick,BUF,C,33,1,0,1,1,0,0,0,3,0,2,33.30%,20.00%,7,1,0,0,0,73.1,2.21,71.2,2.16,109.6,3.32,39.40%,37,52,41.60%,1,8,8,63,0,31,34,3,8,70,10.30%,3.71,1,1,-104.4,7.8,2.6
Ryan,McDonagh,NYR,D,71,0,3,3,0,1,2,6,5,1,2,0.00%,0.00%,29,18,5,8,8,185.8,2.62,181.3,2.55,156.2,2.2,53.70%,,, ,5,13,27,116,10,60,65,13,25,112,18.20%,-1.61,2,3,-65.9,5.3,-7.6
Colin,McDonald,NYI,RW,18,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.2,0.01,0.6,0.03,83.1,4.62,0.70%,0,0, ,0,0,1,0,0,0,0,0,1,0,100.00%,82.95,0,0,60,,
Jamie,McGinn,COL,LW,19,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,2.3,0.12,0.8,0.04,126.2,6.64,0.60%,1,0,100.00%,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,0,-6.6
Tye,McGinn,ARI,LW,51,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1,0.02,0.7,0.01,259,5.08,0.30%,0,0, ,0,0,0,1,0,1,0,0,0,1,0.00%,-14.54,0,0,-120,,
Brian,McGrattan,CGY,RW,8,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,38.9,4.86,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Dylan,McIlrath,NYR,D,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.3,0.27,0.2,0.23,4.9,4.88,4.50%,,, ,0,1,0,0,0,0,0,0,0,1,0.00%,-33.33,0,0,-60,,
Greg,McKegg,TOR,C,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,12.1,4.03,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Curtis,McKenzie,DAL,LW,36,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,1,2.1,0.06,1.8,0.05,171.4,4.76,1.00%,0,0, ,0,0,1,0,0,1,0,0,1,0,100.00%,86.31,0,0,0,,
Cody,McLeod,COL,LW,82,1,0,1,1,0,0,0,2,1,3,50.00%,16.70%,12,6,2,0,4,110.7,1.35,104.5,1.27,295,3.6,26.20%,1,7,12.50%,1,5,9,89,4,34,43,4,8,95,7.80%,-2.52,1,0,-87.9,8.5,4.4
Brandon,McMillan,VAN,LW/C,58,0,0,0,0,0,0,0,1,0,2,0.00%,0.00%,10,4,2,0,4,79.6,1.37,74,1.28,231.4,3.99,24.20%,0,3,0.00%,0,12,5,70,1,25,48,5,2,71,2.70%,-5.56,0,1,-116.7,5.3,-1.2
Brayden,McNabb,LAK,D,71,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,8,12,1,4,2,52,0.73,51,0.72,311.7,4.39,14.10%,,, ,0,7,10,27,2,16,23,1,8,36,18.20%,2.88,0,2,-70.5,4.8,-0.6
Adam,McQuaid,BOS,D,63,0,0,0,0,0,0,0,2,2,0,0.00%,0.00%,14,10,1,2,2,119.9,1.9,121.6,1.93,182.3,2.89,40.00%,,, ,1,15,16,72,10,43,59,2,15,106,12.40%,-3.21,3,1,-79,13.8,8.3
Jayson,Megna,PIT,C/RW,12,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,5.5,0.46,5.1,0.42,67,5.58,7.10%,0,0, ,0,0,1,9,0,0,2,0,1,6,14.30%,-5.12,0,1,-117.9,66.7,63.3
Jon,Merrill,NJD,D,66,0,1,1,0,0,1,0,1,1,1,0.00%,0.00%,18,3,2,3,1,116,1.76,102.1,1.55,253,3.83,28.80%,,, ,2,9,10,78,5,29,44,3,13,72,15.30%,5.63,2,1,-82.3,15.6,13.7
Andrej,Meszaros,BUF,D,60,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,4,4,0,1,1,53.4,0.89,47.4,0.79,266.2,4.44,15.10%,,, ,4,8,1,40,1,19,17,1,7,41,14.60%,8.09,1,0,-97.5,8,3.4
Marc,Methot,OTT,D,45,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%,8,9,1,3,2,79.6,1.77,76.9,1.71,125.1,2.78,38.10%,,, ,0,11,15,75,5,32,21,3,12,74,14.00%,-3.69,0,0,-90.5,13.6,5
Milan,Michalek,OTT,LW,66,1,0,1,1,0,0,0,8,1,2,12.50%,9.10%,6,5,1,0,6,113.3,1.72,103.6,1.57,257.2,3.9,28.70%,5,7,41.70%,2,8,16,100,8,39,33,4,16,93,14.70%,0.33,1,1,-86.9,59.3,54.8
Zbynek,Michalek,STL,D,68,0,0,0,0,0,0,0,1,1,0,0.00%,0.00%,49,11,5,4,3,195.4,2.87,192.6,2.83,162.1,2.38,54.30%,,, ,3,22,17,165,2,68,114,7,12,170,6.60%,-6.27,2,2,-105.9,4,-7.8
Andrew,Miller,EDM,C,9,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.1,0.01,0.1,0.01,29.9,3.33,0.40%,1,0,100.00%,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Drew,Miller,DET,LW,82,1,0,1,1,0,0,0,8,4,2,12.50%,7.10%,41,2,5,3,8,257.2,3.14,249.2,3.04,208.5,2.54,54.40%,3,8,27.30%,1,30,27,203,6,101,121,8,25,216,10.40%,-6.97,0,0,-99.4,10.1,4.2
J.T.,Miller,NYR,C,58,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1.2,0.02,0.8,0.01,253.3,4.37,0.30%,0,0, ,0,0,0,2,0,0,3,0,0,1,0.00%,-18.18,0,0,-300,,
Kevan,Miller,BOS,D,41,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%,12,3,8,0,2,115,2.8,111.6,2.72,119.3,2.91,48.30%,,, ,3,9,13,84,4,45,38,2,15,90,14.30%,-0.11,2,0,-82.8,5,-8.8
John,Mitchell,COL,C,68,1,0,1,1,0,0,0,2,1,0,50.00%,33.30%,2,0,0,0,0,39.7,0.58,39.4,0.58,278.7,4.1,12.40%,22,20,52.40%,1,3,5,30,1,11,13,1,5,21,19.20%,8.79,0,0,-74.6,11.8,7.1
Torrey,Mitchell,MTL,C/RW,65,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%,13,1,1,6,5,128.8,1.98,129.4,1.99,238.4,3.67,35.20%,53,49,52.00%,0,20,4,104,2,48,56,1,3,109,2.70%,-10.04,1,0,-102.5,1.7,-4.1
Willie,Mitchell,FLA,D,66,0,1,1,0,0,0,0,1,0,0,0.00%,0.00%,33,5,6,5,4,216.2,3.28,207.7,3.15,118.3,1.79,63.70%,,, ,0,23,22,173,1,70,85,4,14,146,8.80%,-5.68,1,1,-93.6,3.3,-16.5
Travis,Moen,DAL,LW,44,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,4,0,0,0,1,32.6,0.74,32.6,0.74,215.2,4.89,13.20%,0,1,0.00%,0,0,0,25,0,9,17,1,1,22,4.30%,-13.87,0,0,-91.9,0,-7.4
Sean,Monahan,CGY,C,81,1,1,2,1,0,0,0,7,0,0,14.30%,14.30%,4,2,1,1,5,67.9,0.84,65.5,0.81,231.6,2.86,22.00%,51,51,50.00%,1,6,12,45,1,27,34,2,10,46,17.90%,2.94,0,0,-88,14.6,5.1
Dominic,Moore,NYR,C,82,2,0,2,2,0,0,0,11,2,2,18.20%,13.30%,11,4,5,2,5,173.6,2.12,165.5,2.02,219.2,2.67,43.00%,126,120,51.20%,2,18,31,98,4,50,60,7,23,107,17.70%,-3.28,0,2,-66,2.8,-13.4
John,Moore,ARI,D,57,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,1,3,1,2,0,12.1,0.21,11.7,0.2,277.5,4.87,4.00%,,, ,0,2,3,8,0,2,6,2,3,8,27.30%,14.21,0,0,-66.8,33.3,28.4
Jeremy,Morin,CBJ,LW/RW,43,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,261.6,6.08,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Travis,Morin,DAL,C,6,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,26.1,4.35,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Brenden,Morrow,TBL,LW,70,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,2.2,0.03,2.4,0.03,350.1,5,0.70%,0,0, ,0,0,0,2,0,1,1,0,0,1,0.00%,-13.85,1,0,-100.8,0,-5.3
Joe,Morrow,BOS,D,15,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,1,1,0,0,0,7.2,0.48,7.3,0.49,67.4,4.49,9.80%,,, ,0,2,1,6,1,3,2,0,1,9,10.00%,-12.03,0,0,-90.4,33.3,15.9
David,Moss,ARI,RW,60,0,1,1,0,1,0,8,6,1,2,0.00%,0.00%,11,3,3,1,6,81.7,1.36,80.4,1.34,267.7,4.46,23.10%,2,3,40.00%,2,9,14,56,3,36,42,3,13,70,15.70%,7.97,0,0,-90.4,14.3,7.9
Kael,Mouillierat,NYI,LW,6,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,33.2,5.53,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Matt,Moulson,BUF,LW,77,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,14.1,0.18,12.9,0.17,378,4.91,3.30%,1,0,100.00%,0,0,2,8,0,5,6,1,2,11,15.40%,7.85,0,1,-74.2,20,14.5
Chris,Mueller,NYR,C,7,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,47.9,6.85,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Mirco,Mueller,SJS,D,39,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,3,2,1,0,0,31,0.79,29.2,0.75,143.9,3.69,16.90%,,, ,1,1,7,19,1,8,12,2,8,19,29.60%,14.25,0,0,-59.6,11.5,2.8
Connor,Murphy,ARI,D,73,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%,32,7,2,1,0,126,1.73,120.7,1.65,292.9,4.01,29.20%,,, ,1,16,23,99,5,49,66,11,24,109,18.00%,12.28,0,0,-94.5,12.4,7.5
Ryan,Murphy,CAR,D,37,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,1.4,0.04,1.4,0.04,144.7,3.91,0.90%,,, ,0,1,1,1,0,0,0,0,0,2,0.00%,-16.52,0,0,-44.4,100,96.4
Ryan,Murray,CBJ,D,12,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,1,1,0,0,0,20.8,1.73,17.7,1.48,59.5,4.96,23.00%,,, ,1,2,1,13,2,4,6,0,3,13,18.80%,-2.4,0,0,-71,7.7,3.9
David,Musil,EDM,D,4,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,1,0,0,0,5.9,1.48,6.4,1.59,6.4,1.6,49.90%,,, ,0,2,0,3,1,3,5,0,1,4,20.00%,-5,0,0,-113.4,0,0
Jake,Muzzin,LAK,D,76,0,1,1,0,0,1,0,2,1,2,0.00%,0.00%,11,3,2,4,2,70,0.92,65.4,0.86,291.1,3.83,18.30%,,, ,1,9,12,39,3,20,25,4,10,42,19.20%,3.23,1,0,-67,7.3,2.2
Tyler,Myers,WPG,D,71,0,2,2,0,2,0,20,1,0,1,0.00%,0.00%,18,9,4,1,1,184.9,2.6,182.7,2.57,198.8,2.8,47.90%,,, ,2,19,18,139,4,72,101,4,17,167,9.20%,-0.66,2,2,-99.5,2.1,-8
Vladislav,Namestnikov,TBL,C,43,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,2,0,0,1,1,19.6,0.46,20.5,0.48,212.2,4.94,8.80%,1,5,16.70%,2,3,3,21,0,4,10,0,4,22,15.40%,2.66,0,0,-96.5,0,-5.8
Rick,Nash,NYR,LW,79,4,1,5,4,1,0,6,17,3,9,23.50%,13.80%,4,5,1,4,15,106.2,1.34,102.1,1.29,277.8,3.52,26.90%,0,0, ,6,9,27,56,7,34,40,9,27,70,27.80%,11.71,2,1,-52.9,7.2,-0.7
Riley,Nash,CAR,C,68,0,0,0,0,0,0,0,3,2,0,0.00%,0.00%,7,4,3,4,5,114.5,1.68,112.2,1.65,179.6,2.64,38.40%,54,46,54.00%,1,8,19,67,7,30,29,0,17,66,20.50%,13.54,1,0,-57.2,4.6,-0.5
James,Neal,NSH,LW,67,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1,0.01,0.1,0,310,4.63,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,1,0,0,0,-5.3
Chris,Neil,OTT,RW,38,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.8,0.02,0,0,207.6,5.46,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Brock,Nelson,NYI,C,82,0,0,0,0,0,0,0,5,1,2,0.00%,0.00%,3,3,2,2,3,77.7,0.95,72.4,0.88,265.3,3.23,21.40%,22,33,40.00%,1,9,7,57,3,25,29,4,7,71,9.00%,-7.91,0,1,-87,10.5,2.7
Patrik,Nemeth,DAL,D,22,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,2,2,0,0,0,25.2,1.14,25.2,1.15,80.1,3.64,23.90%,,, ,0,6,6,10,2,4,10,1,5,13,27.80%,15.87,0,1,-49.9,21.1,11.2
Nikita,Nesterov,TBL,D,27,0,0,0,0,0,0,0,1,1,0,0.00%,0.00%,0,0,0,0,0,5.1,0.19,5,0.18,139.7,5.17,3.40%,,, ,0,2,1,3,1,2,0,0,1,3,25.00%,9.48,0,0,-60.4,33.3,28.7
Andrej,Nestrasil,CAR,C,54,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.1,0,0.2,0,196.1,3.63,0.10%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,1,0,,
Valeri,Nichushkin,DAL,RW,8,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.1,0.01,0.1,0.01,37.1,4.63,0.30%,0,0, ,0,0,1,0,0,0,0,0,1,0,100.00%,83.78,0,0,60,,
Nino,Niederreiter,MIN,RW,80,1,0,1,1,0,0,0,3,1,1,33.30%,20.00%,3,1,3,1,0,36.1,0.45,32.5,0.41,348.4,4.35,8.50%,0,1,0.00%,1,1,5,14,1,9,24,2,5,19,20.80%,9.23,1,0,-71.9,27.8,20.3
Frans,Nielsen,NYI,C,78,1,2,3,1,1,0,12,9,3,0,11.10%,8.30%,7,0,3,4,12,136.2,1.75,130,1.67,194,2.49,40.10%,68,96,41.50%,2,25,22,112,7,39,62,3,18,136,11.70%,-6.32,0,2,-94.2,4.8,-5
Matt,Nieto,SJS,LW,72,0,1,1,0,1,0,14,7,1,1,0.00%,0.00%,9,0,1,0,8,72.4,1.01,62.9,0.87,254,3.53,19.80%,0,0, ,1,11,13,47,4,31,36,3,14,62,18.40%,2.29,0,3,-99.2,28.6,21.4
Nikita,Nikitin,EDM,D,42,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%,5,1,1,3,3,73.3,1.75,66.2,1.58,115.9,2.76,36.30%,,, ,2,9,9,39,3,27,25,1,9,39,18.80%,-0.05,1,0,-77.1,4.4,-1.8
Matt,Niskanen,WSH,D,82,0,1,1,0,0,1,0,4,0,1,0.00%,0.00%,20,9,7,11,2,187.6,2.29,173.4,2.11,259.5,3.16,40.00%,,, ,1,14,25,131,9,57,93,4,24,131,15.50%,5.86,0,1,-88.6,7.5,2.9
Stefan,Noesen,ANA,RW,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,6.3,6.29,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Jordan,Nolan,LAK,C,60,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.4,0.01,0.1,0,286.2,4.77,0.00%,0,1,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,,0,1,0,100,95.3
Joakim,Nordstrom,CHI,LW/C,38,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%,3,0,1,0,2,22.3,0.59,19.5,0.51,134,3.53,12.70%,0,4,0.00%,0,3,3,19,1,7,10,0,2,17,10.50%,-5.35,0,0,-107.7,5,-4.8
Ryan,Nugent-Hopkins,EDM,C,76,0,1,1,0,1,0,16,9,4,4,0.00%,0.00%,2,2,6,4,4,124.8,1.64,117.5,1.55,217.9,2.87,35.00%,16,13,55.20%,1,17,15,90,10,39,36,6,23,94,19.70%,8.55,1,3,-76.6,9.9,5.6
Darnell,Nurse,EDM,D,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.8,0.38,0.3,0.16,10.1,5.06,3.10%,,, ,0,0,0,1,0,0,0,0,0,0,0.00%,,0,0,-60,,
Gustav,Nyquist,DET,RW/C,82,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1.4,0.02,1.6,0.02,456.2,5.56,0.30%,0,0, ,0,0,1,2,0,3,2,0,1,4,20.00%,6.57,0,1,-225,,
Eric,Nystrom,NSH,LW,60,1,0,1,0,0,0,0,1,1,1,100.00%,33.30%,4,2,3,1,3,136.4,2.27,138.7,2.31,157.6,2.63,46.80%,1,3,25.00%,1,12,10,98,1,43,61,3,7,113,5.80%,-9.1,0,0,-86.1,1.1,-12.6
Liam,O'Brien,WSH,C,13,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,70.4,5.41,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Shane,O'Brien,FLA,D,9,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,2,0,0,0,5.6,0.63,3.8,0.42,32.8,3.64,10.40%,,, ,0,1,2,3,0,1,0,0,2,1,66.70%,53.62,0,0,-47.1,0,-5.3
Eric,O'Dell,WPG,C,11,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,56.4,5.13,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Ryan,O'Reilly,COL,C/LW,82,1,1,2,1,1,0,7,6,2,1,16.70%,11.10%,7,1,2,0,15,147.8,1.8,144.2,1.76,255.3,3.11,36.10%,106,92,53.50%,2,13,11,108,2,47,57,4,17,117,12.70%,4.47,0,1,-85.7,4.2,-1.2
Johnny,Oduya,CHI,D,76,0,0,0,0,0,0,0,0,1,1,0.00%,0.00%,15,3,3,2,4,134.9,1.78,128.5,1.69,195.1,2.57,39.70%,,, ,2,12,19,113,7,38,59,6,22,102,17.70%,5.48,0,2,-87.8,12.8,8.1
Jordan,Oesterle,EDM,D,6,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.9,0.15,0.6,0.1,26.6,4.43,2.10%,,, ,0,0,1,0,0,0,0,1,1,0,100.00%,91.3,0,0,120,,
Kyle,Okposo,NYI,RW,60,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1.8,0.03,1.6,0.03,244.5,4.08,0.60%,4,1,80.00%,0,0,0,0,0,1,0,0,0,1,0.00%,-16.38,0,0,-37.7,28.6,19.9
Jamie,Oleksiak,DAL,D,36,0,0,0,0,0,0,0,3,1,0,0.00%,0.00%,8,5,0,1,4,38.5,1.07,38.1,1.06,153.6,4.27,19.90%,,, ,1,6,7,21,3,14,20,0,5,34,12.80%,-2.31,0,0,-78.8,7.7,1.9
Steve,Oleksy,WSH,D,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,4.6,4.59,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Dylan,Olsen,FLA,D,44,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,5,11,1,0,3,77.6,1.76,74.9,1.7,162.1,3.68,31.60%,,, ,0,9,9,59,3,25,18,5,7,55,11.30%,3.6,1,1,-75.3,18.9,13.7
Brooks,Orpik,WSH,D,78,0,0,0,0,0,0,0,1,0,2,0.00%,0.00%,33,19,9,6,3,217.5,2.79,222.6,2.85,181.2,2.32,55.10%,,, ,1,31,32,177,6,108,103,4,24,233,9.30%,-4.86,1,3,-101.4,3.7,-5
Colton,Orr,TOR,RW,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,6.1,6.06,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
T.J.,Oshie,STL,RW/C,72,0,0,0,0,0,0,0,10,3,1,0.00%,0.00%,6,3,2,0,4,95.3,1.32,83.1,1.15,283.6,3.94,22.70%,1,1,50.00%,0,9,17,60,7,23,33,2,12,58,17.10%,6.08,0,2,-71.5,16,8.8
Steve,Ott,STL,C,78,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,3,4,1,2,3,114.8,1.47,107.9,1.38,282.6,3.62,27.60%,19,29,39.60%,0,10,3,72,2,32,42,1,1,70,1.40%,-13.94,0,3,-83.4,8.5,-1.6
Xavier,Ouellet,DET,D,21,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,1,0,0,0,1,11.8,0.56,10.7,0.51,108.4,5.16,9.00%,,, ,0,0,0,9,0,4,3,1,1,11,8.30%,-7.26,0,0,-83.8,60,52
Alex,Ovechkin,WSH,LW,81,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1.4,0.02,0.5,0.01,429.8,5.31,0.10%,0,0, ,0,0,1,0,0,1,1,0,0,2,0.00%,-11.74,1,1,-60,,
Magnus,Paajarvi,STL,LW,10,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,59.1,5.91,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Max,Pacioretty,MTL,LW,80,3,2,5,3,1,0,8,17,5,7,17.60%,10.30%,7,2,3,5,6,125.1,1.56,112.7,1.41,290.5,3.63,27.90%,1,0,100.00%,4,10,27,85,8,46,47,10,28,105,21.10%,12.88,1,3,-74,12.5,8.2
Jean-Gabriel,Pageau,OTT,C,50,2,0,2,2,0,0,0,14,1,0,14.30%,13.30%,7,4,2,1,3,97.7,1.95,95.2,1.9,153.6,3.07,38.30%,51,78,39.50%,2,13,17,65,5,33,41,8,16,67,19.30%,4.38,0,1,-75.6,3.5,-11.4
Daniel,Paille,BOS,LW,71,1,1,2,1,1,0,7,6,5,0,16.70%,9.10%,7,4,1,2,7,96,1.35,92.4,1.3,265.2,3.74,25.80%,0,0, ,2,10,12,72,7,37,44,1,9,88,9.30%,-7.13,0,0,-91.5,21.8,14.3
Iiro,Pakarinen,EDM,RW,17,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.5,0.03,0.5,0.03,52.5,3.09,1.00%,0,0, ,0,0,0,1,0,0,0,0,0,0,0.00%,,0,0,-60,,
Ondrej,Palat,TBL,LW,75,1,1,2,0,1,0,12,3,3,4,33.30%,10.00%,15,8,4,4,9,133.1,1.77,124,1.65,241.5,3.22,33.90%,1,0,100.00%,1,13,11,111,6,41,59,5,19,110,14.70%,3.39,0,0,-97.2,5.6,1.2
Michael,Paliotta,CHI,D,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,1.9,1.88,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Kyle,Palmieri,ANA,RW/C,57,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.2,0,0.4,0.01,304.5,5.34,0.10%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,0,-7.4
Richard,Panik,TOR,RW,76,0,0,0,0,0,0,0,1,0,1,0.00%,0.00%,7,1,0,1,5,36.1,0.48,33.2,0.44,366.8,4.83,8.30%,0,0, ,0,7,8,29,1,9,16,2,6,32,15.80%,2.23,0,0,-90.4,16.7,10
Cedric,Paquette,TBL,C,64,2,0,2,2,0,0,0,4,1,0,50.00%,40.00%,18,1,7,6,5,132.2,2.07,132.9,2.08,188.8,2.95,41.30%,21,15,58.30%,3,13,10,99,5,52,69,2,13,118,9.90%,-4.68,2,1,-96.2,2.1,-3.3
Adam,Pardy,WPG,D,55,0,1,1,0,1,0,10,1,1,1,0.00%,0.00%,19,7,4,8,3,133.2,2.42,126.2,2.29,214,3.89,37.10%,,, ,2,11,18,110,7,23,59,4,21,119,15.00%,-2.03,4,3,-81.8,7,-1.6
Pierre-Alexandre,Parenteau,MTL,RW,56,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1.3,0.02,0.4,0.01,300.3,5.36,0.10%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,0,-3.9
