"","PLAYER","AGE","POS","DATE","LENGTH","VALUE","CAP HIT","Nat","Ht","Wt","DftYr","DftRd","Ovrl","GP","+/-","E+/-","PIM","OTG","GWG","NPD","xGF","xGA","Grit","1st","2nd","3rd","LY Salary","LY Cap Hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOI/GP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI"
"31","Evan McEneny",23,"D","12-Jul-17",2,"$1,315,000","$657,500","CAN",74,203,2012,10,266,1,-1,0.5,0,0,0,0.1,0.6,0.7,0,0,0,0,"$575,000.00","$585,000.00",0,0,0,0,"0.00%","16.70%",833,"40.4","42","49.00%","-4.30%",0,0,1,1,1,0,0,"0",0,0,1,0,0,0,0,"0.00%",10,11,7,8,3,3,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Mark Pysyk",25,"D","6-Jul-17",3,"$8,200,000","$2,733,333","CAN",73,200,2010,1,23,82,0,-5.6,10,0,0,7.3,48.4,72,181,0,0,1,"$1,250,000.00","$1,125,000.00",4,13,3,17,"37.80%","7.50%",993,"51.3","48.7","51.30%","2.80%",3.8,5,166,118,83,3,3,"6",72.1,62,77,33,26,76,0,"0.00%",1078,1023,840,793,133,147,0,0,0,0,431,0.14,39.9,11.4,"77.80%","-12.30%",0,0,0,13946,2.76,11.7,92,"11.30%","-10.40%",4,23,106,4,13,17,1625.3,-35.6,0,3,3,92.3,12,3,125
"33","Jake Dotchin",23,"D","5-Jul-17",2,"$1,625,000","$812,500","CAN",75,210,2012,6,161,35,10,1.3,35,0,0,-3.7,28.5,22.1,140,0,0,0,"$615,000.00","$616,667.00",0,11,3,11,"51.20%","8.10%",1031,"57.9","51.4","53.00%","4.10%",1.4,0,92,65,43,1,4,"5",78.9,81,34,20,3,19,0,"0.00%",566,503,409,394,61,67,0,0,0,0,1950,0.92,94.4,7.5,"92.60%","6.90%",0,0,0,306,0.18,9.2,18.4,"33.30%","23.90%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Xavier Ouellet",23,"D","3-Jul-17",2,"$2,500,000","$1,250,000","FRA",73,208,2011,2,48,66,2,-0.7,51,0,0,1.1,42,57.2,214,0,0,0,"$715,000.00","$715,000.00",3,9,6,12,"29.60%","8.40%",1013,"52.3","54.3","49.10%","2.90%",3.2,5,165,115,82,3,8,"11",133,64,63,15,8,64,0,"0.00%",909,940,697,710,129,132,0,0,0,0,367,0.12,58.1,0,"100.00%","14.70%",0,0,0,7597,1.93,14.3,95.7,"13.00%","3.40%",0,18,30,2,2,4,456.7,37.3,0,0,0,3.7,1,1,20.1
"35","Slater Koekkoek",23,"D","3-Jul-17",1,"$800,000","$800,000","CAN",74,193,2012,1,10,29,-4,-1.1,8,0,0,2.8,12.8,14.9,60,0,0,0,"$832,500.00","$894,167.00",0,4,2,4,"33.30%","7.20%",985,"50.5","55.8","47.50%","0.50%",0.9,0,68,40,27,1,1,"2",50.3,24,52,7,1,26,0,"0.00%",303,335,225,250,42,56,0,0,0,0,180,0.11,21.4,0,"100.00%","12.50%",0,0,0,658,0.39,5.3,63.9,"7.70%","-2.80%",0,1,12,0,1,1,143.1,16.5,0,0,0,0.4,0,0,2.2
"36","Mike Reilly",23,"D","2-Jul-17",2,"$1,450,000","$725,000","USA",74,193,2011,4,98,17,1,1.7,2,0,0,1.2,10,6.5,12,0,0,0,"$925,000.00","$925,000.00",1,0,0,1,"11.10%","8.50%",1004,"59.4","55.7","51.60%","1.50%",0.8,0,41,26,18,2,1,"3",0,2,21,4,0,8,0,"0.00%",184,176,143,133,22,10,0,0,0,0,1228,1.26,102,13.8,"88.10%","-2.30%",0,0,0,23,0.05,0,0,"0.00%","-12.50%",0,0,29,1,4,5,288.2,-8.7,0,2,2,53.4,0,0,1.4
"37","Steve Oleksy",31,"D","2-Jul-17",2,"$1,300,000","$650,000","USA",72,190,2004,10,266,11,2,2.1,24,0,0,-6.3,7.1,5.8,65,0,0,0,"$575,000.00","$575,000.00",0,1,0,1,"16.70%","7.20%",1013,"61.8","56.8","52.10%","2.90%",0.4,0,27,18,11,0,0,"0",0,17,27,1,1,15,0,"0.00%",142,130,106,93,24,18,0,0,0,0,3,0.03,115.4,0,"100.00%","23.50%",0,0,0,756,1.16,23.5,61.1,"27.80%","12.30%",0,2,34,2,8,10,455.5,-17,0,0,0,0.7,6,1,59.9
"38","Adam Clendening",24,"D","1-Jul-17",1,"$650,000","$650,000","USA",72,196,2011,2,36,31,3,3.6,17,0,0,-0.2,24.2,16.7,67,0,1,0,"$600,000.00","$600,000.00",1,8,1,9,"50.00%","8.60%",996,"59.8","46.6","56.20%","9.10%",1.3,0,76,51,35,0,2,"2",24.2,20,64,18,6,26,0,"0.00%",438,340,315,255,55,43,1,1,0,2,2743,1.5,70.1,12.8,"84.50%","-6.50%",0,0,0,107,0.06,0,73.9,"0.00%","-20.00%",0,0,50,1,7,8,709.4,-3.8,1,2,3,63.5,0,0,0.9
"39","Ryan Murphy",24,"D","1-Jul-17",1,"$700,000","$700,000","CAN",71,185,2011,1,12,27,-11,-3.3,8,0,0,2.8,13.9,13.8,41,0,0,0,"$750,000.00","$787,500.00",0,2,0,2,"40.00%","3.50%",946,"50.8","54.6","48.20%","-1.70%",0.7,0,39,22,15,0,2,"2",0,2,29,8,8,30,0,"0.00%",288,310,201,228,40,38,0,0,0,0,639,0.4,61.8,11.2,"84.60%","-10.00%",0,0,0,2,0.02,0,0,"0.00%","-25.80%",0,0,120,2,24,26,1865,2.9,4,5,9,256.5,0,0,7.8
"40","Dan Girardi",33,"D","1-Jul-17",2,"$6,000,000","$3,000,000","CAN",73,212,2002,10,266,63,8,-9,16,0,3,1.1,45.5,64.1,289,1,0,0,"$6,000,000.00","$5,500,000.00",3,10,2,13,"36.60%","7.60%",1001,"51.1","64.7","44.10%","-3.30%",2,3,117,76,52,1,4,"5",49.5,102,86,39,8,136,0,"0.00%",875,1110,667,778,139,145,0,0,0,0,158,0.06,34.4,0,"100.00%","6.00%",1,1,2,8505,2.23,16.3,94.7,"14.70%","-5.90%",2,24,237,9,42,51,4279.3,-28,2,4,6,246.9,93,62,639.2
"41","Trevor Daley",33,"D","1-Jul-17",3,"$9,500,000","$3,166,667","CAN",71,195,2002,2,43,56,7,3.1,37,0,0,0.6,55.8,61.4,150,1,2,0,"$2,700,000.00","$3,300,000.00",4,10,2,14,"30.40%","9.40%",1014,"55.2","63.8","46.40%","-3.50%",4.6,11,122,91,67,3,5,"8",35.3,23,43,17,13,61,0,"0.00%",813,939,637,670,138,137,1,3,2,4,5503,1.71,84.4,14.8,"85.00%","-0.50%",0,1,1,7982,2.39,12.5,101.8,"10.90%","-5.80%",5,19,217,21,43,64,3597.6,2.6,8,17,25,393.3,63,11,404.2
"42","Frank Corrado",24,"D","1-Jul-17",1,"$650,000","$650,000","CAN",72,205,2011,5,150,4,-1,-1.4,8,0,0,-1.8,1.3,2.5,14,0,0,0,"$600,000.00","$600,000.00",0,0,0,0,"0.00%","6.10%",996,"63.6","66","49.10%","-1.60%",0.3,0,10,8,2,0,0,"0",0,4,2,1,0,1,0,"0.00%",42,45,26,42,1,7,0,0,0,0,17,0.07,444.4,0,"100.00%","11.10%",0,0,0,128,0.6,0,24.2,"0.00%","-23.50%",0,1,64,3,4,7,822.8,8.1,0,1,1,30,1,4,31.3
"43","Jordan Oesterle",25,"D","1-Jul-17",2,"$1,300,000","$650,000","USA",72,182,2010,10,266,2,-1,0.9,0,0,0,0.2,1.4,1,5,0,0,0,"$585,000.00","$585,000.00",0,0,0,0,"0.00%","0.00%",889,"75","47.8","61.10%","12.90%",0.1,0,9,3,2,0,1,"1",0,2,0,2,2,3,0,"0.00%",43,27,19,19,7,3,0,0,0,0,36,0.35,0,0,"0.00%","-88.90%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,23,0,6,6,373.2,-4.8,0,0,0,37.1,3,0,20.3
"44","Ron Hainsey",36,"D","1-Jul-17",2,"$6,000,000","$3,000,000","USA",75,210,2000,1,13,72,-8,-2.1,21,1,1,3.7,71.5,82.3,235,2,0,0,"$2,500,000.00","$2,833,333.00",3,11,6,14,"35.00%","6.60%",983,"56.4","56.6","49.90%","1.20%",2.4,2,160,90,55,4,11,"15",182.6,84,62,42,19,90,0,"0.00%",1224,1239,904,952,221,192,0,0,0,0,808,0.24,39.9,4.6,"89.60%","-2.00%",1,2,3,13032,2.9,15.9,84.8,"15.80%","1.10%",4,24,244,11,31,42,4549.5,8.7,0,1,1,87.3,38,16,554.3
"45","Kevin Shattenkirk",28,"D","1-Jul-17",4,"$26,600,000","$6,650,000","USA",72,209,2007,1,14,80,-7,6.4,47,0,2,-8.6,77.6,49.8,231,0,4,3,"$5,200,000.00","$4,250,000.00",5,24,11,29,"62.40%","7.80%",995,"52.2","46.2","53.00%","5.40%",4.4,6,211,143,102,2,5,"7",258.1,83,107,33,23,80,0,"0.00%",1092,966,829,698,151,126,8,19,7,27,15383,3.12,90.5,12.9,"87.50%","-3.70%",0,0,0,1476,0.39,10.2,43.8,"18.80%","8.50%",1,3,209,15,39,54,3475.7,25.5,17,60,77,659.8,24,6,276.5
"46","Cameron Gaunce",27,"D","1-Jul-17",1,"$650,000","$650,000","CAN",73,210,2008,2,50,12,1,1.8,13,0,0,-3.3,7.1,6.5,47,0,0,1,"$575,000.00","$575,000.00",1,3,3,4,"66.70%","7.80%",1000,"61.3","59","50.90%","2.40%",0.6,1,17,14,8,0,0,"0",71.3,23,12,5,1,8,0,"0.00%",142,138,102,90,19,13,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,743,1.06,9.3,84.1,"10.00%","2.00%",1,2,9,0,0,0,114.5,13.6,0,0,0,0.7,0,0,9.4
"47","Joel Hanley",26,"D","1-Jul-17",1,"$725,000","$725,000","CAN",72,193,2009,10,266,7,-3,-0.2,4,0,0,-0.7,2.5,2.5,16,0,0,0,"$600,000.00","$600,000.00",0,0,0,0,"0.00%","3.60%",882,"45.9","47.6","49.10%","-5.90%",0.1,0,5,5,5,0,1,"1",0,8,16,3,1,4,0,"0.00%",55,56,37,37,8,7,0,0,0,0,0,0.01,0,0,"0.00%","-78.60%",0,0,0,0,0.06,0,0,"0.00%","-9.80%",0,0,10,0,6,6,133.1,-2.7,0,0,0,5.8,0,0,7.7
"48","Luke Witkowski",27,"D","1-Jul-17",2,"$1,500,000","$750,000","USA",74,217,2008,6,160,34,-1,3.2,39,0,0,-11.3,14.7,11.4,144,0,0,0,"$575,000.00","$575,000.00",0,4,0,4,"40.00%","5.90%",1002,"56","56.6","49.70%","1.20%",1.7,6,42,31,24,2,1,"3",0,81,52,8,2,21,0,"0.00%",309,312,231,244,43,27,0,0,0,0,189,0.11,76.5,0,"100.00%","10.40%",0,0,0,65,0.05,0,9.9,"0.00%","-8.50%",1,0,20,0,0,0,260.2,30.5,0,0,0,0.2,0,3,10.9
"49","Dmitry Kulikov",26,"D","1-Jul-17",3,"$13,000,000","$4,333,333","RUS",73,204,2009,1,14,47,-26,-9.6,26,0,0,-2,35.4,48.6,158,0,0,0,"$4,500,000.00","$4,333,333.00",1,1,0,2,"12.50%","3.90%",970,"49.4","60.6","44.90%","-2.30%",1.2,0,90,53,33,0,3,"3",0,54,90,29,14,61,0,"0.00%",729,892,549,685,98,108,1,2,1,3,2475,0.95,84.6,11.8,"87.70%","-1.80%",0,0,0,4528,1.63,11.3,111,"9.30%","2.00%",2,10,228,8,31,39,3890.4,-1,3,14,17,387.3,50,17,496.6
"50","Brad Hunt",28,"D","1-Jul-17",2,"$1,300,000","$650,000","CAN",69,187,2007,10,266,12,-1,-1.5,2,0,0,0.9,6.1,8.1,5,0,0,0,"$600,000.00","$600,000.00",0,4,2,4,"50.00%","11.40%",1021,"51.3","57.4","47.20%","1.40%",0.5,0,22,15,10,0,1,"1",34.6,0,11,3,3,2,0,"0.00%",139,155,104,127,12,16,1,1,0,2,442,0.64,53.4,22.9,"70.00%","1.30%",0,0,0,178,0.3,0,33,"0.00%","-19.40%",0,0,21,0,2,2,293.1,-40,1,0,1,46.7,0,0,6.9
"51","Brian Strait",29,"D","1-Jul-17",1,"$650,000","$650,000","USA",73,206,2006,3,65,5,-1,-0.5,0,0,0,0.4,3.6,3.9,13,0,0,0,"$600,000.00","$600,000.00",0,2,2,2,"66.70%","10.90%",1026,"53.4","68.9","43.60%","-0.40%",0.2,0,10,7,3,0,0,"0",45,5,2,0,0,7,0,"0.00%",67,86,48,57,12,15,0,0,0,0,57,0.28,32.4,32.4,"50.00%","-37.00%",0,0,0,92,0.32,0,36.6,"0.00%","-4.00%",0,1,151,6,13,19,2285,-27,0,0,0,8.8,31,13,283.8
"52","Karl Alzner",28,"D","1-Jul-17",5,"$23,125,000","$4,625,000","CAN",75,219,2007,1,5,82,23,-5.4,28,0,0,-0.4,54.5,82.7,295,1,0,3,"$2,800,000.00","$2,800,000.00",3,10,5,13,"22.80%","9.70%",1040,"49.8","55.4","47.30%","-2.70%",2.9,2,150,110,72,2,5,"7",96.6,86,102,36,10,117,0,"0.00%",1102,1227,826,909,165,187,0,0,0,0,204,0.08,12.4,10.1,"55.00%","-33.40%",0,0,0,15054,3.07,11.4,86.9,"11.60%","-7.50%",7,38,246,11,46,57,4212.3,-6.1,0,1,1,10.4,122,40,687.2
"53","Christian Folin",26,"D","1-Jul-17",1,"$850,000","$850,000","SWE",75,204,2009,10,266,51,10,2.5,26,0,0,-3.4,26.6,32.4,154,0,0,0,"$850,000.00","$725,000.00",2,6,2,8,"28.10%","8.30%",1022,"52.5","58.7","47.20%","-0.60%",1.4,0,94,57,39,3,3,"6",43,67,97,15,9,55,0,"0.00%",616,694,465,527,81,82,0,0,0,0,116,0.11,18.1,0,"100.00%","6.90%",0,0,0,2933,0.98,10.2,96.7,"9.50%","3.40%",0,3,67,2,12,14,926.6,-45.6,0,1,1,7.7,9,2,64.3
"54","Paul Postma",28,"D","1-Jul-17",1,"$725,000","$725,000","CAN",75,195,2007,7,205,65,3,-1.9,15,0,0,-1.6,27.6,30.1,94,0,0,0,"$925,000.00","$887,500.00",1,13,7,14,"51.90%","8.00%",1013,"54.2","57.5","48.50%","1.50%",2.4,5,117,67,49,3,6,"9",162.2,36,70,29,10,42,0,"0.00%",631,669,460,494,85,94,0,0,0,0,118,0.03,37.4,0,"100.00%","11.80%",0,0,0,128,0.05,0,39.3,"0.00%","-7.80%",0,0,88,3,6,9,1131.1,11.7,2,0,2,67.6,0,0,12.5
"55","Seth Helgeson",26,"D","1-Jul-17",1,"$650,000","$650,000","USA",76,210,2009,4,114,9,2,0.4,15,0,0,-1.5,4.4,5.3,45,0,0,0,"$600,000.00","$587,500.00",1,0,0,1,"25.00%","8.60%",1049,"47.6","52.7","47.40%","5.30%",0.2,0,11,8,3,0,0,"0",0,15,6,0,0,9,0,"0.00%",89,99,73,72,12,9,0,0,0,0,0,0,0,0,"0.00%","-100.00%",0,0,0,550,1.05,6.2,74.9,"7.70%","-9.00%",0,2,41,0,3,3,532.4,-27.5,0,0,0,0.6,5,6,29.4
"56","Jamie McBain",29,"D","1-Jul-17",1,"$650,000","$650,000","USA",73,180,2006,2,63,3,-1,-0.5,0,0,0,0.3,3.1,3.4,4,0,0,0,"$650,000.00","$650,000.00",0,0,0,0,"0.00%","8.50%",974,"58.2","72.6","44.50%","-5.50%",0,0,5,3,2,0,0,"0",0,0,3,1,1,2,0,"0.00%",41,50,33,42,11,10,0,0,0,0,342,1.98,99.6,0,"100.00%","12.00%",0,0,0,0,0.09,0,0,"0.00%","-16.70%",0,0,139,7,13,20,1907.6,1.8,4,10,14,270.7,7,1,74.5
"57","Justin Schultz",26,"D","1-Jul-17",3,"$16,500,000","$5,500,000","CAN",74,193,2008,2,43,78,27,12.5,34,0,1,1.3,98.4,62.7,217,0,2,4,"$1,400,000.00","$1,400,000.00",9,22,7,31,"43.70%","9.70%",1023,"58.1","55.1","51.30%","1.90%",5.4,12,215,147,112,1,5,"6",125.9,65,155,30,19,101,0,"0.00%",1276,1213,965,861,230,187,3,17,7,20,12946,2.68,98.5,13.7,"87.80%","3.60%",0,0,0,322,0.11,31,46.4,"40.00%","26.20%",1,1,218,18,32,50,3898.3,-16.4,3,29,32,608.3,26,2,145.6
"58","Joe Morrow",24,"D","1-Jul-17",1,"$650,000","$650,000","CAN",72,199,2011,1,23,17,-4,-0.5,8,0,0,0.2,8.5,8.8,56,0,0,0,"$800,000.00","$800,000.00",0,1,1,1,"25.00%","3.50%",963,"57.2","50.4","53.20%","2.20%",0.7,1,38,29,18,0,1,"1",59,28,30,7,1,16,0,"0.00%",235,208,169,148,16,23,0,0,0,0,42,0.08,31.7,0,"100.00%","10.20%",0,0,0,827,0.88,7.8,82.2,"8.70%","-15.70%",0,2,48,2,4,6,703.1,-5.1,0,2,2,33.5,3,2,16.8
"59","Patrick Wiercioch",26,"D","1-Jul-17",1,"$650,000","$650,000","CAN",77,202,2008,2,42,57,-18,-12.8,23,0,0,-2.3,29.9,42.3,133,0,0,1,"$800,000.00","$800,000.00",4,8,3,12,"66.70%","5.20%",969,"50.1","57.2","46.70%","-0.80%",2.1,2,122,76,56,0,3,"3",110.5,44,50,15,5,52,0,"100.00%",667,762,489,591,61,103,0,0,0,0,3164,0.96,68,4.3,"94.00%","6.50%",0,0,0,4840,1.43,12.5,71.1,"15.00%","4.80%",0,4,161,3,19,22,2383.4,13.5,4,15,19,293.5,3,2,54.7
"60","Michael Del Zotto",27,"D","1-Jul-17",2,"$6,000,000","$3,000,000","CAN",72,195,2008,1,20,51,-5,1.9,28,0,0,2.9,40.9,40.6,286,0,1,0,"$4,000,000.00","$3,875,000.00",6,10,5,16,"47.10%","8.10%",996,"58.8","55.8","51.30%","2.80%",3.7,7,154,105,73,2,5,"7",122.1,152,76,24,9,67,0,"0.00%",829,789,596,562,119,110,0,1,0,1,2926,1,67.5,17.3,"79.60%","-9.30%",0,1,1,3916,1.3,5.3,77.1,"6.50%","-4.80%",0,7,183,14,32,46,3146.4,2.5,2,12,14,257.8,34,29,263.1
"61","Matt Hunwick",32,"D","1-Jul-17",3,"$6,750,000","$2,250,000","USA",71,200,2004,7,224,72,8,-0.3,18,0,0,-1.6,51.5,66.6,199,0,1,0,"$1,200,000.00","$1,200,000.00",1,18,9,19,"44.20%","8.40%",1015,"55.3","56.6","49.40%","-1.20%",2.7,3,167,105,67,1,10,"11",208.7,79,106,35,18,62,0,"0.00%",996,1015,751,746,159,148,0,0,0,0,241,0.09,19.2,9.6,"66.70%","-14.80%",0,0,0,11500,2.6,13,100.2,"11.50%","1.30%",8,27,116,4,13,17,1898,11.5,0,4,4,38.9,32,20,238
"62","David Warsofsky",27,"D","1-Jul-17",2,"$1,350,000","$675,000","USA",69,170,2008,4,95,7,-3,-1,6,0,0,-1.4,5,7.4,21,0,0,0,"$575,000.00","$575,000.00",0,1,1,1,"25.00%","7.30%",970,"63.9","65.3","49.50%","-0.50%",0.4,0,28,20,11,0,1,"1",25.8,1,3,1,2,12,0,"0.00%",102,106,76,78,11,21,0,0,0,0,384,0.97,74.1,34.7,"68.10%","-14.50%",0,0,0,343,0.87,29.1,106.6,"21.40%","-5.80%",0,0,32,1,2,3,462.3,30.8,1,1,2,69.1,0,0,6
"63","Matt Tennyson",27,"D","1-Jul-17",2,"$1,300,000","$650,000","USA",74,205,2008,10,266,45,-13,-5.6,6,0,0,0.9,23.3,32.2,119,0,0,1,"$675,000.00","$675,000.00",0,6,4,6,"31.60%","7.40%",963,"51.9","57.9","47.30%","-2.40%",1.3,1,80,48,35,3,5,"8",104.6,65,98,11,11,46,0,"0.00%",497,561,358,424,74,102,0,0,0,0,121,0.07,96.3,0,"100.00%","8.10%",0,0,0,829,0.33,24,95.8,"20.00%","7.70%",0,2,56,1,7,8,676.3,-11.5,2,1,3,80.3,3,4,11.7
"64","Cam Fowler",25,"D","1-Jul-17",8,"$52,000,000","$6,500,000","USA",73,207,2010,1,12,80,7,5.4,20,0,3,5.2,107.2,94.4,183,2,3,7,"$4,000,000.00","$4,000,000.00",5,17,8,22,"38.90%","8.40%",1008,"54","54.9","49.60%","1.90%",4.6,7,209,140,99,2,5,"7",184.2,27,118,51,20,92,0,"0.00%",1303,1320,983,986,215,179,5,10,2,15,14888,3.02,113,14.5,"88.60%","-0.20%",1,1,2,13232,2.73,12.7,102.2,"11.10%","-3.90%",6,27,219,8,46,54,3736.2,-3,8,33,41,635.7,62,20,474
"65","Marc-Edouard Vlasic",30,"D","1-Jul-17",8,"$56,000,000","$7,000,000","CAN",73,205,2005,2,35,75,4,0.6,35,1,2,5,60.1,65,200,1,1,1,"$4,250,000.00","$4,250,000.00",5,15,9,20,"42.60%","8.90%",1007,"51","54.8","48.20%","-2.90%",4.7,11,237,161,108,3,4,"7",198.8,17,97,45,19,115,0,"0.00%",1051,1130,766,765,141,135,1,6,3,7,8663,1.92,84.8,10,"89.40%","1.60%",0,1,1,9351,2.06,9.5,114,"7.70%","-3.10%",1,22,218,19,49,68,3906.7,28.4,2,12,14,270.6,78,9,489.1
"66","Patrik Nemeth",25,"D","1-Jul-17",1,"$945,000","$945,000","SWE",75,215,2010,2,41,40,-4,2.5,14,0,0,-1.1,26.1,29.7,106,0,0,0,"$900,000.00","$900,000.00",0,3,2,3,"16.70%","5.90%",986,"56.5","56.9","49.80%","0.40%",2.3,5,88,59,45,3,3,"6",61.1,43,51,17,10,44,0,"0.00%",548,553,411,398,81,77,0,0,0,0,98,0.06,76.6,25.5,"75.00%","-12.10%",0,0,0,2450,1.03,10.2,110.4,"8.40%","-3.10%",0,3,68,0,10,10,979.4,8.9,0,1,1,4.5,7,6,69.8
"67","Kyle Quincey",31,"D","1-Jul-17",1,"$1,250,000","$1,250,000","CAN",74,216,2003,4,132,73,4,-6,51,0,0,-10.2,46.3,67.4,246,0,1,2,"$1,250,000.00","$1,250,000.00",6,9,4,15,"41.70%","7.00%",999,"48.3","55","46.70%","0.50%",2.8,4,151,89,72,2,1,"3",100,88,69,33,14,80,0,"0.00%",912,1041,689,777,131,153,0,0,0,0,1158,0.29,66.7,4.4,"93.80%","5.00%",0,0,0,8014,1.87,9.6,95.4,"9.20%","2.10%",3,15,202,11,30,41,3505.4,1.9,0,0,0,41.9,51,31,460
"68","Erik Burgdoerfer",28,"D","1-Jul-17",2,"$1,300,000","$650,000","USA",73,207,2007,10,266,2,-1,0.6,0,0,0,0.1,1.3,0.8,5,0,0,0,"$575,000.00","$575,000.00",0,0,0,0,"0.00%","0.00%",889,"54.3","55.9","49.30%","5.50%",0,0,3,3,2,0,0,"0",0,5,2,1,0,0,0,"0.00%",21,21,19,14,5,3,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Alex Petrovic",25,"D","30-Jun-17",1,"$1,850,000","$1,850,000","CAN",76,206,2010,2,36,49,-1,-1.9,79,0,0,-10,33.1,40.3,243,0,0,0,"$1,200,000.00","$1,050,000.00",1,13,5,14,"46.70%","7.30%",990,"53.2","51.7","50.70%","3.50%",1.7,0,106,79,52,1,1,"2",118.8,103,68,22,15,49,0,"0.00%",711,690,567,540,97,114,0,0,0,0,326,0.16,39,13.3,"74.60%","-19.30%",0,0,0,3865,1.33,13.3,81.1,"14.10%","-3.70%",1,4,106,2,18,20,1558.5,-16.9,0,0,0,13.5,13,9,131.3
"70","Michael Stone",27,"D","30-Jun-17",3,"$10,500,000","$3,500,000","CAN",75,210,2008,3,69,64,0,-13.1,32,0,0,-0.8,47.1,63.9,300,0,1,0,"$4,000,000.00","$4,000,000.00",2,8,5,10,"29.90%","7.90%",1018,"48","62.9","43.30%","-4.70%",2.2,0,150,98,62,4,1,"5",124,114,86,20,3,106,1,"100.00%",830,1086,605,811,125,168,1,4,1,5,4980,1.3,68,13.1,"83.90%","-5.80%",0,0,0,6977,1.78,17.1,98.3,"14.80%","-2.00%",1,31,226,15,34,49,3783.7,-8.7,2,23,25,379.1,81,21,397.1
"71","Dmitry Orlov",25,"D","30-Jun-17",6,"$30,600,000","$5,100,000","RUS",71,212,2009,2,55,82,30,6.5,51,0,0,-2.5,72.7,61.6,268,1,0,3,"$2,570,000.00","$2,570,000.00",5,22,14,27,"37.50%","9.70%",1026,"58.6","49.2","54.30%","6.50%",5.4,7,216,147,111,3,9,"12",274.5,112,82,47,30,89,0,"0.00%",1412,1190,1038,899,206,198,1,5,3,6,5605,1.2,86.2,11.3,"88.40%","-0.60%",0,0,0,1188,0.3,21.6,57.5,"27.30%","12.80%",0,1,136,11,26,37,2258.7,10,0,3,3,52,0,2,30.6
"72","Brendan Smith",28,"D","28-Jun-17",4,"$17,400,000","$4,350,000","CAN",74,211,2007,1,27,51,1,-0.3,63,0,1,-0.4,38.1,46.8,190,0,0,1,"$3,250,000.00","$2,750,000.00",2,4,4,6,"20.70%","7.70%",1005,"50.6","52","49.30%","3.50%",2.7,6,106,74,49,1,7,"8",94.4,48,72,31,10,55,0,"0.00%",683,708,524,539,104,123,1,2,2,3,2719,0.91,104.3,15.4,"87.20%","-0.80%",0,0,0,5732,1.88,12.2,83.6,"12.70%","-3.10%",1,10,210,10,33,43,3431.5,31.9,2,2,4,67,25,15,213.7
"73","Dylan McIlrath",25,"D","28-Jun-17",2,"$1,300,000","$650,000","CAN",77,236,2010,1,10,6,-2,-1.7,14,0,0,-2.7,1.4,2.7,35,0,0,0,"$800,000.00","$800,000.00",1,0,0,1,"100.00%","6.70%",960,"40.2","55.9","41.80%","-8.00%",0.1,0,11,6,3,0,0,"0",0,15,4,3,1,4,0,"0.00%",37,52,27,42,4,9,0,0,0,0,0,0.03,0,0,"0.00%","-88.90%",0,0,0,66,0.22,0,44,"0.00%","-28.60%",0,0,37,2,2,4,469.7,72.6,0,0,0,1.2,3,1,25.6
"74","Brian Lashoff",26,"D","28-Jun-17",2,"$1,300,000","$650,000","USA",75,221,2009,10,266,5,-3,0.7,0,0,0,0.3,2.5,1.9,12,0,0,0,"$650,000.00","$650,000.00",0,0,0,0,"0.00%","3.70%",847,"50.4","38","57.00%","8.30%",0.1,0,5,2,1,0,0,"0",0,8,7,1,0,4,0,"0.00%",51,38,37,28,9,7,0,0,0,0,0,0.06,0,0,"0.00%","-88.50%",0,0,0,220,0.55,28.7,57.4,"33.30%","25.60%",0,0,86,1,7,8,1035.9,1.5,0,0,0,0.9,39,7,188.9
